,Latitude,Longitude
0,38.71727,-77.80795
1,38.71731,-77.80749
2,38.71726,-77.80699
3,38.71717,-77.80646
4,38.71629,-77.80174
5,38.71622,-77.80148
6,38.71612,-77.80123
7,38.71462,-77.79804
8,38.71384,-77.79623
9,38.71379,-77.79604
10,38.7138,-77.79591
11,38.71386,-77.79566
12,38.7139,-77.79555
13,38.71398,-77.79545
14,38.71432,-77.79515
15,38.71787,-77.79247
16,38.71815,-77.7922
17,38.7184,-77.79185
18,38.71868,-77.79143
19,38.71888,-77.7912
20,38.71908,-77.79101
21,38.71933,-77.79087
22,38.7196,-77.79077
23,38.71996,-77.7907
24,38.72299,-77.79033
25,38.72342,-77.79032
26,38.7238,-77.79035
27,38.72604,-77.79065
28,38.72685,-77.79075
29,38.72738,-77.79079
30,38.72786,-77.79081
