,Latitude,Longitude
0,27.52121,-82.5636
1,27.52119,-82.55868
2,27.52126,-82.55659
3,27.52136,-82.55502
4,27.5214,-82.55376
5,27.52113,-82.5499
6,27.52113,-82.54847
7,27.52124,-82.54249
8,27.52136,-82.54113
9,27.5217,-82.5387
10,27.5218,-82.53736
11,27.52181,-82.53544
12,27.52175,-82.53374
13,27.52173,-82.52936
14,27.5218,-82.52404
15,27.52194,-82.52029
16,27.52198,-82.51817
17,27.5221,-82.51724
18,27.52241,-82.51636
19,27.52297,-82.5155
20,27.52362,-82.51482
21,27.52753,-82.51186
22,27.52829,-82.51108
23,27.52897,-82.51014
24,27.52939,-82.50905
25,27.53152,-82.50174
26,27.5318,-82.50048
27,27.53213,-82.4986
28,27.53249,-82.49737
29,27.53313,-82.49597
30,27.542,-82.47879
31,27.56546,-82.43306
32,27.56825,-82.42771
33,27.5688,-82.42687
34,27.56954,-82.42616
35,27.57031,-82.42575
36,27.57102,-82.42555
37,27.57191,-82.42549
38,27.57426,-82.4255
39,27.57624,-82.42547
40,27.5815,-82.42547
41,27.58389,-82.42549
42,27.58507,-82.42546
43,27.58738,-82.4255
44,27.58949,-82.4255
45,27.59057,-82.42552
46,27.59299,-82.42551
47,27.59685,-82.42554
48,27.59721,-82.42552
49,27.59781,-82.42543
50,27.59849,-82.42523
51,27.59905,-82.42498
52,27.59968,-82.42459
53,27.6028,-82.42208
54,27.6335,-82.39711
55,27.64113,-82.39123
56,27.64181,-82.39062
57,27.64257,-82.38973
58,27.6655,-82.36033
59,27.66899,-82.35584
60,27.6703,-82.35397
61,27.67298,-82.35053
62,27.67357,-82.34986
63,27.67396,-82.34948
64,27.67422,-82.34926
65,27.67474,-82.34887
66,27.67524,-82.34857
67,27.67549,-82.34843
68,27.67616,-82.34812
69,27.68057,-82.34651
70,27.68353,-82.3454
71,27.70318,-82.33817
72,27.70473,-82.33758
73,27.70569,-82.33725
74,27.70816,-82.33633
75,27.70894,-82.33602
76,27.71017,-82.33549
77,27.71083,-82.3353
78,27.71144,-82.33523
79,27.71224,-82.33519
80,27.71561,-82.33523
81,27.72394,-82.33525
82,27.72813,-82.33524
83,27.72886,-82.33523
84,27.72901,-82.33521
85,27.73086,-82.3352
86,27.73137,-82.33521
87,27.73156,-82.33524
88,27.73234,-82.33523
89,27.73247,-82.3352
90,27.73285,-82.33519
91,27.7344,-82.33517
92,27.7361,-82.33517
93,27.73731,-82.33519
