,Latitude,Longitude
0,37.38339,-80.825
1,37.38345,-80.82487
2,37.38365,-80.82444
3,37.38387,-80.82397
4,37.38405,-80.82357
5,37.38378,-80.82337
6,37.38361,-80.82324
7,37.38332,-80.82303
8,37.38337,-80.82283
9,37.38342,-80.82262
10,37.38346,-80.82246
11,37.38357,-80.82205
12,37.38362,-80.82185
13,37.38366,-80.82173
14,37.3837,-80.82163
15,37.38374,-80.82153
16,37.38377,-80.82144
17,37.3838,-80.82139
18,37.38381,-80.82137
19,37.38383,-80.82132
20,37.38387,-80.82125
21,37.38394,-80.82116
22,37.384,-80.82107
23,37.38414,-80.82091
24,37.38429,-80.82075
25,37.38457,-80.82044
26,37.38486,-80.82014
27,37.38525,-80.81972
28,37.38537,-80.81959
29,37.3855,-80.81944
30,37.38567,-80.81927
31,37.38592,-80.81901
32,37.38602,-80.81891
33,37.38606,-80.81887
34,37.38613,-80.81881
35,37.38621,-80.81874
36,37.38637,-80.81859
37,37.38658,-80.81841
38,37.3868,-80.81822
39,37.3869,-80.81812
40,37.38698,-80.81804
41,37.38705,-80.81796
42,37.38712,-80.81789
43,37.38718,-80.8178
44,37.38722,-80.81774
45,37.38726,-80.81767
46,37.38731,-80.81759
47,37.38735,-80.81749
48,37.38739,-80.81741
49,37.38742,-80.81731
50,37.38748,-80.81713
51,37.38752,-80.81699
52,37.38756,-80.81679
53,37.38762,-80.81652
54,37.38769,-80.81614
55,37.38779,-80.81565
56,37.38793,-80.81499
57,37.38805,-80.81445
58,37.38832,-80.81313
59,37.38835,-80.81301
60,37.38838,-80.81287
61,37.38841,-80.81273
62,37.38843,-80.81264
63,37.38846,-80.81255
64,37.38849,-80.81247
65,37.38851,-80.81241
66,37.38854,-80.81234
67,37.38857,-80.81226
68,37.38861,-80.81219
69,37.38866,-80.8121
70,37.38873,-80.81198
71,37.38885,-80.81179
72,37.38905,-80.81149
73,37.38958,-80.81071
74,37.38969,-80.81055
75,37.3898,-80.81039
76,37.3903,-80.80964
77,37.39054,-80.8093
78,37.39078,-80.80894
79,37.39097,-80.80866
80,37.39108,-80.80851
81,37.39133,-80.80815
82,37.3918,-80.80747
83,37.39256,-80.80639
84,37.39278,-80.80606
85,37.39286,-80.80595
86,37.39292,-80.80587
87,37.393,-80.80577
88,37.39306,-80.80569
89,37.39314,-80.8056
90,37.39321,-80.80553
91,37.39322,-80.80552
92,37.39327,-80.80548
93,37.39332,-80.80543
94,37.39343,-80.80535
95,37.3935,-80.80531
96,37.39358,-80.80527
97,37.39362,-80.80525
98,37.39369,-80.80522
99,37.394,-80.80509
100,37.3943,-80.80496
101,37.39444,-80.8049
102,37.39454,-80.80486
103,37.39464,-80.80481
104,37.39471,-80.80478
105,37.39476,-80.80474
106,37.39483,-80.80471
107,37.3949,-80.80466
108,37.39499,-80.8046
109,37.39507,-80.80455
110,37.39518,-80.80446
111,37.39529,-80.80437
112,37.39538,-80.8043
113,37.39545,-80.80424
114,37.39552,-80.80418
115,37.39556,-80.80413
116,37.39559,-80.80411
117,37.39564,-80.80406
118,37.39569,-80.804
119,37.39576,-80.80392
120,37.39581,-80.80386
121,37.39586,-80.80379
122,37.39595,-80.80366
123,37.39602,-80.80355
124,37.39614,-80.80335
125,37.39629,-80.80311
126,37.39639,-80.80293
127,37.39645,-80.80283
128,37.39659,-80.80258
129,37.3968,-80.80214
130,37.39687,-80.802
131,37.39707,-80.80157
132,37.39709,-80.80151
133,37.39716,-80.80127
134,37.39717,-80.80124
