,Latitude,Longitude
0,37.39717,-80.80124
1,37.39733,-80.80076
2,37.39737,-80.80061
3,37.39736,-80.80035
4,37.39727,-80.79996
5,37.397,-80.79852
6,37.39672,-80.7972
7,37.39612,-80.79474
8,37.3958,-80.79317
9,37.39579,-80.79307
10,37.39579,-80.79303
11,37.39578,-80.793
12,37.39578,-80.79294
13,37.3958,-80.79281
14,37.3958,-80.79276
15,37.39581,-80.79274
16,37.39584,-80.79258
17,37.39616,-80.79153
18,37.39627,-80.7911
19,37.39627,-80.79107
20,37.39628,-80.79105
21,37.39628,-80.79099
22,37.39629,-80.79089
23,37.39629,-80.79083
24,37.39628,-80.7908
25,37.39628,-80.79076
26,37.39623,-80.79055
27,37.39613,-80.79024
28,37.39545,-80.78841
29,37.39539,-80.78822
30,37.39532,-80.78791
31,37.39528,-80.78757
32,37.39527,-80.78708
33,37.39528,-80.78693
34,37.39528,-80.78668
35,37.39529,-80.78665
36,37.3953,-80.7865
37,37.39555,-80.78479
38,37.39555,-80.7845
39,37.39551,-80.78428
40,37.39547,-80.78413
41,37.39507,-80.78304
42,37.39505,-80.78296
43,37.39503,-80.78283
44,37.39503,-80.78264
45,37.39504,-80.78257
46,37.39504,-80.78252
47,37.39507,-80.78234
48,37.39537,-80.78102
49,37.39538,-80.781
50,37.39549,-80.78058
51,37.39555,-80.78043
52,37.39557,-80.78036
53,37.39571,-80.78007
54,37.3966,-80.77837
55,37.39683,-80.7779
56,37.39684,-80.77789
57,37.39693,-80.77769
58,37.39694,-80.77766
59,37.39702,-80.77749
60,37.39765,-80.77599
61,37.3977,-80.7759
62,37.39771,-80.77587
63,37.3978,-80.77571
64,37.39788,-80.77559
65,37.39803,-80.7754
66,37.39971,-80.77375
67,37.39979,-80.77366
68,37.40001,-80.77345
69,37.40007,-80.77338
70,37.40016,-80.77329
71,37.40037,-80.77301
72,37.40057,-80.77269
73,37.40073,-80.77239
74,37.40079,-80.77225
75,37.40079,-80.77224
76,37.40088,-80.77195
77,37.4009,-80.7719
78,37.40101,-80.77144
79,37.40106,-80.77094
80,37.40121,-80.76667
81,37.40124,-80.76634
82,37.40129,-80.76599
83,37.40138,-80.76557
84,37.40141,-80.76547
85,37.40161,-80.76464
86,37.40162,-80.76458
87,37.40175,-80.76417
88,37.40194,-80.76377
89,37.40198,-80.7637
90,37.4031,-80.762
91,37.40325,-80.7618
92,37.4049,-80.75939
93,37.40517,-80.75905
94,37.40521,-80.75901
95,37.40524,-80.75897
96,37.4059,-80.75833
97,37.40777,-80.75667
98,37.40795,-80.75649
99,37.40922,-80.75534
100,37.40935,-80.75525
101,37.40945,-80.75516
102,37.41007,-80.75449
103,37.41111,-80.75322
104,37.41177,-80.75245
105,37.41229,-80.75181
106,37.41284,-80.75106
107,37.41289,-80.75097
108,37.41333,-80.75029
109,37.41373,-80.74958
110,37.41397,-80.74919
111,37.41588,-80.74578
112,37.41602,-80.74555
113,37.42229,-80.7344
114,37.42229,-80.73439
115,37.42487,-80.7298
116,37.42537,-80.72886
117,37.42551,-80.72851
118,37.42662,-80.72545
119,37.42662,-80.72544
120,37.42685,-80.72484
121,37.42752,-80.72296
122,37.42757,-80.72285
123,37.43201,-80.71056
124,37.43216,-80.7101
125,37.43235,-80.70943
126,37.43245,-80.70902
127,37.43363,-80.70478
128,37.43388,-80.70404
129,37.43395,-80.70388
130,37.43397,-80.70382
131,37.43431,-80.7031
132,37.44165,-80.68936
133,37.4419,-80.68892
134,37.44706,-80.67922
135,37.44706,-80.67921
136,37.44736,-80.67868
137,37.45126,-80.67294
138,37.45186,-80.67209
139,37.45197,-80.67192
140,37.45228,-80.67151
141,37.45378,-80.66967
142,37.45632,-80.66688
143,37.45653,-80.66662
144,37.45664,-80.66646
145,37.45666,-80.66644
146,37.45687,-80.66611
147,37.4572,-80.66531
148,37.4573,-80.66501
149,37.45794,-80.66329
150,37.45808,-80.66302
151,37.45815,-80.66291
152,37.45822,-80.66282
153,37.45828,-80.66276
154,37.4584,-80.66267
155,37.45844,-80.66265
156,37.45859,-80.66255
157,37.46186,-80.66075
158,37.46232,-80.66052
159,37.46242,-80.66048
160,37.46266,-80.66043
161,37.46296,-80.6604
162,37.46302,-80.6604
163,37.46314,-80.66039
164,37.46535,-80.66043
165,37.46566,-80.66042
166,37.46618,-80.66035
167,37.46694,-80.66021
168,37.46717,-80.66014
169,37.4673,-80.66007
170,37.46749,-80.65993
171,37.46769,-80.65971
172,37.46779,-80.65958
173,37.46862,-80.65829
174,37.46873,-80.65815
175,37.46891,-80.65796
176,37.46906,-80.65784
177,37.46917,-80.65777
178,37.46979,-80.65748
179,37.47061,-80.65715
180,37.47084,-80.65707
181,37.47094,-80.65706
182,37.4711,-80.65706
183,37.47127,-80.65707
184,37.47142,-80.65709
185,37.47149,-80.65711
186,37.47168,-80.65719
187,37.47196,-80.65735
188,37.47434,-80.65913
189,37.4746,-80.65929
190,37.47477,-80.65937
191,37.47496,-80.65944
192,37.47516,-80.65948
193,37.47533,-80.65949
194,37.4755,-80.65949
195,37.47574,-80.65947
196,37.47611,-80.65942
197,37.4762,-80.6594
198,37.47646,-80.65932
199,37.47655,-80.65927
200,37.47662,-80.65924
201,37.47677,-80.65913
202,37.47698,-80.65893
203,37.47719,-80.65869
204,37.47749,-80.6583
205,37.47757,-80.65817
206,37.47811,-80.65744
207,37.47821,-80.65728
208,37.47828,-80.65714
209,37.47841,-80.6568
210,37.47849,-80.65651
211,37.47851,-80.65641
212,37.47851,-80.65632
213,37.47852,-80.65623
214,37.47853,-80.65619
215,37.47854,-80.65612
216,37.47854,-80.65593
217,37.47787,-80.65048
218,37.47742,-80.64755
219,37.47742,-80.64753
220,37.47736,-80.64719
221,37.47734,-80.64699
222,37.47731,-80.64681
223,37.47729,-80.64653
224,37.47736,-80.64322
225,37.47738,-80.643
226,37.47738,-80.64295
227,37.47741,-80.64269
228,37.47755,-80.6419
229,37.47781,-80.6408
230,37.47787,-80.64036
231,37.4782,-80.63396
232,37.4782,-80.63368
233,37.47819,-80.63357
234,37.47819,-80.63344
235,37.47798,-80.63192
236,37.47798,-80.63185
237,37.47797,-80.6318
238,37.47797,-80.63173
239,37.47796,-80.63164
240,37.478,-80.63132
241,37.478,-80.63128
242,37.47808,-80.63093
243,37.47823,-80.63046
244,37.47851,-80.62948
245,37.47857,-80.6293
246,37.47869,-80.62899
247,37.47887,-80.62861
248,37.47895,-80.62852
249,37.47902,-80.62842
250,37.47909,-80.62834
251,37.47915,-80.62826
252,37.47927,-80.62807
253,37.47934,-80.62794
254,37.4794,-80.62781
255,37.47947,-80.6276
256,37.47951,-80.6274
257,37.47958,-80.62714
258,37.47966,-80.62672
259,37.47976,-80.62605
260,37.48009,-80.62417
261,37.48015,-80.62392
262,37.48037,-80.62315
263,37.48049,-80.62264
264,37.48053,-80.62237
265,37.48055,-80.62209
266,37.48062,-80.62148
267,37.48067,-80.62117
268,37.48067,-80.62115
269,37.48069,-80.62104
270,37.48071,-80.62097
271,37.48073,-80.62086
272,37.48084,-80.62053
273,37.48085,-80.62051
274,37.48089,-80.62038
275,37.48099,-80.62014
276,37.48101,-80.62007
277,37.48128,-80.6195
278,37.48236,-80.61744
279,37.48236,-80.61743
280,37.48293,-80.61627
281,37.48293,-80.61625
282,37.48312,-80.61589
283,37.48337,-80.61536
284,37.4834,-80.61531
285,37.48343,-80.61523
286,37.48356,-80.61497
287,37.48365,-80.61476
288,37.48368,-80.61471
289,37.48372,-80.61461
290,37.48373,-80.61457
291,37.48377,-80.61448
292,37.48378,-80.61442
293,37.48382,-80.61431
294,37.48409,-80.61323
295,37.4841,-80.61323
296,37.48425,-80.61259
297,37.48425,-80.61258
298,37.4844,-80.61203
299,37.48442,-80.61199
300,37.48443,-80.61194
301,37.48445,-80.6119
302,37.4845,-80.61177
303,37.4846,-80.61156
304,37.48461,-80.61155
305,37.48462,-80.61152
306,37.48536,-80.61034
307,37.48601,-80.6092
308,37.48604,-80.60916
309,37.48654,-80.60837
310,37.48657,-80.60833
311,37.48679,-80.60811
312,37.48686,-80.60805
313,37.48812,-80.60715
314,37.48826,-80.60704
315,37.48827,-80.60704
316,37.48829,-80.60703
317,37.48831,-80.60701
318,37.48845,-80.60695
319,37.48848,-80.60693
320,37.48852,-80.60692
321,37.48883,-80.60681
322,37.49466,-80.60518
323,37.49484,-80.60512
324,37.49498,-80.60509
325,37.49519,-80.60503
326,37.49535,-80.605
327,37.49554,-80.605
328,37.49564,-80.60502
329,37.4957,-80.60504
330,37.49574,-80.60506
331,37.49577,-80.60507
332,37.4958,-80.60509
333,37.49585,-80.60511
334,37.49592,-80.60515
335,37.49713,-80.606
336,37.49715,-80.60602
337,37.49785,-80.60655
338,37.49803,-80.60673
339,37.49821,-80.60693
340,37.49844,-80.60716
341,37.49867,-80.60742
342,37.49875,-80.60753
