,Latitude,Longitude
0,39.44741,-83.811
1,39.44724,-83.81194
2,39.44708,-83.81261
3,39.44696,-83.81331
4,39.44681,-83.81416
5,39.44616,-83.81834
6,39.44611,-83.81876
7,39.44609,-83.81918
8,39.4461,-83.81926
9,39.4461,-83.81934
10,39.44616,-83.82055
11,39.44617,-83.82087
12,39.44755,-83.84797
13,39.44756,-83.84824
14,39.44758,-83.84849
15,39.44759,-83.84886
16,39.44759,-83.84925
17,39.44758,-83.84944
18,39.44755,-83.8498
19,39.4475,-83.85019
20,39.44744,-83.85052
21,39.44734,-83.85093
22,39.44725,-83.85123
23,39.44715,-83.85153
24,39.44703,-83.85183
25,39.44695,-83.85201
26,39.44683,-83.85225
27,39.44673,-83.85243
28,39.44666,-83.85256
29,39.44642,-83.85294
30,39.44553,-83.85429
31,39.44543,-83.85447
32,39.44538,-83.85456
33,39.44534,-83.85467
34,39.44526,-83.85492
35,39.4452,-83.85514
