,Latitude,Longitude
0,40.84307,-84.80235
1,40.84353,-84.80149
2,40.84372,-84.80115
3,40.84384,-84.80084
4,40.84395,-84.80055
5,40.84405,-84.80016
6,40.84417,-84.79959
7,40.84422,-84.79886
8,40.84425,-84.79796
9,40.84423,-84.77406
10,40.84419,-84.7572
11,40.84416,-84.75362
12,40.8442,-84.75305
13,40.84429,-84.75216
14,40.84438,-84.75143
15,40.84449,-84.75094
16,40.84464,-84.75032
17,40.84481,-84.74977
18,40.84492,-84.74945
19,40.84556,-84.74751
20,40.84616,-84.74582
21,40.84804,-84.74
22,40.85061,-84.73216
23,40.85093,-84.73116
24,40.85117,-84.73018
25,40.85131,-84.72938
26,40.85141,-84.72829
27,40.85142,-84.72764
28,40.85132,-84.63952
29,40.85134,-84.63881
30,40.85141,-84.63806
31,40.85154,-84.63734
32,40.85172,-84.6367
33,40.85198,-84.63601
34,40.85234,-84.6353
35,40.8536,-84.63302
36,40.85391,-84.63239
37,40.85436,-84.63151
38,40.85538,-84.62909
39,40.85547,-84.62887
40,40.85609,-84.62736
41,40.85642,-84.62674
42,40.85684,-84.62623
43,40.85711,-84.62595
44,40.85754,-84.62561
45,40.85788,-84.6254
46,40.85829,-84.62522
47,40.85869,-84.6251
48,40.85902,-84.62504
49,40.85942,-84.62502
50,40.86755,-84.62449
51,40.86968,-84.62457
52,40.87483,-84.62504
53,40.87804,-84.62531
54,40.88016,-84.62544
55,40.88843,-84.62557
56,40.8892,-84.62553
57,40.89142,-84.62529
58,40.89186,-84.62507
59,40.89229,-84.62475
60,40.89264,-84.62433
61,40.89288,-84.62397
62,40.89304,-84.62351
63,40.89317,-84.62299
64,40.89322,-84.62246
65,40.89322,-84.62204
66,40.8931,-84.62101
67,40.89294,-84.6197
68,40.88701,-84.59397
69,40.88617,-84.58877
70,40.88583,-84.5852
71,40.88571,-84.58316
72,40.8864,-84.58308
73,40.88703,-84.58297
74,40.88751,-84.58277
75,40.88845,-84.58249
76,40.89619,-84.57803
77,40.89832,-84.57676
78,40.89869,-84.57644
79,40.89894,-84.57616
80,40.89932,-84.57553
81,40.89965,-84.57479
82,40.89997,-84.57361
83,40.9004,-84.57208
84,40.90052,-84.5718
85,40.90077,-84.57138
86,40.90317,-84.56757
87,40.90348,-84.56716
88,40.91242,-84.55773
89,40.9133,-84.55678
90,40.91388,-84.55603
91,40.91416,-84.55552
92,40.91447,-84.5548
93,40.9148,-84.55397
94,40.91515,-84.553
95,40.9163,-84.54997
96,40.91656,-84.54938
97,40.91686,-84.54884
98,40.91727,-84.54829
99,40.9178,-84.54766
100,40.91821,-84.54729
101,40.91874,-84.54691
102,40.92051,-84.54582
103,40.92101,-84.54542
104,40.92142,-84.54502
105,40.92178,-84.54456
106,40.92209,-84.54413
107,40.92234,-84.54368
108,40.92267,-84.54299
109,40.92311,-84.5419
110,40.92673,-84.53283
111,40.92693,-84.53228
112,40.9271,-84.53174
113,40.92717,-84.53142
114,40.92916,-84.52239
115,40.9299,-84.51945
116,40.93043,-84.51766
117,40.93135,-84.51475
118,40.93155,-84.51397
119,40.93162,-84.51343
120,40.93171,-84.51234
121,40.93191,-84.49555
122,40.93198,-84.47415
123,40.93208,-84.45646
124,40.93191,-84.45166
125,40.93199,-84.43672
126,40.93219,-84.4117
127,40.93222,-84.39664
128,40.9324,-84.36956
129,40.93253,-84.34548
130,40.93249,-84.34449
131,40.93242,-84.34399
132,40.93219,-84.34263
133,40.93222,-84.34051
134,40.93222,-84.33941
135,40.93446,-84.33929
136,40.93438,-84.33666
137,40.93438,-84.3362
138,40.9344,-84.33595
139,40.93444,-84.33574
140,40.9345,-84.33558
141,40.93459,-84.33535
142,40.94247,-84.32062
143,40.94277,-84.32
144,40.94295,-84.31955
145,40.94307,-84.31917
146,40.94317,-84.31871
147,40.94325,-84.31819
148,40.94329,-84.31764
149,40.9433,-84.31722
150,40.94334,-84.29812
151,40.94335,-84.29787
152,40.9434,-84.29769
153,40.94347,-84.29732
154,40.9467,-84.28582
155,40.94683,-84.28538
156,40.94693,-84.28492
157,40.94702,-84.28423
158,40.94707,-84.28355
159,40.94708,-84.2828
160,40.94715,-84.27374
161,40.9472,-84.27257
162,40.9473,-84.27168
163,40.94744,-84.27072
164,40.94758,-84.2702
165,40.94782,-84.26922
166,40.94809,-84.2684
167,40.9483,-84.26789
168,40.94872,-84.26696
169,40.95038,-84.26341
170,40.95663,-84.24994
171,40.95947,-84.24365
172,40.96078,-84.24065
173,40.96267,-84.23644
174,40.96593,-84.22906
175,40.96931,-84.22132
176,40.97385,-84.21097
177,40.97564,-84.20713
178,40.97588,-84.20667
179,40.97603,-84.20645
180,40.97623,-84.20626
181,40.97645,-84.2061
182,40.97889,-84.20429
183,40.97979,-84.20353
184,40.98063,-84.20267
185,40.98141,-84.20184
186,40.98286,-84.20013
187,40.98094,-84.19723
188,40.98117,-84.19701
189,40.9813,-84.19677
190,40.98137,-84.19658
191,40.9814,-84.19625
192,40.9814,-84.19582
193,40.9811,-84.18787
194,40.98115,-84.17699
195,40.98121,-84.16021
196,40.98119,-84.15822
197,40.98124,-84.15679
198,40.9814,-84.15576
199,40.98161,-84.15506
200,40.982,-84.15434
201,40.98241,-84.15385
202,40.98277,-84.15353
203,40.98325,-84.15324
204,40.9839,-84.15299
205,40.9844,-84.15294
206,40.98477,-84.15289
207,40.99102,-84.15255
208,40.99136,-84.15252
209,40.99155,-84.15248
210,40.99173,-84.15239
211,40.99193,-84.15224
212,40.99209,-84.15204
213,40.9935,-84.1502
214,40.99371,-84.1499
215,40.99395,-84.14945
216,41.00213,-84.12921
217,41.0024,-84.12853
218,41.00269,-84.1281
219,41.00303,-84.12766
220,41.00333,-84.1273
221,41.00425,-84.12619
222,41.00443,-84.12599
223,41.00455,-84.12577
224,41.00472,-84.12537
225,41.00949,-84.11366
226,41.01002,-84.11225
227,41.01046,-84.11094
228,41.01182,-84.10684
229,41.01391,-84.10055
230,41.01676,-84.09189
231,41.01869,-84.08604
232,41.0189,-84.08533
233,41.0191,-84.08458
234,41.01923,-84.08399
235,41.01936,-84.0833
236,41.01946,-84.08261
237,41.01956,-84.08135
238,41.01957,-84.08049
239,41.01957,-84.0797
240,41.0195,-84.07866
241,41.01938,-84.07737
242,41.019,-84.07355
243,41.01898,-84.07307
244,41.01893,-84.07217
245,41.01894,-84.0709
246,41.01896,-84.06748
247,41.0191,-84.05399
248,41.01929,-84.03127
249,41.01944,-84.03043
250,41.01968,-84.02935
251,41.02036,-84.02754
252,41.02091,-84.02604
253,41.0211,-84.02547
254,41.02125,-84.02488
255,41.02136,-84.02422
256,41.02148,-84.02349
257,41.02156,-84.02294
258,41.02157,-84.02216
259,41.02162,-84.00354
260,41.0217,-83.96779
261,41.02175,-83.96513
262,41.02193,-83.9576
263,41.02198,-83.95322
264,41.02203,-83.94445
265,41.02207,-83.93428
266,41.02216,-83.91712
267,41.02198,-83.91336
268,41.02208,-83.89308
269,41.02212,-83.89221
270,41.02219,-83.89136
271,41.02235,-83.89031
272,41.0227,-83.88906
273,41.02295,-83.88835
274,41.02323,-83.8877
275,41.02376,-83.8867
276,41.02434,-83.88582
277,41.02619,-83.88328
278,41.02819,-83.88055
279,41.03394,-83.87268
280,41.03748,-83.86811
281,41.03791,-83.86753
282,41.03828,-83.86684
283,41.03856,-83.8662
284,41.03901,-83.86476
285,41.03921,-83.86385
286,41.03951,-83.8615
287,41.04029,-83.85554
288,41.04069,-83.85326
289,41.04136,-83.85068
290,41.04199,-83.84857
291,41.04265,-83.84686
292,41.04507,-83.84094
293,41.0485,-83.83288
294,41.0501,-83.82913
295,41.05075,-83.82758
296,41.05103,-83.82674
297,41.05127,-83.82573
298,41.05139,-83.82488
299,41.05143,-83.82398
300,41.05131,-83.79288
301,41.05136,-83.78815
302,41.0514,-83.78721
303,41.05149,-83.78635
304,41.05168,-83.78543
305,41.052,-83.7844
306,41.05225,-83.78367
307,41.0584,-83.76515
