,Latitude,Longitude
0,41.02403,-80.5191
1,41.02398,-80.51856
2,41.02382,-80.5178
3,41.02361,-80.51702
4,41.0233,-80.51623
5,41.02278,-80.51517
6,41.02238,-80.51436
7,41.02213,-80.51385
8,41.02194,-80.51335
9,41.02174,-80.51265
10,41.0216,-80.51201
11,41.02153,-80.51145
12,41.02147,-80.51066
13,41.02122,-80.50415
14,41.02117,-80.50347
15,41.02108,-80.50291
16,41.02095,-80.50238
17,41.02076,-80.50167
18,41.02051,-80.50105
19,41.02022,-80.50052
20,41.01993,-80.50001
21,41.01967,-80.49959
22,41.01506,-80.49233
23,41.01475,-80.49176
24,41.01455,-80.49125
25,41.01432,-80.49066
26,41.01416,-80.49012
27,41.01255,-80.48439
28,41.01061,-80.47746
29,41.00937,-80.47306
30,41.00752,-80.4664
31,41.00738,-80.46566
32,41.00731,-80.46508
33,41.00727,-80.46443
34,41.0073,-80.46355
35,41.00742,-80.46269
36,41.0085,-80.45788
37,41.00871,-80.45695
38,41.00905,-80.45594
39,41.00965,-80.45446
40,41.01041,-80.4531
41,41.01116,-80.45193
42,41.01197,-80.45064
43,41.01257,-80.44929
44,41.01305,-80.44803
45,41.01361,-80.44659
46,41.0145,-80.44462
47,41.01528,-80.44327
48,41.01556,-80.4429
49,41.01607,-80.4423
50,41.01687,-80.44154
51,41.01761,-80.44108
52,41.01817,-80.44073
53,41.01986,-80.43964
54,41.0224,-80.43812
55,41.023,-80.43768
56,41.02348,-80.43718
57,41.02383,-80.43671
58,41.02414,-80.43617
59,41.02461,-80.43519
60,41.02493,-80.43443
61,41.02507,-80.43397
62,41.02519,-80.43319
63,41.0252,-80.43257
64,41.02507,-80.43191
65,41.02494,-80.43136
66,41.02416,-80.42835
67,41.02325,-80.42594
68,41.02243,-80.42341
69,41.02114,-80.41961
70,41.02091,-80.41872
71,41.0207,-80.41817
72,41.02069,-80.41814
73,41.01973,-80.41622
74,41.01915,-80.41464
75,41.01725,-80.40911
76,41.01628,-80.40628
77,41.01554,-80.4041
78,41.0141,-80.39989
79,41.01234,-80.39487
80,41.01187,-80.39368
81,41.00958,-80.38761
82,41.00818,-80.38369
83,41.00733,-80.38059
84,41.00658,-80.37722
85,41.00631,-80.3758
86,41.00601,-80.37384
87,41.00583,-80.37279
88,41.00507,-80.36837
89,41.00482,-80.36681
90,41.0047,-80.36624
91,41.00458,-80.36591
92,41.00447,-80.36576
93,41.00354,-80.36427
94,41.00346,-80.36398
95,41.00345,-80.36353
96,41.0035,-80.36324
97,41.0035,-80.3624
98,41.00344,-80.36168
99,41.00336,-80.3613
100,41.00311,-80.36042
101,41.0027,-80.35915
102,41.00186,-80.35657
103,41.0018,-80.35624
104,41.00182,-80.35577
105,41.00191,-80.35525
106,41.00232,-80.35371
107,41.00245,-80.35322
108,41.00245,-80.3532
109,41.00249,-80.35276
110,41.0025,-80.35227
111,41.00248,-80.3518
112,41.00238,-80.35018
113,41.00238,-80.34869
114,41.00242,-80.34723
