,Latitude,Longitude
0,40.28301,-76.8809
1,40.28197,-76.8806
2,40.28039,-76.88006
3,40.26466,-76.87464
4,40.26437,-76.87451
5,40.25785,-76.87081
6,40.25735,-76.87057
7,40.257,-76.87038
8,40.25663,-76.87013
9,40.25597,-76.8696
10,40.25517,-76.86898
11,40.25438,-76.86843
12,40.25358,-76.86788
13,40.25264,-76.86728
14,40.25232,-76.86705
15,40.25015,-76.86545
16,40.24932,-76.8649
17,40.2487,-76.86451
18,40.24823,-76.86419
19,40.248,-76.864
20,40.24776,-76.86372
21,40.24486,-76.86021
22,40.24442,-76.85964
23,40.24354,-76.85842
24,40.24325,-76.85807
25,40.24262,-76.85738
26,40.24227,-76.85692
27,40.242,-76.8565
28,40.24171,-76.85601
29,40.24062,-76.85407
30,40.24028,-76.85341
31,40.23854,-76.84984
32,40.23745,-76.84725
33,40.23646,-76.84467
34,40.23539,-76.84169
35,40.2352,-76.84121
36,40.23499,-76.84075
37,40.23404,-76.83875
38,40.23387,-76.83844
39,40.23348,-76.83777
40,40.23267,-76.83658
41,40.23219,-76.83593
42,40.23187,-76.83551
43,40.23171,-76.83531
44,40.22921,-76.83266
45,40.22672,-76.82986
46,40.22636,-76.82944
47,40.22512,-76.82792
48,40.22376,-76.82611
49,40.22337,-76.82564
50,40.22296,-76.82519
51,40.22127,-76.82343
52,40.22074,-76.82284
53,40.22039,-76.82239
54,40.22002,-76.82184
55,40.21774,-76.81834
56,40.21743,-76.8178
57,40.21719,-76.81724
58,40.21696,-76.81662
59,40.21615,-76.81425
60,40.21596,-76.81362
61,40.21585,-76.81312
62,40.21489,-76.80823
63,40.2147,-76.80708
64,40.21389,-76.8016
65,40.21383,-76.80123
66,40.21375,-76.80094
67,40.21362,-76.80057
68,40.21344,-76.8002
69,40.21257,-76.7984
70,40.21199,-76.79728
71,40.21061,-76.79452
72,40.21031,-76.79384
73,40.20971,-76.7923
74,40.2094,-76.79153
75,40.20922,-76.79117
76,40.20904,-76.7908
77,40.20892,-76.79049
78,40.20871,-76.78966
79,40.2086,-76.78936
80,40.20848,-76.78915
81,40.2073,-76.78723
82,40.20715,-76.78696
83,40.20703,-76.78665
84,40.20368,-76.77513
85,40.20343,-76.77435
86,40.20318,-76.77367
87,40.20049,-76.76648
88,40.20033,-76.76598
89,40.20022,-76.76546
90,40.19846,-76.75359
91,40.19823,-76.75188
92,40.19811,-76.75091
93,40.19801,-76.75027
94,40.19705,-76.74473
95,40.19684,-76.74331
96,40.19672,-76.74239
97,40.19667,-76.74177
98,40.19665,-76.74109
99,40.19663,-76.74025
100,40.19666,-76.73938
101,40.19672,-76.73883
102,40.19685,-76.73827
103,40.19697,-76.7379
104,40.19711,-76.73755
105,40.19734,-76.73706
106,40.19889,-76.73385
107,40.19911,-76.73327
108,40.20096,-76.72796
109,40.20102,-76.72764
110,40.20107,-76.72723
111,40.20133,-76.72447
112,40.20136,-76.72391
113,40.20134,-76.72349
114,40.20127,-76.72299
115,40.2004,-76.7177
116,40.20021,-76.71677
117,40.2,-76.71604
118,40.19977,-76.71538
119,40.19823,-76.71139
120,40.19791,-76.71064
121,40.19758,-76.70994
122,40.19716,-76.70907
123,40.19692,-76.70849
124,40.19677,-76.70798
125,40.19665,-76.70745
126,40.19658,-76.70684
127,40.19656,-76.70629
128,40.1966,-76.70566
129,40.19669,-76.70428
130,40.19676,-76.70362
131,40.19676,-76.70362
132,40.19685,-76.70289
133,40.19695,-76.70217
134,40.19709,-76.7014
135,40.19748,-76.69941
136,40.19757,-76.69879
137,40.19759,-76.6983
138,40.19756,-76.6978
139,40.19749,-76.69735
140,40.19739,-76.69692
141,40.19727,-76.69655
142,40.19709,-76.69613
143,40.19686,-76.69574
144,40.19658,-76.69534
145,40.19625,-76.69501
146,40.19589,-76.69469
147,40.19355,-76.69274
148,40.19321,-76.69241
149,40.19294,-76.69207
150,40.19275,-76.69175
151,40.19257,-76.69138
152,40.19239,-76.69082
153,40.1917,-76.68836
154,40.1908,-76.68525
155,40.19062,-76.68473
156,40.19039,-76.68414
157,40.18948,-76.68206
158,40.18929,-76.68168
159,40.18907,-76.68132
160,40.18882,-76.68099
161,40.18843,-76.68054
162,40.18472,-76.67634
163,40.18434,-76.67589
164,40.18398,-76.67537
165,40.18364,-76.6748
166,40.18331,-76.67419
167,40.18294,-76.67338
168,40.18205,-76.67134
169,40.18103,-76.66904
170,40.18084,-76.66855
171,40.18066,-76.66799
172,40.18052,-76.6674
