,Latitude,Longitude
0,30.15882,-85.66035
1,30.17161,-85.6602
2,30.17384,-85.66017
3,30.17429,-85.66014
4,30.17577,-85.66014
5,30.17653,-85.65912
6,30.18902,-85.64147
7,30.18991,-85.64027
8,30.19062,-85.63924
9,30.19881,-85.62765
10,30.20304,-85.62172
11,30.20508,-85.61889
12,30.21267,-85.60818
13,30.2162,-85.60312
14,30.22013,-85.59761
15,30.22185,-85.59524
16,30.25549,-85.54769
17,30.32196,-85.45379
18,30.32371,-85.45158
19,30.32523,-85.44995
20,30.32712,-85.44821
21,30.32906,-85.44664
22,30.33108,-85.44527
23,30.33318,-85.44408
24,30.33527,-85.44312
25,30.33704,-85.44247
26,30.33921,-85.44184
27,30.34126,-85.44139
28,30.36219,-85.43829
29,30.36296,-85.43821
30,30.36424,-85.43822
31,30.37421,-85.43838
32,30.37579,-85.43834
33,30.37698,-85.43824
34,30.37778,-85.43814
35,30.38363,-85.43729
36,30.39833,-85.43496
37,30.39987,-85.43464
38,30.40157,-85.43416
39,30.40654,-85.43226
40,30.4083,-85.43167
41,30.41005,-85.43125
42,30.41195,-85.43089
43,30.46176,-85.42344
44,30.46633,-85.42265
45,30.46787,-85.4224
46,30.47515,-85.4213
47,30.4769,-85.42096
48,30.47788,-85.42075
49,30.48007,-85.42017
50,30.48276,-85.41938
51,30.48502,-85.41879
52,30.52081,-85.40818
53,30.52198,-85.40776
54,30.52314,-85.40716
55,30.52422,-85.40641
56,30.52517,-85.40556
57,30.52609,-85.40453
58,30.52686,-85.40343
59,30.52764,-85.40208
60,30.52962,-85.39853
61,30.53062,-85.39715
62,30.53161,-85.39614
63,30.53265,-85.39532
64,30.53371,-85.39466
65,30.53491,-85.39411
66,30.54048,-85.39235
67,30.54206,-85.39195
68,30.54421,-85.39156
69,30.57589,-85.38681
70,30.57674,-85.38679
71,30.57756,-85.38694
72,30.57839,-85.38724
73,30.57915,-85.38768
74,30.57982,-85.38822
75,30.58034,-85.38881
76,30.58082,-85.38957
77,30.58265,-85.393
78,30.58314,-85.39367
79,30.58373,-85.39427
80,30.58433,-85.39465
81,30.58509,-85.39499
82,30.58583,-85.39517
83,30.58684,-85.3952
84,30.58864,-85.39518
85,30.58983,-85.39528
86,30.60116,-85.3971
87,30.60258,-85.39726
88,30.60409,-85.39725
89,30.60565,-85.39707
90,30.61035,-85.39626
91,30.61178,-85.39613
92,30.61329,-85.39612
93,30.61498,-85.39632
94,30.6425,-85.40014
95,30.6435,-85.40023
96,30.64443,-85.40018
97,30.64555,-85.39979
98,30.64622,-85.39937
99,30.64778,-85.39819
100,30.65024,-85.39628
101,30.6508,-85.39591
102,30.65162,-85.39544
103,30.65244,-85.39507
104,30.65384,-85.39455
105,30.65561,-85.39377
106,30.65628,-85.39357
107,30.65693,-85.39344
108,30.65936,-85.39315
109,30.66181,-85.39283
110,30.66273,-85.39275
111,30.66359,-85.39276
112,30.66455,-85.39286
113,30.67397,-85.3941
114,30.67497,-85.39412
115,30.67612,-85.39405
116,30.6869,-85.39307
117,30.68819,-85.39292
118,30.68949,-85.39271
119,30.69095,-85.39243
120,30.69166,-85.39233
121,30.69501,-85.39202
122,30.69737,-85.3918
123,30.69832,-85.39175
124,30.70178,-85.39175
125,30.7195,-85.3901
126,30.72022,-85.38997
127,30.72093,-85.3897
128,30.72365,-85.38821
129,30.72444,-85.38789
130,30.72525,-85.3877
131,30.74115,-85.38531
132,30.74387,-85.38519
133,30.74507,-85.38505
134,30.74601,-85.38482
135,30.74717,-85.38437
136,30.75425,-85.38142
137,30.75883,-85.3793
138,30.76039,-85.37848
139,30.76154,-85.37792
140,30.76785,-85.3749
141,30.7689,-85.37454
142,30.77001,-85.37427
143,30.77119,-85.37408
144,30.77234,-85.37404
145,30.77354,-85.37407
146,30.77476,-85.37417
147,30.78842,-85.376
148,30.78953,-85.37623
149,30.79029,-85.37635
150,30.79283,-85.37668
151,30.79313,-85.3767
152,30.79399,-85.37672
153,30.79889,-85.37667
154,30.80669,-85.37676
155,30.80711,-85.37673
156,30.80756,-85.37666
157,30.80804,-85.37655
158,30.8084,-85.37644
159,30.80914,-85.37615
160,30.80957,-85.37593
161,30.81003,-85.37566
162,30.81064,-85.37523
163,30.81139,-85.37454
164,30.83988,-85.34758
165,30.84074,-85.34692
166,30.8418,-85.34642
167,30.84274,-85.3462
168,30.84368,-85.34621
169,30.84445,-85.34638
170,30.8453,-85.34672
171,30.86509,-85.35738
172,30.86678,-85.35821
173,30.86857,-85.35905
174,30.94116,-85.39204
175,30.94206,-85.3925
176,30.94306,-85.39318
177,30.94383,-85.39387
178,30.94441,-85.39453
179,30.94488,-85.39517
180,30.94527,-85.39591
181,30.94558,-85.39671
182,30.9458,-85.3975
183,30.94619,-85.39917
184,30.94645,-85.39988
185,30.94677,-85.40049
186,30.94732,-85.40125
187,30.94779,-85.40169
188,30.9482,-85.40197
189,30.94861,-85.40215
190,30.94906,-85.40229
191,30.94965,-85.40234
192,30.95611,-85.40255
193,30.95704,-85.40268
194,30.95808,-85.40294
195,30.95924,-85.40333
196,30.96046,-85.40386
197,30.96168,-85.40453
198,30.96598,-85.40726
199,30.96699,-85.40778
200,30.96816,-85.40815
201,30.97088,-85.4089
202,30.97217,-85.40914
203,30.97469,-85.40942
204,30.97575,-85.40939
205,30.97695,-85.40916
206,30.97808,-85.40885
207,30.98305,-85.40738
208,30.98394,-85.40721
209,30.98477,-85.40721
210,30.98574,-85.40731
211,30.98982,-85.40789
212,30.99127,-85.408
213,30.99262,-85.40798
214,30.99458,-85.40787
215,30.99691,-85.4077
216,30.99783,-85.40766
217,30.99829,-85.40767
