,Latitude,Longitude
0,39.10874,-94.60726
1,39.1074683,-94.6031992
2,39.1073185,-94.6024429
3,39.1072394,-94.6017187
4,39.1064992,-94.5733916
5,39.1064575,-94.5710313
6,39.1069404,-94.5683812
7,39.1044526,-94.497731
8,39.1044428,-94.4967664
9,39.1044886,-94.4959511
10,39.1046093,-94.4950016
11,39.104755,-94.4942452
12,39.1063136,-94.4889093
13,39.1064343,-94.488448
14,39.1065717,-94.4878284
15,39.1066487,-94.4872705
16,39.1067195,-94.4852561
17,39.1067881,-94.4843952
18,39.1071644,-94.4820704
19,39.107947,-94.4785513
20,39.1080698,-94.4776286
21,39.1080668,-94.4769508
22,39.1079815,-94.476071
23,39.1078526,-94.4754742
24,39.1075134,-94.474404
25,39.1072982,-94.4739119
26,39.1070609,-94.4734666
27,39.1068237,-94.4730857
28,39.1063866,-94.472501
29,39.1045673,-94.4706043
30,39.1040574,-94.4699847
31,39.1036463,-94.4694172
32,39.102492,-94.4675694
33,39.1018134,-94.4665072
34,39.10118,-94.46558
35,39.10108,-94.46542
36,39.10101,-94.46528
37,39.10099,-94.46525
38,39.10089,-94.46499
39,39.10086,-94.46487
40,39.10082,-94.46474
41,39.1008,-94.46458
42,39.10078,-94.46447
43,39.10077,-94.46431
44,39.10077,-94.46408
45,39.10079,-94.4639
46,39.10083,-94.46366
47,39.10083,-94.46365
48,39.10087,-94.46351
49,39.1009,-94.46343
50,39.10093,-94.46333
51,39.10098,-94.46323
52,39.10102,-94.46313
53,39.10103,-94.46313
54,39.10112,-94.46295
55,39.10112,-94.46294
56,39.10153,-94.46226
57,39.10166,-94.46201
58,39.10169,-94.46196
59,39.10171,-94.46191
60,39.10175,-94.46183
61,39.10186,-94.46157
62,39.10202,-94.46116
63,39.10217,-94.46081
64,39.1023,-94.46048
65,39.10235,-94.46037
66,39.1024,-94.46024
67,39.10244,-94.46011
68,39.10249,-94.45998
69,39.10253,-94.45985
70,39.10254,-94.45981
71,39.1026,-94.45964
72,39.1026,-94.45963
73,39.10274,-94.45913
74,39.10274,-94.4591
75,39.1028,-94.45888
76,39.10278,-94.45877
77,39.10278,-94.45874
78,39.10282,-94.45847
79,39.10284,-94.45837
80,39.10284,-94.45834
81,39.10286,-94.45809
82,39.10286,-94.45791
83,39.10285,-94.45761
84,39.10285,-94.45728
85,39.10282,-94.45663
86,39.10282,-94.4564
87,39.10276,-94.45448
88,39.10273,-94.4539
89,39.10273,-94.45367
90,39.10269,-94.45272
91,39.10266,-94.45239
92,39.10264,-94.45172
93,39.10262,-94.45136
