,Latitude,Longitude
0,38.91147,-77.04868
1,38.91149,-77.04868
2,38.91151,-77.04867
3,38.91154,-77.04864
4,38.91156,-77.04863
5,38.91158,-77.04861
6,38.9116,-77.04859
7,38.91162,-77.04857
8,38.91163,-77.04855
9,38.91165,-77.04853
10,38.91166,-77.04852
11,38.91169,-77.04849
12,38.91175,-77.04848
13,38.91177,-77.04845
14,38.91182,-77.04839
15,38.91187,-77.04833
16,38.9119,-77.04828
17,38.91197,-77.04821
18,38.91205,-77.04812
19,38.91227,-77.04788
20,38.91261,-77.04756
21,38.91264,-77.04752
22,38.91266,-77.04751
23,38.91269,-77.04749
24,38.91271,-77.04746
25,38.91274,-77.04745
26,38.91333,-77.04712
27,38.91365,-77.04695
28,38.9137,-77.04692
29,38.91374,-77.04689
30,38.91376,-77.04688
31,38.91379,-77.04685
32,38.91381,-77.04683
33,38.91393,-77.0467
34,38.91409,-77.04653
35,38.91409,-77.04635
36,38.91409,-77.04611
37,38.9141,-77.04595
38,38.91416,-77.04599
39,38.91431,-77.04604
40,38.91436,-77.04606
41,38.91442,-77.04608
42,38.91448,-77.0461
43,38.91456,-77.04612
44,38.91463,-77.04613
45,38.9147,-77.04615
46,38.91476,-77.04616
47,38.91485,-77.04618
48,38.91498,-77.04619
49,38.91601,-77.04629
50,38.91602,-77.0463
51,38.91616,-77.04635
52,38.91622,-77.04637
53,38.91627,-77.04640
54,38.91632,-77.04642
55,38.91643,-77.04649
56,38.91653,-77.04655
57,38.91669,-77.04664
58,38.91679,-77.0467
59,38.91688,-77.04675
60,38.91709,-77.04689
61,38.91722,-77.04696
62,38.91739,-77.04705
63,38.91756,-77.04713
64,38.91774,-77.04723
65,38.91819,-77.04745
66,38.91829,-77.0475
67,38.91834,-77.04752
68,38.91836,-77.04754
69,38.91839,-77.04756
70,38.91843,-77.04758
71,38.91846,-77.04761
72,38.91849,-77.04764
73,38.91849,-77.04765
74,38.91851,-77.04768
75,38.91853,-77.04771
76,38.91855,-77.04774
77,38.91857,-77.04781
78,38.91861,-77.04797
79,38.91867,-77.04819
80,38.91872,-77.04833
81,38.91876,-77.04846
82,38.91879,-77.04854
83,38.91881,-77.04861
84,38.91884,-77.04868
85,38.91885,-77.04872
86,38.91887,-77.04875
87,38.91888,-77.04877
88,38.9189,-77.0488
89,38.91892,-77.04882
90,38.91895,-77.04885
91,38.91898,-77.04886
92,38.919,-77.04889
93,38.91927,-77.04904
94,38.9195,-77.04916
95,38.92032,-77.04962
96,38.92098,-77.05
97,38.92131,-77.05018
98,38.92134,-77.0502
99,38.92143,-77.05025
100,38.92148,-77.05028
101,38.92171,-77.05042
102,38.9218,-77.05047
103,38.92212,-77.05067
104,38.92245,-77.05087
105,38.92285,-77.05110
106,38.92354,-77.05153
107,38.92477,-77.05224
108,38.92496,-77.05235
109,38.92554,-77.05269
110,38.92606,-77.05298
111,38.92633,-77.05313
112,38.92653,-77.05325
113,38.92661,-77.05331
114,38.92743,-77.05378
115,38.92766,-77.05391
116,38.92811,-77.05418
117,38.92822,-77.05423
118,38.9286,-77.05446
119,38.92904,-77.05471
120,38.92953,-77.05500
121,38.92982,-77.05517
122,38.92995,-77.05524
123,38.9305,-77.05557
124,38.93058,-77.05561
125,38.93072,-77.0557
126,38.93081,-77.05574
127,38.93141,-77.05609
128,38.93165,-77.05623
129,38.9317,-77.05625
130,38.93261,-77.05678
131,38.93301,-77.05701
132,38.93351,-77.05731
133,38.93409,-77.05764
134,38.93474,-77.05802
135,38.93557,-77.05851
136,38.93615,-77.05885
137,38.93631,-77.05894
138,38.93682,-77.05919
139,38.93705,-77.05933
140,38.93727,-77.05946
141,38.93818,-77.06003
142,38.93828,-77.06009
143,38.93847,-77.06021
144,38.93861,-77.0603
145,38.93908,-77.06057
146,38.93922,-77.06065
147,38.93925,-77.06066
148,38.9394,-77.06075
149,38.93953,-77.06083
150,38.94013,-77.06117
151,38.94091,-77.06162
152,38.94101,-77.06169
153,38.94202,-77.06228
154,38.94235,-77.06246
155,38.94268,-77.06265
156,38.94312,-77.06289
157,38.94319,-77.06292
158,38.94381,-77.0633
159,38.94426,-77.06356
160,38.94466,-77.0638
161,38.9455,-77.06429
162,38.94596,-77.06455
163,38.94614,-77.06465
164,38.94674,-77.065
165,38.9471,-77.06520
166,38.94738,-77.06538
167,38.94749,-77.06544
168,38.94752,-77.06546
169,38.9479,-77.06568
170,38.94813,-77.06581
171,38.94822,-77.06587
172,38.94833,-77.06594
173,38.94838,-77.06596
174,38.94858,-77.06609
175,38.94869,-77.06614
176,38.94883,-77.06623
177,38.9489,-77.06628
178,38.94899,-77.06632
179,38.94913,-77.06641
180,38.94924,-77.06647
181,38.94968,-77.06673
182,38.95009,-77.06695
183,38.95047,-77.06717
184,38.95073,-77.06732
185,38.95141,-77.06773
186,38.95174,-77.06792
187,38.9518,-77.06795
188,38.95195,-77.06804
189,38.9521,-77.06811
190,38.9522,-77.06818
191,38.95231,-77.06825
192,38.95269,-77.06847
193,38.95277,-77.06851
194,38.95294,-77.06861
195,38.95318,-77.06874
196,38.95322,-77.06877
197,38.95331,-77.06882
198,38.95338,-77.06887
199,38.95371,-77.06905
200,38.95389,-77.06916
201,38.95395,-77.0692
202,38.95402,-77.06923
203,38.95417,-77.06932
204,38.95423,-77.06937
205,38.95434,-77.06941
206,38.95444,-77.06948
207,38.95446,-77.06950
208,38.9546,-77.06958
209,38.95469,-77.06963
210,38.95488,-77.06974
211,38.95517,-77.06990
212,38.95543,-77.07006
213,38.95554,-77.07012
214,38.95568,-77.0702
215,38.95584,-77.0703
216,38.95603,-77.07041
217,38.95626,-77.07053
218,38.95652,-77.0707
219,38.95699,-77.07098
220,38.95722,-77.07111
221,38.95753,-77.07129
222,38.95774,-77.07141
223,38.95806,-77.07158
224,38.95807,-77.07159
225,38.95817,-77.07165
226,38.95832,-77.07174
227,38.95838,-77.07178
228,38.95895,-77.07211
229,38.95903,-77.07214
230,38.95917,-77.07223
231,38.95953,-77.07245
232,38.95969,-77.07254
233,38.96032,-77.0729
234,38.96093,-77.07326
235,38.96102,-77.07331
236,38.96146,-77.07357
237,38.96159,-77.07364
238,38.96169,-77.0737
239,38.9618,-77.07375
240,38.96196,-77.07386
241,38.96207,-77.07392
242,38.9624,-77.07411
243,38.96256,-77.07420
244,38.9629,-77.07441
245,38.96301,-77.07447
246,38.96309,-77.07452
247,38.96338,-77.07469
248,38.964,-77.07505
249,38.96456,-77.07538
250,38.96491,-77.07559
251,38.96522,-77.07577
252,38.96578,-77.07611
253,38.96591,-77.07617
254,38.96601,-77.07622
255,38.96612,-77.07628
256,38.9662,-77.07633
257,38.96636,-77.07642
258,38.96668,-77.07661
259,38.96679,-77.07666
260,38.96695,-77.07671
261,38.96699,-77.07673
262,38.96702,-77.07674
263,38.96706,-77.07675
264,38.96708,-77.07675
265,38.96711,-77.07675
266,38.96714,-77.07677
267,38.96717,-77.07675
268,38.9672,-77.07675
269,38.96725,-77.07675
270,38.96729,-77.07675
271,38.96733,-77.07674
272,38.96737,-77.07673
273,38.9674,-77.07671
274,38.96743,-77.07671
275,38.96746,-77.07669
276,38.9675,-77.07666
277,38.96753,-77.07666
278,38.96756,-77.07665
279,38.96759,-77.07665
280,38.96761,-77.07665
281,38.96764,-77.07665
282,38.96767,-77.07665
283,38.9677,-77.07666
284,38.96772,-77.07666
285,38.96775,-77.07668
286,38.96779,-77.07669
287,38.96781,-77.07671
288,38.96785,-77.07673
289,38.96788,-77.07675
290,38.9679,-77.07678
291,38.96792,-77.07680
292,38.96794,-77.07683
293,38.96795,-77.07686
294,38.96797,-77.07689
295,38.96802,-77.07695
296,38.96806,-77.07698
297,38.96809,-77.07701
298,38.96812,-77.07702
299,38.96816,-77.07704
300,38.96819,-77.07706
301,38.96822,-77.07707
302,38.96825,-77.07708
303,38.96828,-77.07709
304,38.96831,-77.07709
305,38.96836,-77.07709
306,38.96865,-77.07709
307,38.96925,-77.0771
308,38.96937,-77.07711
309,38.97027,-77.07711
310,38.97118,-77.07711
311,38.97157,-77.0771
312,38.97202,-77.0771
313,38.97255,-77.07709
314,38.9737,-77.07709
315,38.97382,-77.07709
316,38.97483,-77.07709
317,38.97574,-77.07709
318,38.97669,-77.07711
319,38.97785,-77.07711
320,38.978,-77.07711
321,38.97806,-77.07711
322,38.97817,-77.07711
323,38.97843,-77.0771
324,38.97855,-77.0771
325,38.97865,-77.0771
326,38.97931,-77.0771
327,38.9794,-77.07711
328,38.9795,-77.07711
329,38.97968,-77.07711
330,38.97977,-77.07711
331,38.98035,-77.07711
332,38.98099,-77.07711
333,38.98219,-77.07711
334,38.98281,-77.07711
335,38.98301,-77.0771
336,38.98377,-77.0771
337,38.98421,-77.07709
338,38.9846,-77.0771
339,38.9855,-77.0771
340,38.98629,-77.07709
341,38.98706,-77.07708
342,38.98765,-77.0771
343,38.98793,-77.0771
344,38.98794,-77.07723
345,38.98795,-77.07765
346,38.98794,-77.07877
347,38.98793,-77.07883
348,38.98791,-77.07923
349,38.98791,-77.07953
350,38.9879,-77.07966
351,38.98791,-77.07999
352,38.98793,-77.08013
