,Latitude,Longitude
0,38.89033,-77.05019
1,38.89035,-77.05018
2,38.89039,-77.05016
3,38.89075,-77.05016
4,38.89216,-77.05016
5,38.89241,-77.05015
6,38.89313,-77.05015
7,38.89327,-77.05014
8,38.89358,-77.05014
9,38.89365,-77.05013
10,38.89374,-77.05013
11,38.89381,-77.05012
12,38.89569,-77.05012
13,38.89575,-77.05011
14,38.89725,-77.05011
15,38.89737,-77.05012
16,38.89761,-77.05012
17,38.89771,-77.05013
18,38.90198,-77.05012
19,38.90198,-77.05007
20,38.902,-77.04997
21,38.902,-77.04993
22,38.90203,-77.04983
23,38.90205,-77.04978
24,38.90207,-77.04974
25,38.90209,-77.04969
26,38.90217,-77.04961
27,38.90221,-77.04958
28,38.90224,-77.04956
29,38.90228,-77.04953
30,38.90232,-77.04951
31,38.90236,-77.04949
32,38.90245,-77.04946
33,38.90249,-77.04946
34,38.90252,-77.04944
35,38.90265,-77.04944
36,38.90275,-77.04948
37,38.90284,-77.04953
38,38.90286,-77.04955
39,38.90288,-77.04958
40,38.90291,-77.04961
41,38.90293,-77.04965
42,38.90295,-77.04967
43,38.90296,-77.0497
44,38.90298,-77.04971
45,38.9031,-77.04958
46,38.90353,-77.04919
47,38.9039,-77.04881
48,38.91002,-77.0488
49,38.91012,-77.04879
50,38.91045,-77.04879
51,38.91079,-77.04876
52,38.91086,-77.04875
53,38.91093,-77.04875
54,38.91102,-77.04874
55,38.91135,-77.04874
56,38.91144,-77.04871
57,38.91147,-77.04868
58,38.91181,-77.04967
59,38.91188,-77.04978
60,38.91192,-77.04986
61,38.91198,-77.05005
62,38.91202,-77.05013
63,38.91205,-77.05016
64,38.91209,-77.05021
65,38.91212,-77.05023
66,38.91216,-77.05025
67,38.9122,-77.05025
68,38.91223,-77.05028
69,38.91228,-77.05029
70,38.91231,-77.05032
71,38.91234,-77.05034
72,38.9124,-77.05043
73,38.91243,-77.0505
74,38.91247,-77.05067
75,38.91248,-77.05079
76,38.9125,-77.05092
77,38.91252,-77.05101
78,38.91257,-77.05114
79,38.91259,-77.05118
80,38.91261,-77.05123
81,38.91271,-77.05141
82,38.91613,-77.0561
83,38.91633,-77.05636
84,38.91662,-77.05677
