,Latitude,Longitude
0,30.6229,-83.118584
1,30.62525,-83.120064
2,30.62607,-83.120651
3,30.62652,-83.12104
4,30.637159,-83.131706
5,30.64225,-83.136887
6,30.64292,-83.13752
7,30.658159,-83.152962
8,30.66963,-83.164421
9,30.682119,-83.177063
10,30.682301,-83.177147
11,30.682619,-83.177429
12,30.683599,-83.178551
13,30.684059,-83.179329
14,30.684311,-83.179878
15,30.68454,-83.18055
16,30.685921,-83.186127
17,30.68638,-83.188492
18,30.68693,-83.190933
19,30.686979,-83.192101
20,30.68696,-83.192619
21,30.6866,-83.194939
22,30.68664,-83.196281
23,30.68684,-83.197441
24,30.68733,-83.199661
25,30.68833,-83.203827
26,30.68862,-83.204628
27,30.68919,-83.20575
28,30.68952,-83.206261
29,30.69022,-83.207069
30,30.690741,-83.207588
31,30.6917,-83.208366
32,30.69313,-83.209091
33,30.698071,-83.210579
34,30.69849,-83.21067
35,30.699089,-83.210709
36,30.70112,-83.21067
37,30.70223,-83.210899
38,30.716009,-83.21508
39,30.72204,-83.216362
40,30.72319,-83.216873
41,30.726379,-83.21862
42,30.727751,-83.219261
43,30.72937,-83.219818
44,30.730659,-83.220108
45,30.73197,-83.220268
46,30.73555,-83.220367
47,30.738449,-83.220551
48,30.73942,-83.220543
49,30.74048,-83.220451
50,30.741409,-83.220322
51,30.74235,-83.220123
52,30.74929,-83.217827
53,30.749969,-83.217651
54,30.750509,-83.217567
55,30.75123,-83.217583
56,30.75234,-83.217758
57,30.756109,-83.218559
58,30.757219,-83.218872
59,30.761471,-83.220482
60,30.762131,-83.22081
61,30.763069,-83.221481
62,30.7637,-83.222099
63,30.764391,-83.222992
64,30.765671,-83.225777
65,30.76656,-83.226997
66,30.767099,-83.227592
67,30.76783,-83.228119
68,30.768579,-83.228561
69,30.77297,-83.230499
70,30.77363,-83.230728
71,30.774731,-83.231056
72,30.779301,-83.232193
73,30.78784,-83.234444
74,30.78867,-83.234749
75,30.78948,-83.235184
76,30.78993,-83.235489
77,30.79063,-83.236099
78,30.79417,-83.240448
79,30.795321,-83.241722
80,30.795321,-83.241722
81,30.79567,-83.242119
82,30.79768,-83.243973
83,30.798901,-83.245323
84,30.80806,-83.257111
85,30.808069,-83.257217
86,30.810249,-83.259872
87,30.810749,-83.260567
88,30.813709,-83.264351
89,30.81394,-83.264702
90,30.81488,-83.265808
91,30.81673,-83.268242
92,30.817249,-83.26899
93,30.819981,-83.272362
94,30.820181,-83.272697
95,30.821199,-83.273727
96,30.821501,-83.273956
97,30.823,-83.274757
98,30.8244,-83.275414
99,30.8258,-83.275932
100,30.829201,-83.277748
101,30.829519,-83.277779
102,30.830219,-83.277611
103,30.830469,-83.277641
104,30.83082,-83.27787
105,30.833019,-83.279007
106,30.833481,-83.279182
107,30.839371,-83.279892
108,30.84075,-83.280113
109,30.849449,-83.28051
110,30.85437,-83.280792
