,Latitude,Longitude
0,37.92396,-87.54835
1,37.93291,-87.54806
2,37.93462,-87.54767
3,37.93566,-87.54691
4,37.94075,-87.54349
5,37.9419,-87.54317
6,37.94303,-87.5432
7,37.94895,-87.54304
8,37.9499,-87.54289
9,37.95127,-87.54252
10,37.95239,-87.54208
11,37.95304,-87.54204
12,37.9542,-87.54207
13,37.95827,-87.54296
14,37.96699,-87.54283
15,37.97015,-87.54385
16,37.97804,-87.54392
17,37.97874,-87.5438
18,37.97971,-87.54317
19,37.98032,-87.54276
20,37.98105,-87.54219
21,37.9817,-87.54196
22,37.98249,-87.54194
23,37.9864,-87.54184
24,37.98692,-87.54174
25,37.98729,-87.54152
26,37.99305,-87.53824
27,37.99344,-87.53809
28,37.99403,-87.53803
29,38.00126,-87.53774
30,38.0082,-87.53929
31,38.00928,-87.53935
32,38.03037,-87.53875
33,38.03238,-87.53878
34,38.03409,-87.53892
35,38.03593,-87.5395
36,38.05539,-87.54637
37,38.08164,-87.5557
38,38.08499,-87.55646
39,38.0877,-87.55664
40,38.08992,-87.55641
41,38.10169,-87.55457
42,38.10499,-87.55408
43,38.10761,-87.55395
44,38.12266,-87.55358
45,38.12422,-87.55341
46,38.12573,-87.55294
47,38.12951,-87.55161
48,38.13032,-87.55134
49,38.13183,-87.55118
50,38.13355,-87.5511
51,38.16772,-87.55054
52,38.19835,-87.54985
53,38.20051,-87.54996
54,38.20221,-87.55032
55,38.20391,-87.55099
56,38.20507,-87.55156
57,38.20693,-87.55262
58,38.20842,-87.55382
59,38.20998,-87.55541
60,38.22122,-87.5658
61,38.22245,-87.56697
62,38.22361,-87.56775
63,38.22514,-87.56823
64,38.22653,-87.56837
65,38.27908,-87.56767
66,38.30763,-87.56735
67,38.31048,-87.56779
68,38.31295,-87.56883
69,38.31592,-87.57062
70,38.31757,-87.57231
71,38.33187,-87.59195
72,38.333,-87.5934
73,38.3345,-87.59492
74,38.33635,-87.59639
75,38.33858,-87.59762
76,38.34094,-87.59825
77,38.3427,-87.59856
78,38.40113,-87.59869
79,38.40268,-87.59845
80,38.4037,-87.59806
81,38.40503,-87.59721
82,38.40594,-87.59631
83,38.40748,-87.59444
84,38.41197,-87.58884
85,38.41293,-87.58791
86,38.41403,-87.58699
87,38.41526,-87.58636
88,38.43816,-87.57384
89,38.44268,-87.57187
90,38.44695,-87.57059
91,38.45182,-87.56989
92,38.47997,-87.56572
93,38.50797,-87.56148
94,38.50965,-87.56102
95,38.51132,-87.56008
96,38.51262,-87.55918
97,38.51378,-87.55794
98,38.51471,-87.55677
99,38.51539,-87.55526
100,38.51627,-87.55335
101,38.51716,-87.55136
102,38.52112,-87.54265
103,38.52169,-87.5417
104,38.52262,-87.54051
105,38.52393,-87.53928
106,38.52559,-87.53843
107,38.527,-87.53799
108,38.52935,-87.538
109,38.59175,-87.53866
110,38.60099,-87.53889
111,38.60898,-87.53895
112,38.61088,-87.53872
113,38.61247,-87.53813
114,38.62005,-87.53481
115,38.62289,-87.53373
116,38.62529,-87.53296
117,38.62892,-87.53233
118,38.64421,-87.52964
119,38.64584,-87.5292
120,38.64702,-87.52863
121,38.64816,-87.52782
122,38.64997,-87.5261
