,Latitude,Longitude
0,47.1265711,-88.5932217
1,47.1264959,-88.5930569
2,47.1262801,-88.5925841
3,47.1262486,-88.5925203
4,47.1258368,-88.591613
5,47.1257726,-88.5914593
6,47.1257224,-88.5912428
7,47.1257225,-88.5912186
8,47.125723,-88.5911412
9,47.1256895,-88.5892067
10,47.125687,-88.589069
11,47.125664,-88.587165
12,47.125667,-88.586985
13,47.12567,-88.5868595
14,47.1258022,-88.5847349
15,47.1258193,-88.5844477
16,47.1258239,-88.5843555
17,47.1258298,-88.5842727
18,47.1259206,-88.5830004
19,47.125936,-88.582795
20,47.1260161,-88.5816995
21,47.1260886,-88.5806142
22,47.1260953,-88.5805145
23,47.1261632,-88.5795074
24,47.1262022,-88.5789294
25,47.1261991,-88.5788779
26,47.1261957,-88.5787481
27,47.1261952,-88.5786437
28,47.1261937,-88.5785503
29,47.1261894,-88.5784513
30,47.1261808,-88.5782841
