,Latitude,Longitude
0,36.96699,-84.08527
1,36.96706,-84.08512
2,36.96716,-84.08482
3,36.96718,-84.08478
4,36.96726,-84.08478
5,36.96766,-84.08369
6,36.96769,-84.08363
7,36.96796,-84.08287
8,36.96823,-84.08226
9,36.96844,-84.0819
10,36.9685,-84.08182
11,36.96853,-84.08177
12,36.96873,-84.08149
13,36.96885,-84.08135
14,36.96901,-84.08121
15,36.96918,-84.08101
16,36.96925,-84.08094
17,36.96955,-84.08071
18,36.96971,-84.08061
19,36.97003,-84.08043
20,36.97019,-84.08035
21,36.97052,-84.08021
22,36.97121,-84.08001
23,36.97128,-84.08
24,36.97176,-84.0799
25,36.97178,-84.07989
26,36.972,-84.07985
27,36.97205,-84.07983
28,36.97211,-84.07982
29,36.97214,-84.07981
30,36.97232,-84.07978
31,36.9725,-84.07974
32,36.97289,-84.07967
33,36.97304,-84.07965
34,36.97307,-84.07964
35,36.97322,-84.07962
36,36.97324,-84.07962
37,36.97395,-84.07951
38,36.97413,-84.0795
39,36.97469,-84.07944
40,36.97604,-84.07937
41,36.97696,-84.0794
42,36.97853,-84.07948
43,36.97941,-84.07955
44,36.97984,-84.07957
45,36.97986,-84.07958
46,36.98194,-84.07971
47,36.98199,-84.07972
48,36.98416,-84.07988
49,36.98434,-84.0799
50,36.98604,-84.08002
51,36.98618,-84.08004
52,36.98686,-84.08008
53,36.98953,-84.08029
54,36.99047,-84.08033
55,36.99077,-84.08031
56,36.99087,-84.08031
57,36.99268,-84.08016
58,36.99287,-84.08013
59,36.993,-84.0801
60,36.99314,-84.08008
61,36.99326,-84.08005
62,36.9939,-84.07992
63,36.99411,-84.07986
64,36.99432,-84.07981
65,36.995,-84.07957
66,36.99532,-84.07944
67,36.99612,-84.07908
68,36.99698,-84.07865
69,36.9971,-84.07858
70,36.99727,-84.0785
71,36.99775,-84.07825
72,37.00427,-84.07503
73,37.00473,-84.07486
74,37.00485,-84.07483
75,37.00486,-84.07482
76,37.00505,-84.07475
77,37.00629,-84.07439
78,37.00689,-84.07426
79,37.0078,-84.07411
80,37.0081,-84.07404
81,37.00823,-84.07402
82,37.00882,-84.07386
83,37.00918,-84.07374
84,37.00942,-84.07367
85,37.00956,-84.07361
86,37.0097,-84.07356
87,37.00972,-84.07356
88,37.01039,-84.0733
89,37.01074,-84.07314
90,37.01211,-84.07247
91,37.01261,-84.07226
92,37.01312,-84.072
93,37.01378,-84.07169
94,37.01518,-84.07095
95,37.0155,-84.0708
96,37.01553,-84.07078
97,37.01568,-84.0707
98,37.01573,-84.07068
99,37.016,-84.07055
100,37.01603,-84.07054
101,37.01636,-84.07037
102,37.01654,-84.0703
103,37.01671,-84.07022
104,37.01688,-84.07016
105,37.01705,-84.07009
106,37.01723,-84.07003
107,37.01796,-84.06984
108,37.01798,-84.06984
109,37.01837,-84.06977
110,37.01857,-84.06975
111,37.01877,-84.06972
112,37.02047,-84.06957
113,37.0211,-84.06948
114,37.0213,-84.06944
115,37.0217,-84.06934
116,37.0219,-84.06928
117,37.02198,-84.06925
118,37.0221,-84.06922
119,37.02229,-84.06916
120,37.02245,-84.0691
121,37.02268,-84.06898
122,37.02287,-84.06887
123,37.02294,-84.06882
124,37.02306,-84.06876
125,37.02325,-84.06865
126,37.02363,-84.06841
127,37.02364,-84.0684
128,37.02375,-84.06833
129,37.0242,-84.068
130,37.02474,-84.06754
131,37.02753,-84.06496
132,37.02806,-84.06445
133,37.02846,-84.06411
134,37.02869,-84.06393
135,37.02912,-84.06363
136,37.03193,-84.06189
137,37.032,-84.06184
138,37.03351,-84.06094
139,37.03416,-84.06053
140,37.03628,-84.05909
141,37.03727,-84.05839
142,37.04655,-84.05273
143,37.0469,-84.05256
144,37.04731,-84.0524
145,37.04751,-84.05234
146,37.04752,-84.05234
147,37.04772,-84.05228
148,37.04804,-84.05222
149,37.0484,-84.05219
150,37.04857,-84.05219
151,37.04878,-84.05218
152,37.05028,-84.05219
153,37.05044,-84.0522
154,37.05298,-84.05221
155,37.05655,-84.05228
156,37.0567,-84.05229
157,37.05688,-84.05229
158,37.05701,-84.0523
159,37.05827,-84.05232
160,37.05843,-84.05233
161,37.05892,-84.05233
162,37.05898,-84.05234
163,37.05908,-84.05234
164,37.0594,-84.05236
165,37.05979,-84.05242
166,37.06005,-84.05247
167,37.06022,-84.05252
168,37.06026,-84.05254
169,37.06057,-84.05264
170,37.0611,-84.05289
171,37.06146,-84.0531
172,37.06181,-84.05336
173,37.06215,-84.05365
174,37.06231,-84.05381
175,37.06262,-84.05415
176,37.06273,-84.0543
177,37.06276,-84.05433
178,37.06291,-84.05452
179,37.06318,-84.05492
180,37.06321,-84.05498
181,37.06348,-84.05544
182,37.06352,-84.05552
183,37.0638,-84.056
184,37.06383,-84.05607
185,37.06413,-84.05657
186,37.06426,-84.05677
187,37.06435,-84.05689
188,37.06439,-84.05696
189,37.06484,-84.05749
190,37.06516,-84.0578
191,37.06518,-84.05781
192,37.06552,-84.0581
193,37.06571,-84.05823
194,37.06611,-84.05847
195,37.06631,-84.05857
196,37.06671,-84.05875
197,37.06691,-84.05882
198,37.06711,-84.05888
199,37.06732,-84.05893
200,37.06753,-84.05897
201,37.06766,-84.05898
202,37.06775,-84.059
203,37.06806,-84.05903
204,37.06822,-84.05903
205,37.06861,-84.05901
206,37.06905,-84.05895
207,37.06992,-84.05873
208,37.0706,-84.05858
209,37.07083,-84.05854
210,37.07106,-84.05849
211,37.07129,-84.05845
212,37.072,-84.05836
213,37.07223,-84.05834
214,37.07295,-84.05831
215,37.07319,-84.05832
216,37.07343,-84.05832
217,37.07392,-84.05834
218,37.0744,-84.05838
219,37.07477,-84.05843
220,37.0749,-84.05844
221,37.07538,-84.05852
222,37.07727,-84.05892
223,37.0775,-84.05898
224,37.07951,-84.05942
225,37.07973,-84.05946
