,Latitude,Longitude
0,35.97197,-83.21194
1,35.97234,-83.21294
2,35.97262,-83.2136
3,35.97298,-83.21436
4,35.9738,-83.21596
5,35.97465,-83.21756
6,35.97503,-83.21831
7,35.97507,-83.2184
8,35.97511,-83.21851
9,35.97514,-83.21861
10,35.97518,-83.21872
11,35.97531,-83.21922
12,35.97535,-83.21951
13,35.97537,-83.21978
14,35.97537,-83.22002
15,35.97534,-83.22042
16,35.97506,-83.22264
17,35.97506,-83.22267
18,35.9746,-83.22618
19,35.97458,-83.2264
20,35.97414,-83.22978
21,35.9738,-83.23284
22,35.97351,-83.23508
23,35.9735,-83.23522
24,35.97346,-83.23548
25,35.97346,-83.23553
26,35.97343,-83.23576
27,35.97342,-83.2358
28,35.97338,-83.23617
29,35.97334,-83.23639
30,35.9728,-83.24059
31,35.97231,-83.24404
32,35.97228,-83.24435
33,35.97229,-83.24465
34,35.97225,-83.24488
35,35.97223,-83.2451
36,35.97189,-83.24768
37,35.97185,-83.24793
38,35.97166,-83.24943
39,35.97125,-83.25226
40,35.9711,-83.25302
41,35.97102,-83.25333
42,35.971,-83.25345
43,35.97097,-83.25354
44,35.97065,-83.25487
45,35.97032,-83.25607
46,35.97032,-83.25609
47,35.96969,-83.25852
48,35.96951,-83.25915
49,35.96941,-83.25955
50,35.9694,-83.25957
51,35.96938,-83.25967
52,35.96934,-83.2598
53,35.96925,-83.26021
54,35.96922,-83.26044
55,35.9692,-83.26054
56,35.9692,-83.26056
57,35.96918,-83.26076
58,35.96917,-83.26081
59,35.96914,-83.2612
60,35.96913,-83.26159
61,35.96909,-83.26173
62,35.96907,-83.26218
63,35.9691,-83.26381
64,35.96908,-83.26451
65,35.96913,-83.2652
66,35.96915,-83.26525
67,35.96914,-83.26533
68,35.96916,-83.26545
69,35.96917,-83.26547
70,35.96919,-83.26564
71,35.96922,-83.26578
72,35.96922,-83.26579
73,35.96931,-83.26606
74,35.96933,-83.26617
75,35.96946,-83.26652
76,35.96948,-83.2666
77,35.96956,-83.26682
78,35.96967,-83.26717
79,35.97014,-83.26881
80,35.97014,-83.26882
81,35.9702,-83.26902
82,35.9702,-83.26903
83,35.97026,-83.26923
84,35.97026,-83.26924
85,35.97049,-83.27008
86,35.97059,-83.27033
87,35.97059,-83.27035
88,35.97065,-83.27054
89,35.97099,-83.27142
90,35.97116,-83.27172
91,35.9712,-83.2718
92,35.97143,-83.27214
93,35.9717,-83.27251
94,35.97215,-83.273
95,35.97228,-83.27312
96,35.97252,-83.27331
97,35.97254,-83.27334
98,35.97267,-83.27343
99,35.97269,-83.27344
100,35.97435,-83.27467
101,35.97444,-83.27473
102,35.98948,-83.28604
103,35.98964,-83.28617
104,35.99656,-83.29136
105,35.99668,-83.29146
106,35.99748,-83.29206
107,35.99778,-83.2923
108,35.99794,-83.29241
109,35.99849,-83.29282
110,35.99855,-83.29287
111,36.0004,-83.29425
112,36.00055,-83.29437
113,36.00067,-83.29445
114,36.00101,-83.29472
115,36.0013,-83.29493
116,36.0015,-83.29509
117,36.00313,-83.29632
118,36.00329,-83.29643
119,36.00344,-83.29655
120,36.00429,-83.29718
121,36.00466,-83.29747
122,36.00496,-83.29768
123,36.00498,-83.29769
124,36.00542,-83.29797
125,36.0061,-83.29835
126,36.00626,-83.29842
127,36.00629,-83.29844
128,36.00642,-83.2985
129,36.00646,-83.29851
130,36.00657,-83.29856
131,36.00704,-83.29875
132,36.0076,-83.29894
133,36.0077,-83.29896
134,36.008,-83.29905
135,36.01045,-83.29952
136,36.01061,-83.29954
137,36.01119,-83.29965
138,36.01122,-83.29965
139,36.01214,-83.29984
140,36.01281,-83.29995
141,36.01282,-83.29995
142,36.0132,-83.30003
143,36.01605,-83.30055
144,36.01608,-83.30055
145,36.01927,-83.30116
146,36.01958,-83.30121
147,36.01972,-83.30124
148,36.02028,-83.3014
149,36.02055,-83.30149
150,36.02087,-83.30163
151,36.02121,-83.3018
152,36.02166,-83.30207
153,36.02193,-83.30226
154,36.02239,-83.30264
155,36.02269,-83.30293
156,36.02291,-83.30317
157,36.02329,-83.30362
158,36.02358,-83.30404
159,36.02372,-83.30427
160,36.02375,-83.30431
161,36.0239,-83.30458
162,36.02412,-83.30501
163,36.02454,-83.30594
164,36.02463,-83.30612
165,36.0319,-83.32198
166,36.03198,-83.32217
167,36.03221,-83.32266
168,36.03225,-83.32276
169,36.0327,-83.32372
170,36.03278,-83.32391
171,36.03327,-83.32496
172,36.03331,-83.32506
173,36.03599,-83.3309
174,36.03603,-83.33097
175,36.03686,-83.33278
176,36.03688,-83.33281
177,36.03695,-83.33298
178,36.03726,-83.33365
179,36.0377,-83.33472
180,36.03789,-83.33514
181,36.03809,-83.33551
182,36.03864,-83.3364
183,36.04195,-83.34159
184,36.04299,-83.34337
185,36.04313,-83.34364
186,36.0432,-83.34379
187,36.0433,-83.34404
188,36.0433,-83.34405
189,36.04335,-83.34418
190,36.04344,-83.34449
191,36.04354,-83.34499
192,36.04359,-83.34547
193,36.0436,-83.34584
194,36.04359,-83.346
195,36.04359,-83.3461
196,36.04357,-83.34636
197,36.04309,-83.35013
198,36.04307,-83.35035
199,36.04162,-83.36149
200,36.04154,-83.3622
201,36.04141,-83.36298
202,36.04139,-83.36307
203,36.04137,-83.3632
204,36.0413,-83.36352
205,36.04121,-83.36386
206,36.04119,-83.36392
207,36.04113,-83.36415
208,36.04107,-83.36434
209,36.04106,-83.36436
210,36.04103,-83.36448
211,36.04097,-83.36463
212,36.04081,-83.36508
213,36.03887,-83.36971
214,36.03847,-83.37076
215,36.03839,-83.37095
216,36.03421,-83.38272
217,36.03416,-83.38284
218,36.03384,-83.38374
219,36.03381,-83.38384
220,36.03102,-83.39166
221,36.03083,-83.39214
222,36.03082,-83.39215
223,36.03076,-83.39231
224,36.03053,-83.39286
225,36.03037,-83.39321
226,36.03032,-83.3933
227,36.03027,-83.39342
228,36.02989,-83.39417
229,36.02982,-83.39429
230,36.02981,-83.3943
