,Latitude,Longitude
0,45.4971054,-122.6252878
1,45.4971419,-122.6254291
2,45.4971348,-122.6255287
3,45.4970947,-122.626089
4,45.4970397,-122.6262114
5,45.4970033,-122.626075
6,45.4970124,-122.6258889
7,45.4970474,-122.6254121
8,45.4971054,-122.6252878
9,45.4971398,-122.6248918
10,45.4970921,-122.6247931
11,45.4971251,-122.6244673
12,45.4971479,-122.6241039
13,45.4971603,-122.6239071
14,45.4971655,-122.6238357
15,45.4971914,-122.6234792
16,45.4972123,-122.6231926
17,45.4972251,-122.6229975
18,45.4972444,-122.622765
19,45.4973177,-122.6226031
20,45.4973276,-122.622486
21,45.4973634,-122.6220158
22,45.4973842,-122.6217434
23,45.4973943,-122.621612
24,45.4974026,-122.6215026
25,45.4974069,-122.6214447
26,45.4974565,-122.6207787
27,45.4974692,-122.6205812
28,45.4974821,-122.6203809
29,45.4974933,-122.620166
30,45.4975058,-122.6199256
31,45.4975078,-122.6198794
32,45.4975164,-122.61968
33,45.4975285,-122.619431
34,45.497531,-122.6193687
35,45.4975334,-122.6193108
36,45.4975454,-122.6190225
37,45.4975477,-122.6188807
38,45.4975495,-122.6187685
39,45.4975489,-122.6185298
40,45.4975476,-122.6180358
41,45.4975472,-122.6179111
42,45.4975426,-122.617118
43,45.497542,-122.6170193
44,45.4975416,-122.6168198
45,45.4975406,-122.6163605
46,45.497542,-122.6162699
47,45.4975417,-122.6151645
48,45.4975415,-122.6149732
49,45.4975413,-122.6145356
50,45.4975412,-122.6144709
51,45.4975406,-122.614223
52,45.4975396,-122.6139886
53,45.497538,-122.6135929
54,45.4975365,-122.6126124
55,45.4975356,-122.6124447
56,45.4975349,-122.6123015
57,45.4975342,-122.6121601
58,45.4975329,-122.6119094
59,45.4975325,-122.6118334
60,45.4975271,-122.6116331
61,45.4975182,-122.6114712
62,45.4975113,-122.6113576
63,45.4974558,-122.6111912
64,45.4974468,-122.6109146
65,45.4974447,-122.6108076
66,45.4974441,-122.6106412
67,45.4974423,-122.6101115
68,45.4974372,-122.6091667
69,45.4974903,-122.609049
70,45.49749,-122.6089568
71,45.4974889,-122.6087402
72,45.4974884,-122.6085578
73,45.4974864,-122.6080593
74,45.4974428,-122.6078926
75,45.497435,-122.6071723
76,45.4974349,-122.6063659
77,45.4974349,-122.6060727
78,45.4974323,-122.6050837
79,45.497429,-122.6040724
80,45.4974299,-122.6036721
81,45.4974305,-122.6034222
82,45.4974313,-122.6030874
83,45.4974289,-122.6023358
84,45.4974285,-122.6022044
85,45.4974281,-122.6021609
86,45.4974261,-122.6019199
87,45.4974232,-122.600441
88,45.497423,-122.6002667
89,45.4974226,-122.5997931
90,45.4974223,-122.5995382
91,45.4974223,-122.5994941
92,45.4974222,-122.5994018
93,45.4974205,-122.5986618
94,45.4974198,-122.5983597
95,45.4974191,-122.5982293
96,45.4974172,-122.5978981
97,45.4974155,-122.5976007
98,45.4974095,-122.5966928
99,45.4974558,-122.5966167
100,45.4974549,-122.596541
101,45.4974516,-122.5962727
102,45.4974506,-122.5961939
103,45.497444,-122.595648
104,45.4973995,-122.5955547
105,45.4973952,-122.5946944
106,45.4973939,-122.5937991
107,45.4973929,-122.5934666
108,45.4974415,-122.593323
109,45.4974395,-122.5928266
110,45.4974391,-122.5927212
111,45.4974388,-122.5926772
112,45.4974369,-122.5923997
113,45.4974363,-122.5923182
114,45.4973948,-122.5922461
115,45.4973924,-122.5917058
116,45.4973863,-122.5911848
117,45.4973854,-122.5903367
118,45.4973837,-122.5900027
119,45.4973851,-122.5899049
120,45.4973863,-122.589823
121,45.497385,-122.5892015
122,45.4973843,-122.5891336
123,45.4973836,-122.5890609
124,45.4973794,-122.5880158
125,45.4973777,-122.5871062
126,45.4974247,-122.5869197
127,45.4974245,-122.5864658
128,45.4974244,-122.5863236
129,45.4974242,-122.5858551
130,45.4973744,-122.5857131
131,45.497371,-122.5848628
132,45.4973691,-122.5836355
133,45.4973696,-122.5832286
134,45.49737,-122.5829068
135,45.4973697,-122.5828247
136,45.4973676,-122.5822355
137,45.4973664,-122.5819158
138,45.4973666,-122.5812163
139,45.4973666,-122.581016
140,45.497413,-122.5809161
141,45.497411,-122.5803661
142,45.4974082,-122.5800604
143,45.4974096,-122.5799668
144,45.4974092,-122.5798595
145,45.497409,-122.5797958
146,45.4974088,-122.5797321
147,45.4974082,-122.5795768
148,45.4974077,-122.5794514
149,45.4974073,-122.5792981
150,45.4974062,-122.578898
151,45.4974038,-122.5787118
152,45.4974056,-122.5785542
153,45.4974045,-122.5781491
154,45.4974036,-122.5777888
155,45.4974035,-122.577746
156,45.4974028,-122.5774831
157,45.4974009,-122.5767639
158,45.4973997,-122.5763016
159,45.4973969,-122.5759163
160,45.4973471,-122.5758298
161,45.4973462,-122.5754804
162,45.497345,-122.5749991
163,45.4973427,-122.5741442
164,45.4973423,-122.5740554
165,45.4973417,-122.573959
166,45.4973408,-122.5734767
167,45.4973404,-122.5733044
168,45.4973384,-122.5723426
169,45.4973381,-122.5722117
170,45.4973372,-122.5718306
171,45.4973342,-122.5709498
172,45.4973331,-122.5706221
173,45.4973321,-122.5698831
174,45.4973315,-122.569456
175,45.4973739,-122.5692813
176,45.4973745,-122.5691306
177,45.4973763,-122.5686567
178,45.4973793,-122.5685122
