,Latitude,Longitude
0,43.8769539,-116.9837937
1,43.8769538,-116.983803
2,43.8768707,-116.9850217
3,43.8768576,-116.9851937
4,43.8767955,-116.9860156
5,43.8767834,-116.9865101
6,43.8767669,-116.9871895
7,43.8767663,-116.9874868
8,43.8767655,-116.9878832
9,43.8767646,-116.9883659
10,43.8767633,-116.9895067
11,43.8767632,-116.9895526
12,43.8767645,-116.989814
13,43.8767666,-116.9902352
14,43.8767691,-116.9907277
15,43.876771,-116.9908744
16,43.8767757,-116.9934242
17,43.876776,-116.9935424
18,43.876778,-116.9936676
19,43.8767773,-116.99502
20,43.8767793,-116.9956881
21,43.8767812,-116.9963535
22,43.8767835,-116.9976232
23,43.8767836,-116.9976882
24,43.8767843,-116.9980688
25,43.876784,-116.9981761
26,43.8767835,-116.9983468
27,43.8767837,-116.9983829
28,43.876784,-116.9988681
29,43.8767887,-116.9993788
30,43.8767886,-116.9994108
31,43.8767874,-116.9997007
32,43.8767874,-116.9997152
33,43.8767878,-116.9999203
34,43.8767967,-117.0001091
35,43.8768073,-117.0001781
36,43.8768286,-117.0002961
37,43.8768876,-117.0004812
38,43.8769487,-117.0006171
39,43.8769965,-117.0007176
40,43.8770758,-117.0008333
41,43.8771496,-117.0009262
42,43.8772412,-117.0010267
43,43.8773451,-117.0011156
44,43.8776967,-117.0013863
45,43.8778476,-117.0015025
46,43.8780776,-117.0016795
47,43.8781259,-117.0017167
48,43.8782864,-117.0018403
49,43.8783748,-117.0019083
50,43.8785881,-117.0020725
51,43.8786659,-117.0021324
52,43.8787808,-117.0022208
53,43.8790362,-117.0024175
54,43.8790564,-117.002433
55,43.8795011,-117.0027733
56,43.8800088,-117.0031584
57,43.8801996,-117.0033052
58,43.880419,-117.0034588
59,43.8808724,-117.0038225
60,43.8811543,-117.0040391
61,43.8811757,-117.0040555
62,43.8814561,-117.0042709
63,43.8817979,-117.0045335
64,43.8819096,-117.0046194
65,43.882202,-117.004844
66,43.8823561,-117.0049624
67,43.8828512,-117.0053428
68,43.883112,-117.0055421
69,43.8837453,-117.0060262
70,43.8838502,-117.0060944
71,43.883977,-117.0061579
72,43.8841658,-117.0062333
73,43.8843591,-117.0062547
74,43.8847346,-117.0062482
75,43.8848201,-117.0062467
76,43.8851424,-117.0062412
77,43.8858418,-117.006244
78,43.886536,-117.0062528
79,43.8875765,-117.0062455
80,43.8876019,-117.0062479
81,43.8882298,-117.0062423
82,43.8887846,-117.0062397
83,43.8889548,-117.0062389
84,43.8894525,-117.0062365
85,43.889552,-117.006236
86,43.889958,-117.0062341
87,43.8902011,-117.006233
88,43.8913985,-117.0062437
89,43.8916528,-117.0062453
90,43.8924978,-117.0062536
91,43.8926098,-117.0062546
92,43.8927821,-117.0062562
93,43.8933342,-117.0062611
94,43.8940616,-117.0062677
95,43.8942201,-117.0062691
96,43.8947664,-117.006274
97,43.894883,-117.0062909
98,43.8955866,-117.0062936
99,43.8959255,-117.0062949
100,43.8963274,-117.0062965
101,43.8964777,-117.0062971
102,43.8977842,-117.0063022
103,43.8980056,-117.0063031
104,43.8992028,-117.0062975
105,43.8997864,-117.0062947
106,43.9000725,-117.0062934
107,43.9002786,-117.0062924
108,43.9003527,-117.0062921
109,43.9006136,-117.0062909
110,43.9013442,-117.0062874
111,43.901972,-117.0062845
112,43.9048644,-117.0062419
113,43.9052429,-117.0062364
114,43.9077041,-117.0062001
115,43.9090239,-117.0061807
116,43.9091478,-117.0061789
117,43.9092335,-117.0061783
118,43.9126444,-117.0061477
119,43.9161746,-117.0060985
120,43.9162484,-117.006098
121,43.9163801,-117.0060971
122,43.919941,-117.0060408
123,43.923566,-117.0059834
124,43.9272498,-117.0059448
125,43.9272912,-117.0059446
126,43.9287831,-117.0059378
127,43.9288719,-117.0059374
128,43.9307903,-117.0059286
129,43.9308557,-117.0059219
130,43.9343365,-117.005913
131,43.9345167,-117.0059135
132,43.9361844,-117.0059181
133,43.9379443,-117.0059004
134,43.9381377,-117.0059027
135,43.9384061,-117.0059059
136,43.9415667,-117.0059434
137,43.9452048,-117.0058982
138,43.9488378,-117.0058962
139,43.9525345,-117.0058829
140,43.9549998,-117.00586
141,43.959656,-117.0058172
142,43.9597777,-117.0058123
143,43.9598951,-117.0058075
144,43.9633147,-117.0057942
145,43.9633966,-117.0057932
146,43.9670234,-117.0057672
147,43.9674025,-117.0057516
148,43.9707074,-117.0057154
149,43.9738793,-117.0056885
150,43.9742062,-117.005685
151,43.9774154,-117.0056564
152,43.9776728,-117.0056525
153,43.9778453,-117.0056457
154,43.9814595,-117.005624
155,43.9822468,-117.0056246
156,43.9823163,-117.0056247
157,43.9850685,-117.0056269
158,43.9862147,-117.0056279
159,43.9866377,-117.0056241
160,43.9886819,-117.0056621
161,43.9886657,-117.0081466
162,43.9886633,-117.0085145
163,43.9886571,-117.0094732
164,43.9886568,-117.0098194
165,43.9886566,-117.0100848
166,43.9886565,-117.0100978
167,43.9886561,-117.0105776
168,43.9886561,-117.0106552
169,43.9886545,-117.012436
170,43.9886542,-117.012769
171,43.988654,-117.0129801
172,43.9886535,-117.0135704
173,43.9886532,-117.0138719
174,43.9886526,-117.0145571
175,43.9886517,-117.0155965
176,43.9886515,-117.0158202
177,43.9886724,-117.01798
178,43.9886725,-117.0180349
179,43.9886726,-117.0181681
180,43.9886731,-117.0186357
181,43.9886717,-117.0194739
182,43.9886701,-117.0203725
183,43.9886697,-117.0206541
184,43.9886696,-117.0207021
185,43.9886696,-117.0207514
186,43.9886746,-117.0256954
187,43.9886826,-117.0301571
188,43.9886834,-117.0305809
189,43.9886836,-117.0306897
190,43.9886838,-117.0307848
191,43.9886872,-117.0326704
192,43.9886882,-117.0332842
193,43.9886885,-117.0334362
194,43.9886896,-117.0340209
195,43.9886909,-117.0347397
196,43.9886926,-117.035711
197,43.9886927,-117.035765
198,43.9886935,-117.0362221
199,43.9886958,-117.0375024
200,43.9887048,-117.0425511
201,43.9887058,-117.0430916
202,43.9887041,-117.0435107
203,43.9886965,-117.0453504
204,43.9886949,-117.0457412
205,43.9886974,-117.0469095
206,43.9887018,-117.0489272
207,43.9887026,-117.0496166
208,43.9887039,-117.0507491
209,43.9887049,-117.0525777
210,43.9887064,-117.0551084
211,43.9887068,-117.0557749
212,43.9887069,-117.0558608
213,43.9887071,-117.0562068
214,43.9887077,-117.0572528
215,43.9887081,-117.0579207
216,43.9887105,-117.0618536
217,43.9887106,-117.0620007
218,43.9887165,-117.0623668
219,43.9887194,-117.0644626
220,43.9887204,-117.065227
221,43.9887213,-117.0658558
222,43.9887224,-117.0662435
223,43.9887389,-117.07344
224,43.9887441,-117.0758325
225,43.9887452,-117.0763475
226,43.9887459,-117.076664
227,43.9887563,-117.0826399
228,43.9887621,-117.0859283
229,43.9887602,-117.0873901
230,43.9887467,-117.0877898
231,43.9887216,-117.0881492
232,43.9886849,-117.0884764
233,43.9886328,-117.0888251
234,43.9885556,-117.0892033
235,43.9884417,-117.0896378
236,43.9882488,-117.0902574
237,43.9875475,-117.092292
238,43.9873539,-117.0928286
239,43.9873259,-117.0929095
240,43.9863125,-117.0958835
241,43.9858673,-117.0971748
242,43.9857214,-117.0975978
243,43.9852472,-117.0989734
244,43.9851855,-117.0991525
245,43.9848522,-117.1001199
246,43.9846737,-117.1006309
247,43.9845087,-117.1011244
248,43.9843903,-117.1014839
249,43.9828849,-117.1058291
250,43.9824647,-117.1070471
251,43.9822736,-117.1076351
252,43.982148,-117.1080713
253,43.9820607,-117.1084544
254,43.9819966,-117.1088242
255,43.9819455,-117.1091682
256,43.9819071,-117.1094272
257,43.9817281,-117.1107935
258,43.9816871,-117.1111062
259,43.9816157,-117.1117392
260,43.9815339,-117.1125094
261,43.9815095,-117.1128497
262,43.9814957,-117.1131504
263,43.9814685,-117.1146033
264,43.9814692,-117.114628
265,43.9814493,-117.1157374
266,43.9814143,-117.1183537
267,43.9814065,-117.1189387
268,43.9814002,-117.119413
269,43.9813969,-117.1205661
270,43.9813949,-117.1212894
271,43.9814149,-117.1223147
272,43.9814239,-117.1230128
273,43.9814385,-117.1241475
274,43.9814389,-117.124182
275,43.9814421,-117.1244276
276,43.9814602,-117.1258387
277,43.9815285,-117.1294081
278,43.9815382,-117.1303108
279,43.9815599,-117.1323404
280,43.9815612,-117.1324617
281,43.9815674,-117.1326953
282,43.9815673,-117.1328448
283,43.9815669,-117.1333834
284,43.9815668,-117.1335416
285,43.9815625,-117.1345555
286,43.9815623,-117.1346077
287,43.9815677,-117.1356071
288,43.9815638,-117.1358824
289,43.9815647,-117.1373036
290,43.9815558,-117.1414023
291,43.981553,-117.1432723
292,43.9815513,-117.1457698
293,43.9815666,-117.1471225
294,43.9815672,-117.1487839
295,43.9815681,-117.1489539
296,43.9815779,-117.1508208
297,43.9815831,-117.1518033
298,43.981594,-117.1583466
299,43.9815975,-117.1606609
300,43.9815977,-117.1607591
301,43.9815978,-117.1608589
302,43.981598,-117.161011
303,43.9816076,-117.165751
304,43.9816208,-117.1691231
305,43.9816231,-117.1696541
306,43.981624,-117.1698514
307,43.9816323,-117.1742052
308,43.9816327,-117.1744358
309,43.9816339,-117.175067
310,43.9816341,-117.1751505
311,43.9816349,-117.1756019
312,43.9816477,-117.1780467
313,43.9816458,-117.1806507
314,43.9816719,-117.1837232
315,43.9816868,-117.1854719
316,43.9816851,-117.185626
317,43.9816796,-117.1866024
318,43.9816704,-117.1882333
319,43.9816649,-117.1895382
320,43.9816885,-117.1916737
321,43.9816994,-117.1926694
322,43.9817122,-117.1938255
323,43.981725,-117.1955922
324,43.9817412,-117.1976614
325,43.9817471,-117.1984182
326,43.9817552,-117.1994556
327,43.9817577,-117.1997837
328,43.9817595,-117.2005025
329,43.9817628,-117.2018074
330,43.9817621,-117.202245
331,43.9817637,-117.2025373
332,43.9817654,-117.2028619
333,43.9817563,-117.2044822
334,43.9817531,-117.204885
335,43.9817692,-117.2053806
336,43.981772,-117.2060938
