,Latitude,Longitude
0,42.8553935,-106.2884052
1,42.8554959,-106.289557
2,42.855584,-106.2902952
3,42.8557225,-106.290896
4,42.8559316,-106.2914834
5,42.8562514,-106.2919104
6,42.8566238,-106.2922371
7,42.8568725,-106.2925191
8,42.8570563,-106.2927054
9,42.8572577,-106.2930246
10,42.857446,-106.293443
11,42.8575417,-106.2937618
12,42.8575967,-106.2940492
13,42.8576278,-106.2944574
14,42.8576344,-106.2953146
15,42.8576623,-106.2958495
16,42.8577646,-106.2963878
17,42.8578625,-106.2968221
18,42.8579147,-106.2972421
19,42.857927,-106.2974052
20,42.857933,-106.2975826
21,42.857811,-106.2993707
22,42.8576958,-106.3011893
23,42.8574815,-106.303546
24,42.8573909,-106.3045898
25,42.8573413,-106.3051947
26,42.8573001,-106.3057973
27,42.8571704,-106.3074319
28,42.8570972,-106.3086934
29,42.8570608,-106.3100317
30,42.8570516,-106.3119356
31,42.8570628,-106.3125553
32,42.8570925,-106.3166444
33,42.8571169,-106.3200262
34,42.8571082,-106.3246153
35,42.8571165,-106.3257444
36,42.8571155,-106.327259
37,42.8571099,-106.3288994
38,42.8571108,-106.3291038
39,42.8571251,-106.3303983
40,42.8571591,-106.331319
41,42.8572511,-106.3320462
42,42.8573815,-106.3326457
43,42.857553,-106.3332122
44,42.8578212,-106.3338984
45,42.8581949,-106.3347451
46,42.8586282,-106.3354065
47,42.8603765,-106.3376746
48,42.86191,-106.3396809
49,42.8624884,-106.3404498
50,42.8637203,-106.3416989
51,42.8644002,-106.3422289
52,42.8652744,-106.3428147
53,42.8659371,-106.3431739
54,42.8666107,-106.3435051
55,42.8669384,-106.3436259
56,42.8678714,-106.343943
57,42.8680075,-106.3439745
58,42.8675875,-106.3449619
59,42.8672803,-106.3456706
60,42.8671313,-106.3460328
61,42.8669917,-106.3463896
62,42.8669229,-106.3465961
63,42.8668089,-106.3469475
64,42.8666968,-106.3473069
65,42.8666261,-106.3475698
66,42.8665423,-106.3478988
67,42.8664642,-106.3482331
68,42.8664265,-106.3484542
69,42.8662296,-106.3499851
70,42.865979,-106.35208
71,42.8657362,-106.35392
72,42.8656374,-106.3546699
73,42.8651599,-106.3582321
74,42.8646885,-106.3618644
75,42.8641705,-106.365912
76,42.8639672,-106.3674332
77,42.8628933,-106.3754671
78,42.8627754,-106.3768082
79,42.8627203,-106.377924
80,42.8626967,-106.3813465
81,42.8626889,-106.3829343
82,42.8626024,-106.3946502
83,42.8625631,-106.3952939
84,42.8625001,-106.3961201
85,42.8623586,-106.3969462
86,42.862217,-106.3976436
87,42.8621402,-106.398111
