,Latitude,Longitude
0,35.45823,-95.96258
1,35.45837,-95.96145
2,35.45839,-95.96085
3,35.45837,-95.94817
4,35.45834,-95.94751
5,35.45825,-95.94648
6,35.45824,-95.94584
7,35.45824,-95.94507
8,35.45834,-95.93197
9,35.45837,-95.93151
10,35.45844,-95.931
11,35.45857,-95.93046
12,35.45874,-95.92998
13,35.45895,-95.9295
14,35.46004,-95.92719
15,35.4603,-95.92674
16,35.4606,-95.92635
17,35.46097,-95.926
18,35.46137,-95.92573
19,35.46193,-95.92538
20,35.46238,-95.92502
21,35.46283,-95.9246
22,35.46394,-95.9234
23,35.46427,-95.92301
24,35.46456,-95.92259
25,35.46477,-95.92221
26,35.465,-95.92166
27,35.47034,-95.90777
28,35.47051,-95.90726
29,35.47063,-95.90673
30,35.47214,-95.89778
31,35.47228,-95.89717
32,35.47247,-95.89661
33,35.47578,-95.88895
34,35.47624,-95.888
35,35.47677,-95.8871
36,35.47732,-95.8863
37,35.47789,-95.88559
38,35.48321,-95.87928
39,35.48389,-95.87855
40,35.4845,-95.87799
41,35.4852,-95.87743
42,35.50558,-95.86251
43,35.50605,-95.8621
44,35.50643,-95.86164
45,35.50671,-95.86114
46,35.50693,-95.86056
47,35.50707,-95.86003
48,35.50713,-95.8595
49,35.50714,-95.85884
50,35.50734,-95.78818
51,35.50736,-95.71961
52,35.50755,-95.68425
53,35.50757,-95.6799
54,35.50752,-95.63483
55,35.47996,-95.60889
56,35.47956,-95.60845
57,35.47918,-95.60788
58,35.47889,-95.60729
59,35.47865,-95.60662
60,35.47852,-95.60596
61,35.47847,-95.60531
62,35.47846,-95.60435
63,35.47856,-95.54296
64,35.47852,-95.54235
65,35.4784,-95.54171
66,35.47821,-95.54105
67,35.47793,-95.54044
68,35.47756,-95.53984
69,35.47716,-95.53926
70,35.47571,-95.53705
71,35.47452,-95.53531
72,35.47311,-95.53337
73,35.47283,-95.53302
74,35.47252,-95.53257
75,35.47232,-95.5322
76,35.47215,-95.53177
77,35.47199,-95.53123
78,35.47189,-95.5308
79,35.46989,-95.52199
80,35.46975,-95.52149
81,35.4694,-95.52054
82,35.46926,-95.52011
83,35.4674,-95.51314
84,35.46716,-95.51246
85,35.46686,-95.51192
86,35.46652,-95.51145
87,35.46541,-95.51011
88,35.46505,-95.5096
89,35.46476,-95.50911
90,35.46451,-95.5085
91,35.46431,-95.50784
92,35.4642,-95.50709
93,35.46417,-95.50626
94,35.46438,-95.4513
95,35.46419,-95.34532
96,35.46418,-95.34433
97,35.46414,-95.3429
98,35.46423,-95.30976
99,35.46428,-95.29547
100,35.46431,-95.29501
101,35.46438,-95.2946
102,35.46452,-95.29411
103,35.46486,-95.29307
104,35.47286,-95.30265
105,35.47354,-95.30343
106,35.47447,-95.30433
107,35.47557,-95.30529
108,35.47681,-95.30624
109,35.47789,-95.30699
110,35.47913,-95.30774
111,35.48038,-95.30833
112,35.48157,-95.30884
113,35.48302,-95.30934
114,35.48416,-95.30965
115,35.48554,-95.30994
116,35.48681,-95.31012
117,35.48797,-95.31022
118,35.48935,-95.31023
119,35.49889,-95.3102
