,Latitude,Longitude
0,37.03966,-100.90425
1,37.0387,-100.90424
2,37.03825,-100.90425
3,37.03618,-100.90424
4,37.03444,-100.90426
5,37.03124,-100.90424
6,37.03049,-100.90425
7,37.02507,-100.90425
8,37.02434,-100.90426
9,37.01254,-100.90426
10,37.01245,-100.90428
11,37.01234,-100.90429
12,37.01178,-100.9043
13,37.0113,-100.90428
14,37.01035,-100.90429
15,37.01007,-100.90428
16,37.00974,-100.90424
17,37.00941,-100.90417
18,37.00914,-100.90408
19,37.00874,-100.90391
20,37.00852,-100.90375
21,37.00846,-100.90372
22,37.00807,-100.90347
23,37.00787,-100.90331
24,37.0077,-100.90316
25,37.00754,-100.90301
26,37.00735,-100.9028
27,37.00714,-100.90255
28,37.00345,-100.89783
29,37.00344,-100.89781
30,37.00321,-100.8975
31,37.00195,-100.89588
32,37.00194,-100.89586
33,37.00067,-100.89425
34,37.0004,-100.89389
35,36.99778,-100.89054
36,36.99752,-100.89022
37,36.99211,-100.8833
38,36.99154,-100.88259
39,36.99066,-100.88145
40,36.98935,-100.87979
41,36.98893,-100.87924
42,36.98839,-100.87857
43,36.98769,-100.87766
44,36.98668,-100.87639
45,36.98655,-100.87624
46,36.98622,-100.87588
47,36.98608,-100.87574
48,36.9858,-100.87548
49,36.98524,-100.87502
50,36.98503,-100.87487
51,36.98477,-100.87471
52,36.98465,-100.87463
53,36.98435,-100.87446
54,36.98416,-100.87437
55,36.98402,-100.87429
56,36.98367,-100.87414
57,36.98354,-100.87409
58,36.9832,-100.87398
59,36.98303,-100.87392
60,36.98288,-100.87388
61,36.98235,-100.87376
62,36.98218,-100.87373
63,36.98205,-100.87372
64,36.98189,-100.8737
65,36.9815,-100.87367
66,36.98099,-100.87366
67,36.97681,-100.87366
68,36.97651,-100.87365
69,36.96794,-100.87364
70,36.96748,-100.87363
71,36.96745,-100.87366
72,36.96555,-100.87368
73,36.96555,-100.87367
74,36.96549,-100.87363
75,36.965,-100.87363
76,36.96494,-100.87367
77,36.96494,-100.87368
78,36.96375,-100.87369
79,36.96375,-100.87368
80,36.96365,-100.87363
81,36.96018,-100.87363
82,36.95963,-100.87364
83,36.95154,-100.87365
84,36.95149,-100.87369
85,36.95148,-100.8737
86,36.95032,-100.87371
87,36.9491,-100.87369
88,36.94809,-100.87369
89,36.94786,-100.87368
90,36.94772,-100.87368
91,36.94768,-100.87365
92,36.9448,-100.87366
93,36.94401,-100.87365
94,36.94138,-100.87366
95,36.94045,-100.87365
96,36.93473,-100.87365
97,36.93431,-100.87364
98,36.9095,-100.87359
99,36.90947,-100.87361
100,36.90946,-100.87361
101,36.90946,-100.87362
102,36.90676,-100.87361
103,36.90676,-100.86344
104,36.90675,-100.86297
105,36.90675,-100.85641
106,36.90674,-100.85592
107,36.90675,-100.84799
108,36.90674,-100.84737
109,36.90677,-100.80974
110,36.90678,-100.80937
111,36.90678,-100.80637
112,36.90679,-100.80569
113,36.90681,-100.78389
114,36.90682,-100.78336
115,36.90691,-100.72088
116,36.90692,-100.72022
117,36.90695,-100.71113
118,36.9069,-100.69342
119,36.90691,-100.69316
120,36.9069,-100.67567
121,36.90689,-100.6754
122,36.9069,-100.6751
123,36.9069,-100.67204
124,36.90691,-100.67158
125,36.90691,-100.66641
126,36.90692,-100.66626
127,36.90692,-100.66164
128,36.90693,-100.6612
129,36.90693,-100.65803
130,36.90694,-100.65748
131,36.90693,-100.65727
132,36.90694,-100.6571
133,36.907,-100.64215
134,36.90701,-100.64178
135,36.90702,-100.6213
136,36.90701,-100.62118
137,36.90701,-100.61812
138,36.907,-100.61729
139,36.907,-100.6148
140,36.90698,-100.61298
141,36.90698,-100.61056
142,36.90697,-100.60976
143,36.90697,-100.60804
144,36.90696,-100.60757
145,36.90693,-100.60332
146,36.90696,-100.58649
147,36.90686,-100.55012
148,36.90687,-100.54899
149,36.90686,-100.54606
150,36.90688,-100.54455
151,36.9069,-100.53321
152,36.90692,-100.5309
153,36.90691,-100.53036
154,36.90691,-100.52623
155,36.90692,-100.5255
156,36.90691,-100.51446
157,36.90682,-100.51435
158,36.90678,-100.51428
159,36.9067,-100.51411
160,36.90655,-100.51383
161,36.90625,-100.51341
162,36.90601,-100.51317
163,36.9059,-100.51309
164,36.90551,-100.51286
165,36.90539,-100.51281
166,36.90531,-100.51277
167,36.89973,-100.51276
168,36.89937,-100.51275
