,Latitude,Longitude
0,32.34666,-95.29429
1,32.35207,-95.2943
2,32.35259,-95.29436
3,32.35295,-95.29446
4,32.35324,-95.29456
5,32.35403,-95.29489
6,32.35439,-95.295
7,32.35465,-95.29505
8,32.35515,-95.2951
9,32.35561,-95.2951
10,32.35662,-95.29509
11,32.357,-95.29503
12,32.35737,-95.29491
13,32.35781,-95.29469
14,32.35817,-95.29444
15,32.35861,-95.29407
16,32.35893,-95.29382
17,32.35933,-95.29363
18,32.36015,-95.29323
19,32.36057,-95.29294
20,32.36085,-95.29269
21,32.36329,-95.29065
22,32.36371,-95.29042
23,32.36431,-95.29019
24,32.36753,-95.28908
25,32.36842,-95.2888
26,32.36934,-95.28857
27,32.37027,-95.2883
28,32.37125,-95.28797
29,32.37194,-95.28765
30,32.37267,-95.28724
31,32.3732,-95.28689
32,32.37411,-95.28617
33,32.3747,-95.2856
34,32.38093,-95.27927
35,32.38206,-95.2783
36,32.38319,-95.27749
37,32.38454,-95.27673
38,32.39041,-95.27435
39,32.3908,-95.27417
40,32.39129,-95.27391
41,32.39206,-95.27344
42,32.39276,-95.27295
43,32.39326,-95.27255
44,32.39413,-95.27175
45,32.39498,-95.2708
46,32.39731,-95.26782
47,32.3979,-95.26693
48,32.39832,-95.26623
49,32.40542,-95.25367
50,32.40602,-95.25251
51,32.4066,-95.25121
52,32.40709,-95.25
53,32.4217,-95.21372
54,32.42288,-95.21104
55,32.42463,-95.20684
56,32.42571,-95.20436
57,32.42684,-95.20181
58,32.43053,-95.19378
59,32.43096,-95.19258
60,32.43124,-95.19134
61,32.43146,-95.18992
62,32.43538,-95.15183
63,32.43569,-95.14989
64,32.43607,-95.14831
65,32.43664,-95.14656
66,32.44726,-95.11508
67,32.44804,-95.11318
68,32.44888,-95.1114
69,32.46412,-95.08136
70,32.46514,-95.0792
71,32.47,-95.06851
72,32.47098,-95.06658
73,32.47868,-95.05245
74,32.47932,-95.05141
75,32.48037,-95.04988
76,32.48781,-95.03794
77,32.48881,-95.03639
78,32.48947,-95.03544
79,32.49665,-95.0259
80,32.4972,-95.02504
81,32.49787,-95.02384
82,32.50386,-95.01158
83,32.50495,-95.00921
84,32.51334,-94.98911
85,32.51401,-94.98757
86,32.51433,-94.9869
87,32.51485,-94.9859
88,32.52315,-94.97126
89,32.52377,-94.97005
90,32.52479,-94.96762
91,32.52526,-94.9663
92,32.52549,-94.96562
93,32.52809,-94.95731
94,32.52844,-94.95638
95,32.52924,-94.95461
96,32.53027,-94.95251
97,32.53155,-94.94998
98,32.5318,-94.94929
99,32.53238,-94.94695
100,32.53247,-94.9466
101,32.53256,-94.94636
102,32.5327,-94.94611
103,32.53285,-94.94593
104,32.53652,-94.94282
105,32.53809,-94.94147
106,32.53826,-94.94135
107,32.53842,-94.94127
108,32.54009,-94.94067
109,32.54304,-94.93919
110,32.54344,-94.93897
111,32.54395,-94.93862
112,32.5444,-94.93825
113,32.55077,-94.93236
114,32.55202,-94.93131
115,32.55343,-94.93023
116,32.55976,-94.92561
117,32.56413,-94.92251
118,32.56487,-94.9221
119,32.56524,-94.92193
120,32.56562,-94.92177
121,32.5665,-94.92148
122,32.57512,-94.91928
123,32.58071,-94.91807
124,32.58902,-94.91623
125,32.58974,-94.91602
126,32.5911,-94.9155
127,32.59502,-94.91365
128,32.59585,-94.91332
129,32.59664,-94.91308
130,32.59726,-94.91296
131,32.5982,-94.91284
132,32.59911,-94.91283
133,32.59971,-94.91287
134,32.60061,-94.91301
135,32.61615,-94.91701
136,32.61679,-94.9172
137,32.61727,-94.91738
138,32.61799,-94.9177
139,32.619,-94.91828
140,32.62658,-94.92351
141,32.62736,-94.92402
142,32.62784,-94.9243
143,32.62852,-94.92464
144,32.6385,-94.92893
145,32.65623,-94.93652
146,32.66111,-94.93877
147,32.66203,-94.93913
148,32.66326,-94.93957
149,32.66732,-94.94098
150,32.66816,-94.9412
151,32.66902,-94.94134
152,32.66999,-94.9414
153,32.67095,-94.94136
154,32.67671,-94.94098
155,32.67995,-94.94073
156,32.68081,-94.9406
157,32.68509,-94.93952
158,32.68623,-94.93935
159,32.68677,-94.93932
160,32.68727,-94.93932
161,32.6878,-94.93935
162,32.68854,-94.93945
163,32.68915,-94.93958
164,32.6896,-94.9397
165,32.69041,-94.93999
166,32.69116,-94.94033
167,32.69437,-94.94218
168,32.69531,-94.94262
169,32.69603,-94.94287
170,32.7029,-94.9448
171,32.70362,-94.94497
172,32.70454,-94.9451
173,32.70815,-94.94518
174,32.70939,-94.94523
175,32.71092,-94.94513
176,32.71204,-94.94484
177,32.71306,-94.94431
178,32.71393,-94.94374
179,32.7144,-94.94347
180,32.71479,-94.9433
181,32.71841,-94.94207
182,32.71886,-94.94196
183,32.71949,-94.9419
184,32.72012,-94.94192
185,32.72053,-94.94199
186,32.72189,-94.94229
187,32.72321,-94.94253
188,32.72387,-94.94261
189,32.72476,-94.94267
190,32.72674,-94.94276
191,32.72774,-94.94278
192,32.73076,-94.94274
193,32.73375,-94.94259
194,32.73592,-94.94257
195,32.73755,-94.9425
196,32.7383,-94.94241
197,32.7414,-94.94178
198,32.74268,-94.94145
199,32.74327,-94.94126
200,32.74436,-94.94084
201,32.74663,-94.93987
202,32.74727,-94.93967
203,32.74778,-94.93956
204,32.74845,-94.93948
205,32.74916,-94.93946
206,32.75248,-94.93945
207,32.75363,-94.93948
208,32.75472,-94.93957
209,32.75577,-94.93973
210,32.75699,-94.94001
211,32.75799,-94.9403
212,32.76322,-94.94212
213,32.77837,-94.94686
214,32.78908,-94.95032
215,32.78977,-94.95054
216,32.79054,-94.9507
217,32.80306,-94.95263
218,32.80382,-94.95273
219,32.80469,-94.9528
220,32.80554,-94.95281
221,32.80916,-94.95281
222,32.81089,-94.95278
223,32.8228,-94.95223
224,32.82605,-94.95203
225,32.83189,-94.95176
226,32.83383,-94.95173
227,32.85614,-94.95176
