,Latitude,Longitude
0,40.00237,-98.5233
1,40.00307,-98.52273
2,40.00635,-98.51992
3,40.0066,-98.51972
4,40.00681,-98.51956
5,40.00725,-98.51931
6,40.00741,-98.51923
7,40.00755,-98.51918
8,40.00807,-98.51901
9,40.00833,-98.51894
10,40.00869,-98.51889
11,40.00896,-98.51887
12,40.01998,-98.51888
13,40.02056,-98.51887
14,40.0208,-98.51888
15,40.02183,-98.51887
16,40.022,-98.51888
17,40.03715,-98.51888
18,40.03758,-98.51889
19,40.03964,-98.51889
20,40.04003,-98.51889
21,40.04074,-98.51889
22,40.04387,-98.51889
23,40.04408,-98.51891
24,40.04464,-98.51889
25,40.05128,-98.51889
26,40.05328,-98.51891
27,40.061,-98.51891
28,40.06125,-98.51893
29,40.06228,-98.51893
30,40.06274,-98.51894
31,40.06789,-98.51893
32,40.06998,-98.51889
33,40.07162,-98.51882
34,40.07184,-98.51882
35,40.07628,-98.5187
36,40.07699,-98.51866
37,40.07762,-98.51864
38,40.07822,-98.51862
39,40.07925,-98.51859
40,40.08026,-98.51858
41,40.08038,-98.51859
42,40.08045,-98.51859
43,40.08062,-98.51861
44,40.08079,-98.51864
45,40.08093,-98.51867
46,40.08098,-98.51869
47,40.08119,-98.51875
48,40.08159,-98.51888
49,40.08171,-98.51893
50,40.08237,-98.51916
51,40.08252,-98.5192
52,40.08271,-98.51923
53,40.08278,-98.51925
54,40.08281,-98.51925
55,40.0832,-98.51927
56,40.08568,-98.51931
57,40.09531,-98.5193
58,40.09549,-98.51928
59,40.09576,-98.51926
60,40.09608,-98.51918
61,40.09645,-98.51905
62,40.09663,-98.51898
63,40.09695,-98.51887
64,40.09701,-98.51886
65,40.09749,-98.51875
66,40.09765,-98.51872
67,40.09799,-98.51871
68,40.09852,-98.51871
69,40.09946,-98.51872
70,40.10037,-98.51872
71,40.10228,-98.51876
72,40.1033,-98.51876
73,40.10346,-98.51877
74,40.10658,-98.51879
75,40.10692,-98.5188
76,40.1074,-98.5188
77,40.10768,-98.51881
78,40.11372,-98.51887
79,40.11415,-98.51889
80,40.11477,-98.51888
81,40.12224,-98.51891
82,40.12266,-98.51891
83,40.12607,-98.51891
84,40.12708,-98.51893
85,40.14995,-98.51906
86,40.15023,-98.51905
87,40.15563,-98.51908
88,40.15597,-98.51906
89,40.15984,-98.5199
90,40.17198,-98.51934
91,40.17526,-98.51937
92,40.17746,-98.51942
93,40.18046,-98.51943
94,40.1905,-98.51933
95,40.19784,-98.51936
96,40.19992,-98.51939
97,40.20502,-98.51938
98,40.24188,-98.51958
99,40.24272,-98.51956
100,40.24845,-98.51961
101,40.27009,-98.51993
102,40.27659,-98.5199
103,40.27736,-98.51992
104,40.28758,-98.5199
105,40.28771,-98.51989
106,40.28785,-98.51987
107,40.28796,-98.51985
108,40.28806,-98.51984
109,40.28845,-98.51974
110,40.28868,-98.51966
111,40.28891,-98.51956
112,40.28923,-98.51939
113,40.28953,-98.51918
114,40.28982,-98.51898
115,40.2901,-98.51872
116,40.29033,-98.5185
117,40.29057,-98.51822
118,40.29078,-98.51792
119,40.29097,-98.51762
120,40.29108,-98.51743
121,40.29118,-98.51724
122,40.29145,-98.51662
123,40.29162,-98.51609
124,40.29166,-98.51594
125,40.2917,-98.51575
126,40.29174,-98.5156
127,40.29181,-98.51522
128,40.29186,-98.51487
129,40.29189,-98.5145
130,40.29192,-98.49194
131,40.29217,-98.46948
132,40.2922,-98.46051
133,40.29218,-98.45074
134,40.29223,-98.45017
135,40.29235,-98.44949
