,Latitude,Longitude
0,31.16894,-99.37704
1,31.17129,-99.37716
2,31.17695,-99.37706
3,31.23773,-99.37629
4,31.24896,-99.37603
5,31.25145,-99.37671
6,31.26422,-99.38169
7,31.26774,-99.38212
8,31.27493,-99.38058
9,31.2816,-99.37629
10,31.28447,-99.37586
11,31.31783,-99.3756
12,31.39399,-99.37509
13,31.47425,-99.37466
14,31.53258,-99.37423
15,31.57529,-99.37371
16,31.58655,-99.36934
17,31.60855,-99.36882
18,31.63114,-99.36359
19,31.63384,-99.36196
20,31.63545,-99.35964
21,31.64597,-99.33947
22,31.6486,-99.33681
23,31.65152,-99.33595
24,31.68155,-99.33544
25,31.68337,-99.33475
26,31.68725,-99.33235
27,31.68885,-99.33192
28,31.73653,-99.33132
29,31.73901,-99.33064
30,31.74241,-99.33068
31,31.74255,-99.33377
32,31.7489,-99.34355
33,31.75069,-99.34561
34,31.75233,-99.34686
35,31.76828,-99.35342
36,31.77569,-99.35651
37,31.77747,-99.35793
38,31.77893,-99.35956
39,31.79659,-99.38226
40,31.79783,-99.38402
41,31.79841,-99.38552
42,31.8002,-99.38939
43,31.80151,-99.39076
44,31.80304,-99.39175
45,31.80936,-99.39544
46,31.81329,-99.39849
47,31.81596,-99.40085
48,31.81906,-99.40419
49,31.82635,-99.41385
50,31.82763,-99.41424
51,31.82923,-99.41527
52,31.83386,-99.41981
53,31.83576,-99.42157
54,31.83718,-99.42213
55,31.8421,-99.42209
56,31.84338,-99.42282
57,31.84421,-99.42406
58,31.84469,-99.42556
59,31.84487,-99.42698
60,31.8511,-99.4269
61,31.85464,-99.42591
62,31.85599,-99.42398
63,31.8581,-99.42514
64,31.85894,-99.42518
65,31.86853,-99.42505
66,31.8752,-99.42329
67,31.8869,-99.42209
68,31.88886,-99.42166
69,31.89043,-99.42037
70,31.90184,-99.40767
71,31.90333,-99.40647
72,31.905,-99.40574
73,31.90653,-99.40548
74,31.94376,-99.40582
75,31.9643,-99.40625
76,31.96579,-99.40647
77,31.96718,-99.4072
78,31.97668,-99.41381
79,31.97839,-99.41436
80,31.99688,-99.41694
81,32.01482,-99.4184
82,32.03978,-99.42312
83,32.0655,-99.42265
84,32.07037,-99.42235
85,32.08394,-99.42308
86,32.09936,-99.42226
87,32.1115,-99.42239
88,32.14479,-99.4223
89,32.15743,-99.42205
90,32.19201,-99.42505
91,32.19572,-99.42453
92,32.19848,-99.42342
93,32.20066,-99.42205
94,32.21874,-99.40806
95,32.22244,-99.40531
96,32.22869,-99.40325
97,32.23442,-99.40179
98,32.26114,-99.40145
99,32.26375,-99.40016
100,32.28505,-99.38767
101,32.28643,-99.38728
102,32.28773,-99.38741
103,32.29764,-99.38883
104,32.29952,-99.38844
105,32.30235,-99.38771
106,32.30482,-99.3878
107,32.3108,-99.38557
108,32.31392,-99.38389
109,32.31537,-99.38359
110,32.31643,-99.38372
111,32.31741,-99.38402
112,32.32118,-99.3857
113,32.35428,-99.38505
114,32.35591,-99.3845
115,32.35762,-99.38304
116,32.36313,-99.38111
117,32.36458,-99.38128
118,32.36556,-99.38184
119,32.37002,-99.38467
120,32.37158,-99.38501
121,32.38379,-99.38484
