,Latitude,Longitude
0,32.00001,-104.03119
1,32.00006,-104.03123
2,32.00047,-104.03151
3,32.00079,-104.03174
4,32.00084,-104.03177
5,32.0013,-104.03212
6,32.00148,-104.03228
7,32.00167,-104.03244
8,32.0017,-104.03247
9,32.00192,-104.03266
10,32.00209,-104.03283
11,32.00223,-104.03295
12,32.00304,-104.03376
13,32.00509,-104.03588
14,32.00522,-104.03602
15,32.00617,-104.037
16,32.0063,-104.03714
17,32.00644,-104.03728
18,32.00751,-104.03841
19,32.00765,-104.03855
20,32.00778,-104.03869
21,32.01553,-104.04671
22,32.01629,-104.04751
23,32.01758,-104.04884
24,32.01771,-104.04898
25,32.0188,-104.0501
26,32.01893,-104.05024
27,32.01988,-104.05122
28,32.02001,-104.05136
29,32.02258,-104.05402
30,32.02271,-104.05417
31,32.02353,-104.055
32,32.02382,-104.05531
33,32.02434,-104.05584
34,32.02447,-104.05598
35,32.02462,-104.05612
36,32.02481,-104.05631
37,32.02488,-104.05639
38,32.02506,-104.05656
39,32.0253,-104.0568
40,32.02562,-104.05709
41,32.02602,-104.05743
42,32.02609,-104.0575
43,32.02645,-104.05779
44,32.02646,-104.0578
45,32.02674,-104.05801
46,32.02676,-104.05803
47,32.02704,-104.05823
48,32.02771,-104.05868
49,32.02786,-104.05876
50,32.02813,-104.05893
51,32.02834,-104.05905
52,32.02848,-104.05912
53,32.0285,-104.05914
54,32.02866,-104.05923
55,32.0291,-104.05945
56,32.02938,-104.05958
57,32.02949,-104.05964
58,32.02966,-104.05971
59,32.0297,-104.05973
60,32.03046,-104.06003
61,32.03089,-104.06018
62,32.03138,-104.06033
63,32.03156,-104.06038
64,32.03164,-104.06041
65,32.03228,-104.06056
66,32.03252,-104.06061
67,32.03439,-104.06095
68,32.03493,-104.06104
69,32.03546,-104.06114
70,32.03671,-104.06135
71,32.04197,-104.06228
72,32.04332,-104.0625
73,32.06766,-104.06673
74,32.06813,-104.06682
75,32.06941,-104.06704
76,32.06955,-104.06707
77,32.08041,-104.06895
78,32.08053,-104.06898
79,32.08429,-104.06961
80,32.08432,-104.06962
81,32.08569,-104.06986
82,32.08676,-104.07007
83,32.08777,-104.07023
84,32.08817,-104.07031
85,32.0916,-104.07089
86,32.09178,-104.07093
87,32.09234,-104.07102
88,32.09496,-104.07148
89,32.09528,-104.07153
90,32.10248,-104.0728
91,32.10333,-104.07291
92,32.10401,-104.07296
93,32.10413,-104.07296
94,32.10425,-104.07297
95,32.10531,-104.07299
96,32.10717,-104.073
97,32.12741,-104.07331
98,32.12776,-104.07331
99,32.13204,-104.07338
100,32.1337,-104.07339
101,32.13394,-104.0734
102,32.13563,-104.07343
103,32.13601,-104.07343
104,32.13635,-104.07344
105,32.13761,-104.07345
106,32.13779,-104.07346
107,32.13844,-104.07345
108,32.13851,-104.07346
109,32.13923,-104.07347
110,32.13948,-104.07348
111,32.13972,-104.07348
112,32.14068,-104.0735
113,32.14157,-104.07354
114,32.14515,-104.07358
115,32.14605,-104.0736
116,32.14637,-104.0736
117,32.14938,-104.07365
118,32.1498,-104.07365
119,32.15028,-104.07367
120,32.15037,-104.07368
121,32.15396,-104.07371
122,32.15418,-104.07372
123,32.1544,-104.07372
124,32.15461,-104.07373
125,32.15516,-104.07373
126,32.15539,-104.07374
127,32.15591,-104.07374
128,32.15604,-104.07375
129,32.15713,-104.07376
130,32.15753,-104.07377
131,32.15789,-104.07377
132,32.15873,-104.07374
133,32.1592,-104.0737
134,32.15945,-104.07367
135,32.15974,-104.07362
136,32.15986,-104.07361
137,32.16018,-104.07355
138,32.16082,-104.07341
139,32.16125,-104.0733
140,32.17578,-104.06894
141,32.17661,-104.06868
142,32.18221,-104.06699
143,32.18239,-104.06694
144,32.18469,-104.06624
145,32.18475,-104.06623
146,32.18559,-104.06598
147,32.18574,-104.06593
148,32.18603,-104.06585
149,32.18626,-104.06577
150,32.18654,-104.06569
151,32.18698,-104.06555
152,32.18782,-104.0653
153,32.18801,-104.06525
154,32.18848,-104.0651
155,32.18853,-104.06509
