,Latitude,Longitude
0,41.78911,-107.20042
1,41.78933,-107.1994
2,41.78944,-107.19793
3,41.78939,-107.19664
4,41.7892,-107.19541
5,41.78518,-107.17643
6,41.78475,-107.17381
7,41.78444,-107.17129
8,41.78421,-107.16851
9,41.78143,-107.13073
10,41.78117,-107.12889
11,41.78075,-107.12756
12,41.78016,-107.12634
13,41.77936,-107.12513
14,41.77532,-107.11925
15,41.77466,-107.11801
16,41.77417,-107.1166
17,41.7739,-107.11525
18,41.77378,-107.11376
19,41.77369,-107.10443
20,41.7736,-107.10245
21,41.77345,-107.10013
22,41.77319,-107.09809
23,41.77181,-107.08949
24,41.77167,-107.08773
25,41.77171,-107.08585
26,41.77194,-107.08411
27,41.77301,-107.07913
28,41.77337,-107.07653
29,41.77347,-107.07436
30,41.77338,-107.07175
31,41.77318,-107.06989
32,41.75466,-106.96334
33,41.75374,-106.95894
34,41.75295,-106.95577
35,41.74631,-106.93086
36,41.7456,-106.92786
37,41.74504,-106.9245
38,41.74471,-106.92131
39,41.74456,-106.91889
40,41.74138,-106.83043
