,Latitude,Longitude
0,40.00794,-105.10291
1,40.01823,-105.10294
2,40.02391,-105.10268
3,40.02817,-105.10265
4,40.03491,-105.1031
5,40.04271,-105.10263
6,40.06104,-105.10266
7,40.06485,-105.10281
8,40.07289,-105.10247
9,40.08263,-105.10261
10,40.08747,-105.10287
11,40.09914,-105.10292
12,40.11623,-105.10259
13,40.12781,-105.10262
14,40.13823,-105.10236
15,40.15537,-105.10255
16,40.18813,-105.10229
17,40.20533,-105.10252
18,40.21167,-105.10234
19,40.23415,-105.10233
20,40.24146,-105.10272
21,40.25293,-105.1028
22,40.26136,-105.10245
