,Latitude,Longitude
0,39.566,-104.0135
1,39.53079,-103.98984
2,39.4991,-103.96704
3,39.49141,-103.95878
4,39.47806,-103.94656
5,39.47548,-103.94454
6,39.47124,-103.94201
7,39.44874,-103.92982
8,39.43396,-103.9216
9,39.43296,-103.92079
10,39.4159,-103.90391
11,39.4119,-103.90077
12,39.3963,-103.89082
13,39.39374,-103.88982
14,39.3822,-103.88681
15,39.37861,-103.88557
16,39.37661,-103.88463
17,39.36538,-103.87856
18,39.36142,-103.87592
19,39.35938,-103.8741
20,39.357,-103.87107
21,39.34718,-103.8525
22,39.34563,-103.84992
23,39.34402,-103.84764
24,39.34138,-103.84455
25,39.33874,-103.84206
26,39.33622,-103.84016
27,39.33115,-103.83689
