,Latitude,Longitude
0,31.7766,-95.6668
1,31.7768,-95.6669
2,31.777,-95.667
3,31.7772,-95.6671
4,31.7774,-95.6672
5,31.7776,-95.6672
6,31.778,-95.6673
7,31.7794,-95.6676
8,31.7801,-95.6677
9,31.7819,-95.6681
10,31.7824,-95.6683
11,31.7826,-95.6683
12,31.7828,-95.6684
13,31.7835,-95.6687
14,31.7836,-95.6688
15,31.7837,-95.6688
16,31.7838,-95.6689
17,31.7839,-95.6689
18,31.7841,-95.6691
19,31.7842,-95.6691
20,31.7843,-95.6692
21,31.7846,-95.6694
22,31.7868,-95.6712
23,31.7871,-95.6714
24,31.7875,-95.6717
25,31.7877,-95.6719
26,31.7883,-95.6724
27,31.7885,-95.6725
28,31.7896,-95.6734
29,31.7903,-95.6739
30,31.7906,-95.6741
31,31.7909,-95.6744
32,31.7912,-95.6746
33,31.7917,-95.6748
34,31.7921,-95.675
35,31.7905,-95.6835
36,31.7905,-95.6836
37,31.7904,-95.6837
38,31.7904,-95.6839
39,31.7904,-95.684
40,31.7904,-95.6841
41,31.7904,-95.6842
42,31.7904,-95.6844
43,31.7903,-95.6848
44,31.7903,-95.6851
45,31.7904,-95.6851
46,31.7904,-95.6852
47,31.7904,-95.6858
48,31.7905,-95.6863
49,31.7905,-95.6864
50,31.7905,-95.6866
51,31.7905,-95.6867
52,31.7906,-95.6868
53,31.7906,-95.687
54,31.7906,-95.6872
55,31.7908,-95.6876
56,31.7909,-95.6879
57,31.7911,-95.6887
58,31.7912,-95.6888
59,31.7913,-95.6893
60,31.7913,-95.6894
61,31.7915,-95.6899
62,31.7918,-95.691
63,31.792,-95.6914
64,31.792,-95.6916
65,31.792,-95.6919
66,31.7921,-95.6921
67,31.7922,-95.6927
68,31.7922,-95.6935
69,31.7923,-95.6937
70,31.7925,-95.6959
71,31.7925,-95.696
72,31.7925,-95.6962
73,31.7925,-95.6963
74,31.7925,-95.6964
75,31.7926,-95.6967
76,31.7926,-95.697
77,31.7928,-95.6978
78,31.793,-95.6986
79,31.7931,-95.6992
80,31.7931,-95.6993
81,31.7932,-95.6994
82,31.7933,-95.6999
83,31.7937,-95.7009
84,31.7937,-95.701
85,31.7939,-95.7016
86,31.7949,-95.7044
87,31.7952,-95.7051
88,31.8005,-95.7201
89,31.8005,-95.7202
90,31.8006,-95.7202
91,31.8006,-95.7203
92,31.8006,-95.7204
93,31.8006,-95.7205
94,31.8007,-95.7206
95,31.8007,-95.7208
96,31.8007,-95.7209
97,31.8008,-95.7212
98,31.8009,-95.7215
99,31.8009,-95.7221
100,31.801,-95.7222
101,31.801,-95.7225
102,31.801,-95.7227
103,31.801,-95.7227
104,31.801,-95.7229
105,31.801,-95.7238
106,31.801,-95.7244
107,31.8009,-95.7249
108,31.8009,-95.7256
109,31.8009,-95.726
110,31.8009,-95.7264
111,31.8009,-95.7265
112,31.8009,-95.7269
113,31.8009,-95.7273
114,31.8009,-95.7276
115,31.801,-95.7277
116,31.801,-95.7278
117,31.801,-95.7281
118,31.801,-95.7281
119,31.8012,-95.7288
120,31.8014,-95.7298
121,31.8015,-95.7299
122,31.8015,-95.73
123,31.8017,-95.7308
124,31.8017,-95.7309
125,31.8021,-95.7325
126,31.8022,-95.7328
127,31.8022,-95.7328
128,31.8029,-95.7369
129,31.8031,-95.7386
130,31.8033,-95.7397
131,31.8033,-95.7398
132,31.8035,-95.7405
133,31.8037,-95.7413
134,31.8051,-95.7467
135,31.8053,-95.7473
136,31.806,-95.7499
137,31.8061,-95.7501
138,31.8061,-95.7501
139,31.8073,-95.7546
140,31.8074,-95.7552
141,31.8075,-95.7554
142,31.808,-95.7571
143,31.808,-95.7572
144,31.8088,-95.7604
145,31.8093,-95.762
146,31.8093,-95.7621
147,31.8094,-95.7623
148,31.8098,-95.7634
149,31.8098,-95.7637
150,31.8111,-95.7671
151,31.8112,-95.7675
152,31.8113,-95.7677
153,31.8113,-95.7679
154,31.8114,-95.7681
155,31.8114,-95.7683
156,31.8115,-95.7688
157,31.8116,-95.7693
158,31.8117,-95.7697
159,31.812,-95.7729
160,31.8121,-95.7733
161,31.8121,-95.7737
162,31.8121,-95.7739
163,31.8128,-95.7789
164,31.8128,-95.779
165,31.8128,-95.7792
166,31.8129,-95.7799
167,31.8131,-95.7806
168,31.8132,-95.7808
169,31.8133,-95.781
170,31.8133,-95.7812
171,31.8135,-95.7815
172,31.8137,-95.782
173,31.814,-95.7824
174,31.8142,-95.7827
175,31.8149,-95.7837
176,31.8149,-95.7838
177,31.8151,-95.784
178,31.8151,-95.7841
179,31.8154,-95.7844
180,31.8159,-95.7853
181,31.8164,-95.7862
182,31.8166,-95.7866
183,31.8166,-95.7868
184,31.817,-95.7875
185,31.8171,-95.7877
186,31.8171,-95.7878
187,31.8172,-95.7879
188,31.8228,-95.7998
189,31.8229,-95.8
190,31.8243,-95.8029
191,31.8244,-95.8033
192,31.8245,-95.8034
193,31.8247,-95.8038
194,31.825,-95.8044
195,31.8255,-95.8051
196,31.8257,-95.8056
197,31.826,-95.8059
198,31.8263,-95.8062
199,31.8266,-95.8066
200,31.8266,-95.8066
201,31.8269,-95.8069
202,31.8272,-95.8072
203,31.8354,-95.8157
204,31.8355,-95.8159
205,31.8363,-95.8166
206,31.8377,-95.8182
207,31.838,-95.8185
208,31.8392,-95.8197
209,31.8394,-95.8199
210,31.8395,-95.82
211,31.8399,-95.8204
212,31.8404,-95.8209
213,31.8428,-95.8235
214,31.8436,-95.8243
215,31.845,-95.8257
216,31.8454,-95.8262
217,31.8456,-95.8265
218,31.8459,-95.8268
219,31.8464,-95.8275
220,31.8465,-95.8276
221,31.847,-95.8284
222,31.8471,-95.8286
223,31.8571,-95.8436
224,31.8571,-95.8437
225,31.8574,-95.8441
226,31.858,-95.8449
227,31.8584,-95.8455
228,31.8599,-95.8473
229,31.86,-95.8474
230,31.8618,-95.8495
231,31.8625,-95.8503
232,31.8625,-95.8503
233,31.863,-95.8509
234,31.8636,-95.8516
235,31.8639,-95.852
236,31.8641,-95.8523
237,31.8641,-95.8523
238,31.8648,-95.8532
239,31.8648,-95.8533
240,31.8684,-95.8585
241,31.8687,-95.8589
242,31.8691,-95.8595
243,31.8692,-95.8596
244,31.8694,-95.8598
245,31.8695,-95.8599
246,31.8695,-95.86
247,31.8698,-95.8603
248,31.8701,-95.8605
249,31.8702,-95.8606
250,31.8703,-95.8607
251,31.8705,-95.8609
252,31.8712,-95.8614
253,31.8738,-95.8631
254,31.8741,-95.8633
255,31.8751,-95.864
256,31.8756,-95.8643
257,31.876,-95.8646
258,31.876,-95.8646
259,31.8764,-95.8649
260,31.8879,-95.8747
261,31.8884,-95.8751
262,31.8889,-95.8756
263,31.8891,-95.8757
264,31.8902,-95.8766
265,31.8902,-95.8767
266,31.8904,-95.8768
267,31.8906,-95.877
268,31.8907,-95.8771
269,31.8909,-95.8773
270,31.8914,-95.878
271,31.8915,-95.8782
272,31.8917,-95.8784
273,31.892,-95.8789
274,31.8921,-95.8791
275,31.8921,-95.8792
276,31.8922,-95.8794
277,31.8923,-95.8796
278,31.8925,-95.88
279,31.8926,-95.8802
280,31.8932,-95.8819
281,31.8943,-95.8853
282,31.8945,-95.886
283,31.8946,-95.8861
284,31.8947,-95.8863
285,31.895,-95.8869
286,31.8951,-95.8872
287,31.8954,-95.8877
288,31.8955,-95.8879
289,31.8958,-95.8883
290,31.8961,-95.8887
291,31.8978,-95.8909
292,31.8985,-95.8918
293,31.9057,-95.901
294,31.9067,-95.9023
295,31.9068,-95.9025
296,31.907,-95.9027
297,31.9072,-95.903
298,31.9072,-95.9031
299,31.9073,-95.9032
300,31.9073,-95.9032
301,31.9074,-95.9034
302,31.9074,-95.9035
303,31.9076,-95.9038
304,31.9077,-95.9039
305,31.908,-95.9045
306,31.908,-95.9046
307,31.9086,-95.9057
308,31.9087,-95.906
309,31.9087,-95.9061
310,31.9103,-95.9092
311,31.9106,-95.9098
312,31.9108,-95.9102
313,31.9108,-95.9102
314,31.911,-95.9106
315,31.9111,-95.9107
316,31.9113,-95.9109
317,31.9113,-95.911
318,31.9115,-95.9113
319,31.9116,-95.9115
320,31.9121,-95.912
321,31.9122,-95.9122
322,31.9127,-95.9128
323,31.9129,-95.9131
324,31.9138,-95.9142
325,31.9144,-95.915
326,31.9209,-95.9232
327,31.9209,-95.9232
328,31.9219,-95.9244
329,31.9221,-95.9246
330,31.9221,-95.9247
331,31.9222,-95.9248
332,31.9225,-95.9251
