,Latitude,Longitude
0,39.369596,-74.4267023
1,39.3696055,-74.426756
2,39.3696192,-74.4268086
3,39.3696349,-74.4268632
4,39.3696734,-74.4269865
5,39.3702235,-74.4287504
6,39.3702603,-74.4288693
7,39.3704467,-74.4294796
8,39.3706331,-74.43009
9,39.3706437,-74.430127
10,39.3708103,-74.4306987
11,39.3708588,-74.430872
12,39.3709037,-74.4310195
13,39.3711079,-74.4316877
14,39.3712174,-74.4319982
15,39.3715632,-74.4331643
16,39.3723776,-74.4358187
17,39.3724591,-74.4360812
18,39.3725373,-74.4363159
19,39.3725992,-74.4364981
20,39.3727001,-74.4367667
21,39.3728158,-74.4370623
22,39.3729163,-74.4373204
23,39.3730149,-74.4375709
24,39.373113,-74.4378316
25,39.3732075,-74.4380891
26,39.3733009,-74.4383475
27,39.37339,-74.4386093
28,39.3734795,-74.4388773
29,39.3735904,-74.4392238
30,39.3736843,-74.4395235
31,39.3737271,-74.43966
32,39.3738011,-74.4399013
33,39.3738792,-74.4401651
34,39.3739595,-74.4404401
35,39.3740364,-74.4407054
36,39.3741081,-74.4409749
37,39.3741777,-74.4412498
38,39.3742437,-74.4415213
39,39.3743062,-74.4417884
40,39.3744326,-74.4423379
41,39.3744986,-74.4426114
42,39.3745671,-74.4428837
43,39.3746412,-74.4431513
44,39.3747322,-74.4434538
45,39.3749452,-74.4441398
46,39.3761142,-74.4479476
47,39.3767518,-74.4500206
48,39.3769341,-74.4506108
49,39.3772118,-74.4515099
50,39.3772261,-74.4515566
51,39.3777999,-74.4534266
52,39.3783725,-74.4552923
53,39.3784347,-74.4554827
54,39.3785215,-74.4557361
55,39.3786201,-74.4559883
56,39.3787311,-74.456232
57,39.3788583,-74.4564785
58,39.3789909,-74.4567074
59,39.3790718,-74.4568348
60,39.3791511,-74.4569492
61,39.3792248,-74.4570478
62,39.3792602,-74.4570966
63,39.3793145,-74.457163
64,39.3793754,-74.4572423
65,39.3794183,-74.4572971
66,39.3795258,-74.4574221
67,39.379622,-74.4575205
68,39.3797372,-74.4576297
69,39.3798783,-74.4577606
70,39.3800649,-74.457914
71,39.3801757,-74.4579966
72,39.3802558,-74.4580563
73,39.3804578,-74.4581808
