,Latitude,Longitude
0,45.6036611,-121.1869988
1,45.6035691,-121.1868767
2,45.6034762,-121.1867842
3,45.6033646,-121.1867466
4,45.6033459,-121.1867486
5,45.6032389,-121.1867601
6,45.6032126,-121.1867775
7,45.6031507,-121.1868285
8,45.6029944,-121.1869676
9,45.6029511,-121.1870056
10,45.6029086,-121.1870202
11,45.602862,-121.1870163
12,45.6028101,-121.1870041
13,45.6027531,-121.186968
14,45.6025326,-121.1865075
15,45.6023632,-121.1861538
16,45.602344,-121.1861132
17,45.6023111,-121.1860438
18,45.6022646,-121.1859459
19,45.6022373,-121.1858888
20,45.6021907,-121.1857913
21,45.6020518,-121.185501
22,45.6020205,-121.1854355
23,45.6019997,-121.185392
24,45.6019812,-121.1853534
25,45.6018714,-121.185123
26,45.6017832,-121.1849381
27,45.6017384,-121.1848442
28,45.6017008,-121.184766
29,45.6015352,-121.1844215
30,45.6012814,-121.1838729
31,45.6012308,-121.1837635
32,45.6011734,-121.1836431
33,45.6008929,-121.1830544
34,45.6008793,-121.1830258
35,45.6007117,-121.1826728
36,45.6006674,-121.1825796
37,45.6006154,-121.182469
38,45.6004909,-121.1822046
39,45.6004534,-121.1821248
40,45.6003618,-121.1819302
41,45.6002459,-121.1816839
42,45.6001398,-121.1814586
43,45.6000796,-121.1813306
44,45.6000357,-121.1812395
45,45.5999918,-121.1811483
46,45.5999316,-121.1810233
47,45.5997111,-121.1805655
48,45.5996968,-121.1805348
49,45.5996708,-121.180481
50,45.599552,-121.1802351
51,45.5995133,-121.1801551
52,45.5994659,-121.1800562
53,45.5993383,-121.1797901
54,45.599272,-121.1796518
55,45.5991162,-121.1793267
56,45.5989868,-121.179057
57,45.5989394,-121.178958
58,45.5988787,-121.1788291
59,45.598409,-121.1778329
60,45.5983577,-121.1777242
61,45.5983001,-121.1775967
62,45.5978541,-121.1766087
63,45.597843,-121.176584
64,45.5977956,-121.1764791
65,45.5977079,-121.1762667
66,45.597659,-121.1761093
67,45.5976105,-121.175915
68,45.5975817,-121.1757751
69,45.5975605,-121.1756245
70,45.597546,-121.1754185
71,45.597541,-121.1752596
72,45.5975416,-121.1751226
73,45.5975599,-121.1749263
74,45.5975892,-121.1747001
75,45.5975994,-121.174517
76,45.5975985,-121.1743326
77,45.5975825,-121.1740679
