,Latitude,Longitude
0,45.6021526,-121.1386351
1,45.6024632,-121.1379084
2,45.6031901,-121.1362567
3,45.6035924,-121.1353212
4,45.6038935,-121.1345769
5,45.6051439,-121.1311779
6,45.6058072,-121.1294619
7,45.6061624,-121.1286406
8,45.6064934,-121.1280036
9,45.6068606,-121.127405
10,45.6072878,-121.1267027
11,45.6077622,-121.1260489
12,45.608311,-121.1253981
13,45.608885,-121.124775
14,45.6091878,-121.1245065
15,45.6099057,-121.1238934
16,45.6114102,-121.1226987
17,45.6120669,-121.1221703
18,45.6126837,-121.121624
19,45.6134569,-121.1208331
20,45.6141746,-121.1200255
21,45.6148731,-121.1191751
22,45.615051,-121.1189477
23,45.6152021,-121.1187254
24,45.6153265,-121.118583
25,45.6164654,-121.1167903
26,45.6173426,-121.1155457
27,45.6178169,-121.1148954
28,45.6182999,-121.1143096
29,45.6205184,-121.1119236
30,45.6213925,-121.1110418
31,45.622189,-121.1101616
32,45.6253765,-121.1068783
33,45.6280677,-121.1039941
34,45.6293643,-121.1026274
35,45.630636,-121.1011974
36,45.6314452,-121.1002266
37,45.6323293,-121.099095
38,45.6329647,-121.0982096
39,45.6332763,-121.0977583
40,45.6341971,-121.0963421
41,45.635013,-121.0949802
42,45.6354335,-121.0942407
43,45.6360255,-121.0933115
44,45.6362835,-121.092869
45,45.6365379,-121.0924206
46,45.6370667,-121.091384
47,45.6375515,-121.0903793
48,45.6381467,-121.0889407
49,45.639851,-121.0847067
50,45.6419914,-121.0795907
51,45.6452096,-121.0718604
52,45.6455375,-121.071035
53,45.6458517,-121.0701009
54,45.6462897,-121.068513
55,45.6465228,-121.0675844
56,45.6467034,-121.066623
57,45.646882,-121.0655669
58,45.6470097,-121.0644961
59,45.6471597,-121.0623332
60,45.6473529,-121.0546781
61,45.6474597,-121.0504457
62,45.6475038,-121.0491795
63,45.6475,-121.0480664
64,45.6473997,-121.0426093
65,45.6470397,-121.0238467
66,45.6469017,-121.0100795
67,45.6468719,-121.0088658
68,45.6467762,-121.0074038
69,45.6466317,-121.0059768
70,45.6463686,-121.0031136
71,45.6460864,-121.000706
72,45.6448664,-120.9902532
73,45.6444758,-120.9876722
74,45.6440857,-120.9854661
75,45.6435273,-120.982368
76,45.643464,-120.9817688
77,45.6434468,-120.9811448
78,45.6434515,-120.9804824
79,45.643489,-120.9798745
80,45.6436022,-120.9788483
81,45.6438505,-120.977309
82,45.6442384,-120.9746581
83,45.6446291,-120.9721809
84,45.6450503,-120.9702035
85,45.6454262,-120.9688689
86,45.6459629,-120.9672724
87,45.6466029,-120.9657376
88,45.6472057,-120.964413
89,45.6487318,-120.9611045
90,45.6501627,-120.9580904
91,45.6504791,-120.9574174
92,45.6510991,-120.9561605
93,45.6516777,-120.9549263
94,45.6519619,-120.9543003
95,45.6524126,-120.9533578
96,45.6528582,-120.9523665
97,45.6532048,-120.9515059
98,45.6534148,-120.9507801
99,45.6537328,-120.9495384
100,45.6538959,-120.9484883
101,45.6539571,-120.9476629
102,45.6539685,-120.9466161
103,45.6539099,-120.9456732
104,45.6537732,-120.9447194
105,45.6535559,-120.9436921
106,45.6532783,-120.9427745
107,45.6527986,-120.9416023
108,45.6523032,-120.9407486
109,45.6513497,-120.9394148
110,45.6502781,-120.9381202
111,45.6445136,-120.9313899
112,45.643069,-120.929718
113,45.6427014,-120.9292956
114,45.6378837,-120.923636
115,45.63715,-120.92255
116,45.6366785,-120.9217368
117,45.6361044,-120.920463
118,45.6357396,-120.9193781
119,45.635414,-120.918048
120,45.6351981,-120.916598
121,45.6351356,-120.9155349
122,45.635154,-120.9143139
123,45.6352443,-120.913266
124,45.6357632,-120.9091526
125,45.636281,-120.9053037
126,45.6364434,-120.9040091
127,45.6368029,-120.9020027
128,45.637042,-120.9009172
129,45.6372794,-120.8998924
130,45.6377952,-120.898096
131,45.6383015,-120.8966037
132,45.6388366,-120.8952122
133,45.6394005,-120.8939176
134,45.6401083,-120.8924507
135,45.6410128,-120.8908327
136,45.641938,-120.88938
137,45.6468805,-120.8824792
138,45.6471981,-120.8820403
139,45.651418,-120.876175
140,45.652677,-120.874203
141,45.654141,-120.871716
142,45.657334,-120.866442
143,45.657434,-120.866276
144,45.658098,-120.865038
145,45.661025,-120.860184
146,45.662054,-120.858197
147,45.664045,-120.853375
148,45.6684101,-120.8426659
149,45.6697196,-120.8393873
150,45.6709751,-120.8363227
151,45.6713254,-120.8354626
152,45.6720758,-120.833452
153,45.6725141,-120.8321102
154,45.6727736,-120.8312749
155,45.6729236,-120.8307921
156,45.6731443,-120.830088
157,45.6756576,-120.8219895
158,45.6759014,-120.8209895
159,45.6760493,-120.8202137
160,45.6761922,-120.8193475
161,45.6771822,-120.8122862
162,45.677651,-120.8089646
163,45.6783334,-120.8042014
164,45.6786961,-120.8022141
165,45.6790438,-120.8005523
166,45.6794398,-120.7988737
167,45.6808752,-120.7936881
168,45.6875778,-120.7696958
169,45.6890264,-120.7646307
170,45.6922288,-120.7531333
171,45.6924856,-120.7521829
172,45.6926568,-120.7513974
173,45.692775,-120.7506441
174,45.6928765,-120.7497109
175,45.6929228,-120.7488459
176,45.6930168,-120.7470656
177,45.6930871,-120.7460383
178,45.6932425,-120.7449945
179,45.6934217,-120.7441028
180,45.6936202,-120.7433454
181,45.6938331,-120.7426928
182,45.6950432,-120.7392443
183,45.6967255,-120.7345165
184,45.696888,-120.7340565
185,45.697127,-120.73338
186,45.6980499,-120.7307672
187,45.6982372,-120.7302417
188,45.6996078,-120.7263781
189,45.7006157,-120.7235544
190,45.7035082,-120.7153711
191,45.7037837,-120.7143541
192,45.7040485,-120.7129225
193,45.7052418,-120.7055307
194,45.7057438,-120.7028761
195,45.7070608,-120.6971005
196,45.7072218,-120.6964459
197,45.7074253,-120.6957138
198,45.7076362,-120.6949898
199,45.7078542,-120.6943177
200,45.7080872,-120.6936671
201,45.7085189,-120.6924629
202,45.7089581,-120.6912936
203,45.7099825,-120.6888346
204,45.7111465,-120.6863715
205,45.7121719,-120.6844252
206,45.7127413,-120.6833988
207,45.7135806,-120.6820977
208,45.7139725,-120.6814518
209,45.7200558,-120.6725001
210,45.7212064,-120.6706367
211,45.726286,-120.6614199
212,45.7267577,-120.6605348
213,45.7270797,-120.6598503
214,45.7275261,-120.658856
215,45.7278892,-120.6577633
216,45.7279818,-120.6574477
217,45.728629,-120.6552187
218,45.728735,-120.6548532
219,45.7293847,-120.6526156
220,45.7296496,-120.6518558
221,45.7300676,-120.6509743
222,45.7304872,-120.6501901
223,45.7308732,-120.6495958
224,45.7311679,-120.6491875
225,45.7314536,-120.6488434
226,45.732055,-120.6481847
227,45.733264,-120.6471368
228,45.7347502,-120.6458928
229,45.7355323,-120.6450331
230,45.7362961,-120.6438744
231,45.7368278,-120.6426835
232,45.7372995,-120.6413424
233,45.7392015,-120.6340575
234,45.7396882,-120.631783
235,45.7398454,-120.6305063
236,45.7399203,-120.6293261
237,45.7402045,-120.6138304
238,45.7403172,-120.6070929
239,45.7403153,-120.6056412
240,45.7402872,-120.6040905
241,45.7402241,-120.6024151
242,45.7400776,-120.6001759
243,45.7398829,-120.5982125
244,45.7396433,-120.5960774
245,45.7393587,-120.5940175
246,45.7390095,-120.5920243
247,45.7384152,-120.5891788
248,45.7379285,-120.5871081
249,45.7354274,-120.5764437
250,45.7346861,-120.5737615
251,45.7337949,-120.5708647
252,45.7330536,-120.568676
253,45.7317505,-120.5652106
254,45.7300505,-120.561316
255,45.7283504,-120.558033
256,45.7271267,-120.5560399
257,45.7257965,-120.5540526
258,45.7241188,-120.551939
259,45.7226507,-120.5502868
260,45.720928,-120.5485487
261,45.7184336,-120.5460489
262,45.7149578,-120.5425942
263,45.7136843,-120.5413604
264,45.7108974,-120.538528
265,45.7096763,-120.5371869
266,45.7074501,-120.5343459
267,45.7008426,-120.5238295
268,45.7003913,-120.5230936
269,45.6998644,-120.5221146
270,45.6987959,-120.520093
271,45.6966788,-120.5159724
272,45.6945206,-120.5118383
273,45.6931617,-120.5090559
274,45.6923895,-120.5071116
275,45.6917003,-120.5050969
276,45.6915219,-120.5044653
277,45.6906204,-120.5011912
278,45.6903805,-120.5002552
279,45.6902424,-120.4996878
280,45.6899968,-120.4986929
281,45.6892295,-120.4954606
282,45.6879231,-120.48998
283,45.6876391,-120.4882169
284,45.6874579,-120.486378
285,45.6873455,-120.4844792
286,45.6872598,-120.481006
287,45.6872486,-120.4796087
288,45.6872774,-120.4781297
289,45.6874904,-120.4741594
290,45.6878191,-120.4672882
291,45.6879985,-120.4644145
292,45.6882485,-120.4615028
293,45.6902914,-120.444994
294,45.6906732,-120.4406166
295,45.6908985,-120.4362822
296,45.6913823,-120.4214905
297,45.691505,-120.4191271
298,45.6916874,-120.4167858
299,45.6923149,-120.4107368
300,45.6925472,-120.4074001
301,45.6925927,-120.405387
302,45.6925622,-120.4033124
303,45.6922774,-120.3927875
304,45.6923149,-120.3902662
305,45.6924273,-120.388571
306,45.6929744,-120.3849983
307,45.693454,-120.3822517
308,45.6939297,-120.3795612
309,45.6946755,-120.3755033
310,45.6948076,-120.3748025
311,45.6948868,-120.3743828
312,45.6954399,-120.371449
313,45.6960274,-120.3690481
314,45.6963091,-120.3682613
315,45.6973807,-120.3651822
316,45.6993815,-120.3597748
317,45.6997091,-120.3585058
318,45.6999809,-120.3571784
319,45.7001608,-120.3557944
320,45.7002357,-120.3544748
321,45.7002282,-120.3489923
322,45.7003279,-120.3472954
323,45.7016069,-120.3353882
324,45.702049,-120.3303134
325,45.7025585,-120.325464
326,45.7057429,-120.2959919
327,45.706657,-120.2866042
328,45.7073987,-120.281508
329,45.7091818,-120.2721095
330,45.7131749,-120.2511775
331,45.7141413,-120.2460062
332,45.7163287,-120.2346873
333,45.7176096,-120.2277458
334,45.7180666,-120.2252781
335,45.7183437,-120.2236795
336,45.7185984,-120.2209437
337,45.7188503,-120.2169601
338,45.7189954,-120.2149463
339,45.7194074,-120.2118993
340,45.719677,-120.2105689
341,45.7201102,-120.2086346
342,45.720642,-120.2067963
343,45.7210765,-120.2054445
344,45.7215783,-120.2041248
345,45.7220127,-120.2030949
346,45.7224172,-120.2021507
347,45.7245444,-120.1983673
348,45.7246418,-120.1982454
349,45.7258401,-120.1965181
350,45.7271134,-120.1948551
351,45.729158,-120.1925162
352,45.7304836,-120.1910142
353,45.7399115,-120.1807145
354,45.7413342,-120.1791696
355,45.7421429,-120.1782791
356,45.7428617,-120.1773457
357,45.7441944,-120.1751462
358,45.747344,-120.169591
359,45.7494778,-120.165882
360,45.7499668,-120.1649539
361,45.7507529,-120.1633445
362,45.7514416,-120.1611773
363,45.7528751,-120.1555384
364,45.753388,-120.1536778
365,45.7543017,-120.1510023
366,45.7554527,-120.1481268
367,45.7576448,-120.1432348
368,45.7592595,-120.139589
369,45.7599697,-120.1380023
370,45.760325,-120.1371945
371,45.7606143,-120.1363567
372,45.7610454,-120.1350565
373,45.7614425,-120.1336247
374,45.7619344,-120.1315264
375,45.7631973,-120.1261628
376,45.7649592,-120.1187276
377,45.7652809,-120.1171743
378,45.7655573,-120.1155939
379,45.771472,-120.078246
380,45.7726013,-120.0724498
381,45.7733347,-120.0693385
382,45.7739932,-120.0670532
383,45.7748014,-120.0647358
384,45.7756844,-120.0625793
385,45.776327,-120.0612543
386,45.7769864,-120.0600473
387,45.7810645,-120.0527624
388,45.7818276,-120.0513462
389,45.7825235,-120.0498978
390,45.7849252,-120.0438468
391,45.7866175,-120.0396053
392,45.7869355,-120.0388261
393,45.7895591,-120.0321541
394,45.7924738,-120.0248782
395,45.7935735,-120.0220672
396,45.7941719,-120.0206188
397,45.7954559,-120.0174293
398,45.7959446,-120.0161983
399,45.7968649,-120.0138918
400,45.7979345,-120.0108127
401,45.798526,-120.0089464
402,45.7990266,-120.0070683
403,45.7996549,-120.0043968
404,45.800288,-120.001148
405,45.800559,-119.999664
406,45.804873,-119.9761
407,45.8054589,-119.972854
408,45.8078416,-119.960047
409,45.8087908,-119.9548134
410,45.8089405,-119.9540295
411,45.8097891,-119.9492506
412,45.811373,-119.940647
413,45.818412,-119.902189
414,45.8220345,-119.88218
415,45.8223036,-119.8801749
416,45.8227029,-119.8761443
417,45.8288035,-119.805981
418,45.8289722,-119.8042479
419,45.8292484,-119.8009411
420,45.8294971,-119.7981801
421,45.8297971,-119.7945279
422,45.8303566,-119.7880271
423,45.8309099,-119.7814947
424,45.831597,-119.7736475
425,45.832281,-119.766558
426,45.8326392,-119.7615559
427,45.8343716,-119.7413017
428,45.8354029,-119.7297014
429,45.8361294,-119.7210694
430,45.8373551,-119.7072391
431,45.8375656,-119.7046862
432,45.8377448,-119.7022426
433,45.8379263,-119.7003154
434,45.8382969,-119.6953086
435,45.839219,-119.685468
436,45.8400638,-119.6756273
437,45.8402483,-119.6735324
438,45.8404019,-119.6708128
439,45.8404176,-119.6686582
440,45.8404176,-119.667984
441,45.8403577,-119.6656172
442,45.8402189,-119.6632838
443,45.8400418,-119.6613569
444,45.839809,-119.659436
445,45.839226,-119.655922
446,45.838735,-119.65294
447,45.836569,-119.639726
448,45.835267,-119.6325717
449,45.8338959,-119.6244398
450,45.8338656,-119.6242724
451,45.8337512,-119.6235643
452,45.8328843,-119.6183976
453,45.8325381,-119.6161879
454,45.827839,-119.588509
455,45.8232781,-119.5612303
456,45.8230288,-119.5598045
457,45.8217288,-119.5517559
458,45.820575,-119.544613
459,45.8192451,-119.5355484
460,45.812949,-119.4981263
461,45.8083381,-119.4711386
462,45.8022804,-119.43531
463,45.8008892,-119.4271132
464,45.7993559,-119.4181493
465,45.797109,-119.4049813
466,45.7966772,-119.4024309
467,45.7951091,-119.3931915
468,45.7949646,-119.3923249
469,45.7934337,-119.3832957
470,45.7926258,-119.3787638
471,45.7909261,-119.3686358
472,45.7896905,-119.3609592
473,45.787772,-119.3499075
474,45.7864972,-119.3423974
475,45.7864409,-119.3420658
476,45.7842586,-119.3294407
477,45.7823433,-119.3182189
478,45.7807433,-119.3087867
479,45.7783939,-119.2950439
480,45.776202,-119.282223
481,45.774679,-119.273318
482,45.7732083,-119.264815
483,45.7716398,-119.2558285
484,45.7699455,-119.2459151
485,45.7684307,-119.2371861
486,45.766566,-119.225879
487,45.76559,-119.220209
488,45.7652916,-119.2184735
489,45.76506,-119.217127
490,45.7642695,-119.2129046
491,45.7639761,-119.2111107
492,45.7635765,-119.2088116
493,45.7627865,-119.2040987
494,45.7609244,-119.1933389
495,45.7591367,-119.182926
496,45.747571,-119.1160224
497,45.7469037,-119.1120096
498,45.7456772,-119.1051066
499,45.7444161,-119.0977907
500,45.7431466,-119.0909017
501,45.7422121,-119.0874151
502,45.7410836,-119.0838106
503,45.7395201,-119.0791365
504,45.7392265,-119.078132
505,45.7390342,-119.0775137
506,45.7338018,-119.0613926
507,45.7306441,-119.0516826
508,45.7263427,-119.0384295
509,45.7200679,-119.0191429
510,45.7166604,-119.0087194
511,45.7142896,-119.0014287
512,45.7103529,-118.9893057
513,45.7066571,-118.9779562
514,45.6936317,-118.9379597
515,45.6901475,-118.9273434
516,45.6880761,-118.9209805
517,45.6846473,-118.910561
518,45.680075,-118.8964865
519,45.6779004,-118.8899155
520,45.6775685,-118.8888768
521,45.6762087,-118.8838799
522,45.6758502,-118.8816363
523,45.6756579,-118.8790682
524,45.675628,-118.8761496
525,45.6758553,-118.873662
526,45.6763391,-118.870915
527,45.6767078,-118.8694655
528,45.6771322,-118.8679885
529,45.6782227,-118.8646496
530,45.678678,-118.862763
531,45.6789129,-118.8606579
532,45.6789865,-118.859123
533,45.6788717,-118.8569601
534,45.6787184,-118.8558266
535,45.6785265,-118.8546966
536,45.678025,-118.8527569
537,45.6775478,-118.8516524
538,45.6772722,-118.8509433
539,45.6769727,-118.8504455
540,45.67656,-118.8499683
541,45.6761294,-118.8495348
542,45.675089,-118.84842
543,45.6748553,-118.8482324
544,45.6748896,-118.8479627
545,45.6753739,-118.8460626
546,45.6754637,-118.8457654
547,45.6759213,-118.8443686
548,45.6761392,-118.8437332
549,45.6762413,-118.8433515
550,45.676285,-118.8423223
