,Latitude,Longitude
0,44.24661,-72.5496
1,44.24628,-72.54977
2,44.2461,-72.54983
3,44.2458,-72.54985
4,44.24556,-72.54992
5,44.24533,-72.55004
6,44.24507,-72.55023
7,44.24485,-72.55049
8,44.24447,-72.55107
9,44.24426,-72.55129
10,44.24407,-72.55142
11,44.24382,-72.55151
12,44.24351,-72.55158
13,44.24265,-72.55175
14,44.24231,-72.55178
15,44.24183,-72.55178
16,44.24154,-72.55182
17,44.24121,-72.55196
18,44.24094,-72.55215
19,44.24048,-72.5526
20,44.24023,-72.5528
21,44.2399,-72.55296
22,44.2395,-72.55307
23,44.23828,-72.5533
24,44.23762,-72.55345
25,44.23717,-72.5536
26,44.23617,-72.55397
27,44.23554,-72.55415
28,44.23512,-72.55418
29,44.23469,-72.55412
30,44.23254,-72.55376
31,44.23117,-72.55341
32,44.23052,-72.55331
33,44.22972,-72.55321
34,44.22931,-72.55312
35,44.22888,-72.55296
36,44.22725,-72.55213
37,44.22665,-72.55185
38,44.22624,-72.5517
39,44.22505,-72.55134
40,44.22467,-72.55118
41,44.22441,-72.551
42,44.22418,-72.5508
43,44.22393,-72.55051
44,44.22371,-72.55023
45,44.22348,-72.54987
46,44.22014,-72.54445
47,44.21991,-72.54402
48,44.21974,-72.54362
49,44.21942,-72.54253
50,44.21923,-72.542
51,44.21882,-72.54109
52,44.21807,-72.53916
53,44.21789,-72.53881
54,44.21764,-72.53842
55,44.21508,-72.53484
56,44.21423,-72.53362
57,44.21395,-72.53314
58,44.21378,-72.53279
59,44.21367,-72.53249
60,44.21357,-72.53205
61,44.21351,-72.53159
62,44.21349,-72.53108
63,44.21352,-72.53063
64,44.21368,-72.52962
65,44.21369,-72.52929
66,44.21313,-72.52332
67,44.21298,-72.52191
68,44.21293,-72.52155
69,44.21283,-72.52119
70,44.2127,-72.52085
71,44.21249,-72.52052
72,44.21217,-72.52015
73,44.21161,-72.51952
74,44.21137,-72.51919
75,44.21117,-72.51876
76,44.21106,-72.51837
77,44.21099,-72.51792
78,44.21098,-72.51698
79,44.21092,-72.5166
80,44.21077,-72.51612
81,44.21054,-72.51578
82,44.21021,-72.51545
83,44.20903,-72.51461
84,44.20855,-72.5142
85,44.20637,-72.51218
86,44.20607,-72.51179
87,44.20529,-72.51062
88,44.20496,-72.51015
89,44.20464,-72.5098
90,44.20339,-72.50869
91,44.20247,-72.50773
92,44.20086,-72.50586
93,44.19973,-72.50446
94,44.19789,-72.50207
95,44.1975,-72.50159
96,44.19724,-72.5011
97,44.19666,-72.49981
98,44.19651,-72.49957
99,44.1963,-72.49932
100,44.19564,-72.49861
101,44.19546,-72.49835
102,44.19454,-72.49662
103,44.1939,-72.49552
104,44.18917,-72.48761
105,44.18852,-72.48656
106,44.18835,-72.48638
