,Latitude,Longitude
0,41.21639,-75.88693
1,41.21782,-75.88583
2,41.21868,-75.88523
3,41.21945,-75.88472
4,41.22015,-75.88432
5,41.22127,-75.88373
6,41.22171,-75.88346
7,41.22211,-75.88312
8,41.22253,-75.88269
9,41.22285,-75.88224
10,41.22318,-75.88163
11,41.22427,-75.87915
12,41.22459,-75.8785
13,41.22487,-75.87801
14,41.22519,-75.87752
15,41.22555,-75.877
16,41.22587,-75.87662
17,41.22979,-75.87235
18,41.23041,-75.87164
19,41.23106,-75.87085
20,41.23162,-75.87007
21,41.23218,-75.8692
22,41.23265,-75.8684
23,41.23308,-75.86765
24,41.23391,-75.86619
25,41.23417,-75.86576
26,41.23461,-75.86514
27,41.23497,-75.8647
28,41.23536,-75.86432
29,41.23575,-75.864
30,41.23631,-75.8636
31,41.23897,-75.862
32,41.23927,-75.86185
33,41.23964,-75.86173
34,41.23999,-75.86165
35,41.24037,-75.86162
36,41.24071,-75.86163
37,41.2412,-75.86174
38,41.24155,-75.86185
39,41.24294,-75.86243
40,41.24323,-75.8625
41,41.24351,-75.86252
42,41.24384,-75.86248
43,41.24419,-75.86236
44,41.24448,-75.86218
45,41.24476,-75.86196
46,41.24505,-75.86167
47,41.24528,-75.86133
48,41.24541,-75.86107
49,41.24556,-75.8607
50,41.2462,-75.85836
51,41.24634,-75.85791
52,41.24645,-75.85766
53,41.24661,-75.85739
54,41.24684,-75.85711
55,41.24704,-75.85693
56,41.24732,-75.85674
57,41.24794,-75.8564
58,41.24833,-75.85614
59,41.24865,-75.8559
60,41.24893,-75.85562
61,41.24921,-75.85529
62,41.25007,-75.8542
63,41.25038,-75.8538
64,41.25062,-75.85355
65,41.25093,-75.85238
66,41.25101,-75.85189
67,41.25108,-75.85136
68,41.25111,-75.85085
69,41.2511,-75.85009
70,41.25105,-75.84949
71,41.25096,-75.84884
72,41.25035,-75.84424
73,41.25024,-75.84288
74,41.2502,-75.84204
75,41.25019,-75.84127
76,41.25021,-75.84031
77,41.2503,-75.83947
78,41.25044,-75.83876
79,41.25085,-75.83698
80,41.25127,-75.83497
