,Latitude,Longitude
0,43.5997,-116.193537
1,43.5995801,-116.1936571
2,43.599353,-116.1936556
3,43.5991604,-116.1936544
4,43.5985736,-116.1936507
5,43.5985373,-116.1936505
6,43.5984226,-116.1936498
7,43.5982923,-116.1936518
8,43.5982546,-116.1936522
9,43.5980929,-116.1936501
10,43.5980338,-116.1936495
11,43.5976986,-116.1936459
12,43.5976589,-116.1936455
13,43.5971391,-116.1936408
14,43.5970648,-116.1936375
15,43.5970531,-116.1936374
16,43.5963962,-116.19366
17,43.595864,-116.1936779
18,43.5950714,-116.1936792
19,43.5946802,-116.1936793
20,43.59458,-116.1936799
21,43.594489,-116.1936819
22,43.5943729,-116.1936813
23,43.5937272,-116.1936839
24,43.593306,-116.1936859
25,43.5925024,-116.1936871
26,43.592017,-116.1936879
27,43.5915398,-116.1936883
28,43.5908241,-116.1936888
29,43.5906597,-116.193687
30,43.5904383,-116.1936819
31,43.5903005,-116.1936897
32,43.589892,-116.1937129
33,43.5894813,-116.1937074
34,43.5887583,-116.1936993
35,43.5884674,-116.1936965
36,43.588065,-116.1936919
37,43.587748,-116.1936859
38,43.5866217,-116.1936754
39,43.5862486,-116.1936719
40,43.5856943,-116.1936856
41,43.5851599,-116.1936784
42,43.5850219,-116.1936766
43,43.5848091,-116.1936808
44,43.584797,-116.193681
45,43.5845555,-116.1936857
46,43.5844122,-116.1936885
47,43.5843459,-116.1936901
48,43.5839918,-116.1936986
49,43.5836459,-116.1937074
50,43.582571,-116.1937061
51,43.5819501,-116.1937107
52,43.5817328,-116.1937121
53,43.5815051,-116.1937096
54,43.5810768,-116.1937052
55,43.5808511,-116.1937033
56,43.5802195,-116.1937083
57,43.5797584,-116.1937127
58,43.5794782,-116.1937151
59,43.5790488,-116.1937187
60,43.57897,-116.1937194
61,43.5788846,-116.19372
62,43.5783973,-116.1937233
63,43.5782728,-116.1937242
64,43.5781986,-116.1937247
65,43.5775579,-116.1937183
66,43.577316,-116.1937159
67,43.5771682,-116.1936972
68,43.5763667,-116.1937013
69,43.5754803,-116.1937098
70,43.5754397,-116.1937075
71,43.5752381,-116.1936978
72,43.5743315,-116.1936888
73,43.5739358,-116.1936968
74,43.5732588,-116.193697
75,43.5724362,-116.1937113
76,43.5719238,-116.193789
77,43.5716622,-116.193831
78,43.5712312,-116.1939467
79,43.5707428,-116.1941065
80,43.5704101,-116.1942538
81,43.5700173,-116.1944497
82,43.5697596,-116.1945174
