,Latitude,Longitude
0,42.2332819,-105.0131875
1,42.2330981,-105.0144752
2,42.2330173,-105.0150688
3,42.2324947,-105.018563
4,42.2324587,-105.019015
5,42.2324252,-105.0194419
6,42.2324128,-105.0198151
7,42.2324131,-105.0202052
8,42.2324352,-105.0204503
9,42.2324508,-105.0206138
10,42.2324688,-105.0207772
11,42.2325384,-105.0211621
12,42.232627,-105.0215922
13,42.2327484,-105.0219543
14,42.2328874,-105.0223163
15,42.2330738,-105.0227438
16,42.2331891,-105.0229262
17,42.2333558,-105.02319
18,42.2335504,-105.0234711
19,42.2337083,-105.0236516
20,42.2338466,-105.0237954
21,42.2340491,-105.0239827
22,42.2341953,-105.0241096
23,42.2343785,-105.02425
24,42.234671,-105.0244386
25,42.2351937,-105.0247665
26,42.2358412,-105.0250975
27,42.2377383,-105.0260258
28,42.2392189,-105.0267811
29,42.241246,-105.0277681
30,42.2467612,-105.0305319
31,42.2560877,-105.0352097
32,42.2595152,-105.0369618
33,42.2607912,-105.037598
34,42.26232,-105.0383663
35,42.2641522,-105.0392866
36,42.2644313,-105.0394349
37,42.268006,-105.0412348
38,42.2684502,-105.04147
39,42.2687371,-105.0416283
40,42.2706115,-105.0425751
41,42.2719599,-105.0432806
42,42.2758816,-105.0453323
43,42.2762229,-105.0455468
44,42.27993,-105.0475424
45,42.2806127,-105.0478643
46,42.2814681,-105.0481958
47,42.2823571,-105.048419
48,42.2832767,-105.0485538
49,42.2835643,-105.0485619
50,42.2838921,-105.0485659
51,42.2841849,-105.0485694
52,42.2846444,-105.0485213
53,42.2849606,-105.0484705
54,42.2853762,-105.0483877
55,42.2857294,-105.0482935
56,42.2861311,-105.0481636
57,42.2865983,-105.0479835
58,42.2872567,-105.0477343
59,42.2876264,-105.0475766
60,42.2880041,-105.0474165
61,42.2890316,-105.0469811
62,42.289461,-105.0468351
63,42.2897372,-105.0467527
64,42.2900248,-105.0466705
65,42.2903264,-105.0466062
66,42.2906771,-105.0465364
67,42.2911671,-105.0464631
68,42.291771,-105.046392
69,42.2921337,-105.0463424
70,42.2925275,-105.046319
71,42.2928804,-105.0463036
72,42.2932971,-105.0463165
73,42.2965988,-105.0463153
74,42.2981347,-105.0463095
75,42.2996288,-105.046309
76,42.301128,-105.0463229
77,42.302656,-105.0463231
78,42.3041868,-105.0463172
79,42.3057226,-105.0463404
80,42.3072361,-105.0463374
81,42.3101144,-105.046328
82,42.3116218,-105.0463255
83,42.3131572,-105.046329
84,42.3147083,-105.0463326
85,42.3159468,-105.0463335
86,42.3161452,-105.0463311
87,42.3176793,-105.0462657
88,42.3192187,-105.0461777
89,42.3207946,-105.0460538
90,42.3223097,-105.0459576
91,42.3237474,-105.045859
92,42.3257924,-105.0457377
93,42.3281742,-105.0456859
94,42.3296705,-105.0456447
95,42.3311858,-105.0456353
96,42.3329465,-105.0456368
97,42.334388,-105.0456202
98,42.3358772,-105.0456186
99,42.337336,-105.0456152
100,42.3393376,-105.0455538
101,42.3396612,-105.0455554
102,42.3408815,-105.045571
103,42.3414787,-105.0455672
104,42.3433315,-105.0455555
105,42.3440191,-105.0455518
106,42.3456767,-105.0454621
107,42.3458829,-105.0454599
108,42.3543259,-105.045372
109,42.3562287,-105.0454836
110,42.3598693,-105.0458183
111,42.3640106,-105.0461445
112,42.3677205,-105.0461445
113,42.3690459,-105.0462217
114,42.3737002,-105.0461788
115,42.3783669,-105.0461874
116,42.3817907,-105.0461788
117,42.3839082,-105.0459986
118,42.3913744,-105.0447196
119,42.3950827,-105.0441081
120,42.3954154,-105.0440437
121,42.3958352,-105.0439666
122,42.3960969,-105.0439257
123,42.3967644,-105.0438051
124,42.3982285,-105.0435376
125,42.4004357,-105.0431797
126,42.4043889,-105.0425053
127,42.4078175,-105.0419474
128,42.411341,-105.0413122
129,42.4163091,-105.0403852
130,42.4193315,-105.0398531
131,42.4203073,-105.0396643
132,42.4210867,-105.0394325
133,42.4221638,-105.0389519
134,42.4237161,-105.038188
135,42.4244574,-105.0379133
136,42.4258702,-105.03757
137,42.4269473,-105.0373211
138,42.4280686,-105.0368834
139,42.4298552,-105.0360765
140,42.4310842,-105.0355873
141,42.4323132,-105.0352097
142,42.4341566,-105.0347633
143,42.4376597,-105.0339479
144,42.4391229,-105.0335274
145,42.439712,-105.0334158
146,42.4403644,-105.0333643
147,42.4417072,-105.0333729
148,42.4426763,-105.0334587
149,42.4448235,-105.0337591
150,42.4495102,-105.0346174
151,42.4505172,-105.0348492
152,42.4513278,-105.0348749
153,42.4521891,-105.0347891
154,42.4530187,-105.034626
155,42.453975,-105.0342312
156,42.4548236,-105.033742
157,42.4624532,-105.0286824
158,42.4629043,-105.0284249
159,42.4635217,-105.0281137
160,42.464139,-105.0278348
161,42.4647484,-105.0276846
162,42.4653104,-105.0276202
163,42.4659673,-105.0276095
164,42.4667132,-105.0277194
165,42.4669911,-105.0277442
166,42.4718906,-105.0281403
167,42.4724956,-105.0281883
168,42.4750502,-105.0284042
169,42.476089,-105.0284959
170,42.4764885,-105.028537
171,42.4768496,-105.0285871
172,42.477314,-105.0286771
173,42.4778557,-105.0288177
174,42.4783193,-105.0289628
175,42.4789216,-105.029183
176,42.479393,-105.0293938
177,42.4799555,-105.0296753
178,42.4805526,-105.0300179
179,42.4826888,-105.031268
180,42.4835573,-105.0317776
181,42.4839923,-105.0320136
182,42.4844631,-105.0322546
183,42.4848075,-105.032414
184,42.4851911,-105.0325691
185,42.485652,-105.0327354
186,42.4861147,-105.0328727
187,42.4864732,-105.0329673
188,42.4868951,-105.0330663
189,42.4872798,-105.0331242
190,42.4877777,-105.0331721
191,42.4883356,-105.0332078
192,42.4888049,-105.0332055
193,42.4892851,-105.0331856
194,42.4897462,-105.0331396
195,42.490339,-105.0330577
196,42.4907691,-105.0329625
197,42.491814,-105.0327219
198,42.4927198,-105.0325069
199,42.4939015,-105.0322224
200,42.4946709,-105.0320437
201,42.4956268,-105.0318207
202,42.4967907,-105.031544
203,42.4977279,-105.0313271
204,42.4983329,-105.0311764
205,42.4995303,-105.0309003
206,42.5007378,-105.0306238
207,42.5020708,-105.0303096
208,42.5028486,-105.0301262
209,42.5033054,-105.0300189
210,42.5045749,-105.0297162
211,42.5067728,-105.0291949
212,42.5079893,-105.0288984
213,42.5086591,-105.0287362
214,42.5091591,-105.0285848
215,42.5106595,-105.0280716
216,42.512476,-105.0274458
217,42.5154615,-105.0264135
218,42.5166126,-105.0260086
219,42.5175046,-105.0258284
220,42.5188521,-105.025631
221,42.5199212,-105.025631
222,42.5212623,-105.0257168
223,42.5223504,-105.0259571
224,42.523236,-105.0261803
225,42.5275184,-105.0278969
226,42.5361519,-105.0313301
227,42.5456566,-105.0352265
228,42.5461345,-105.0354255
229,42.5490384,-105.0365635
230,42.5503107,-105.0371838
231,42.5515689,-105.0379562
232,42.5522139,-105.0384541
233,42.5574806,-105.0433035
234,42.5585427,-105.0443506
235,42.5593519,-105.0453291
236,42.5600979,-105.0463848
237,42.560787,-105.0475006
238,42.5612645,-105.0484189
239,42.5619204,-105.0499102
240,42.5626474,-105.0517341
241,42.5633744,-105.0533434
242,42.564054,-105.0546309
243,42.5673615,-105.0602465
244,42.5713817,-105.0671301
245,42.5727344,-105.0693531
246,42.5739271,-105.0710395
247,42.5742273,-105.0714472
248,42.5749937,-105.0724557
249,42.5756652,-105.0732711
250,42.5762973,-105.0739899
251,42.5769372,-105.0746766
252,42.5829921,-105.0811205
253,42.5908343,-105.0895233
