,Latitude,Longitude
0,38.449374382490646,-78.86863111328763
1,38.448467,-78.862354
2,38.448412,-78.86055
3,38.448917,-78.858602
4,38.44919,-78.856095
5,38.448972,-78.855159
6,38.447993,-78.854159
7,38.446992,-78.853548
8,38.445931,-78.853503
9,38.444609,-78.854282
10,38.443638,-78.854454
11,38.442189,-78.854015
12,38.440396,-78.853065
13,38.438669,-78.851743
14,38.437129,-78.850092
15,38.432914,-78.84424
16,38.431401,-78.842772
17,38.422587,-78.837786
18,38.421292,-78.837422
19,38.419068,-78.837323
20,38.417778,-78.836856
21,38.411052,-78.831251
22,38.409229,-78.829275
23,38.406263,-78.825093
24,38.398332,-78.815002
25,38.392143,-78.809899
26,38.387625,-78.803901
27,38.381548,-78.800269
28,38.380061,-78.79893
29,38.37321,-78.789275
30,38.370263,-78.781801
31,38.369657,-78.778896
32,38.369515,-78.775613
33,38.370114,-78.768717
34,38.370855,-78.764837
35,38.371056,-78.762608
36,38.370239,-78.750254
37,38.370644,-78.748051
38,38.371947,-78.744734
39,38.372709,-78.742236
40,38.373172,-78.739847
41,38.373753,-78.734921
42,38.374148,-78.73317
43,38.375109,-78.73066
44,38.378782,-78.724323
45,38.383118,-78.715176
46,38.385126,-78.707507
47,38.389089,-78.698445
48,38.39926,-78.670381
49,38.400308,-78.667203
50,38.402918,-78.657794
51,38.405366,-78.651866
52,38.406109,-78.649184
53,38.406276249022596,-78.6472797618607
54,38.405209862909544,-78.6187231046756
55,38.405105,-78.615291
56,38.404638,-78.613011
57,38.401754,-78.604149
58,38.401193,-78.602969
59,38.397476,-78.59796
60,38.396228,-78.597008
61,38.395146,-78.596702
62,38.38485,-78.595722
63,38.383718,-78.595222
64,38.379749,-78.592516
65,38.378389,-78.591321
66,38.365407,-78.577711
67,38.364867,-78.576235
68,38.364889,-78.575335
69,38.365144,-78.574432
70,38.365752,-78.573561
71,38.368166,-78.57191
72,38.369538,-78.570514
73,38.370007,-78.569758
74,38.370838,-78.567709
75,38.370868,-78.566688
76,38.37063,-78.566103
77,38.370149,-78.565601
78,38.367815,-78.564318
79,38.365598,-78.561778
80,38.365383,-78.560903
81,38.365784,-78.55917
82,38.365355,-78.558148
83,38.365663,-78.556847
84,38.365473,-78.555967
85,38.365066,-78.555458
86,38.363184,-78.55421
87,38.362941,-78.553475
88,38.36303,-78.552396
89,38.362785,-78.551748
90,38.35991,-78.549139
91,38.357739,-78.546858
92,38.35658,-78.544771
93,38.355477,-78.543541
94,38.355383,-78.543055
95,38.355598,-78.541609
96,38.35562,-78.539695
97,38.356031,-78.53895
98,38.356335,-78.537731
99,38.357267,-78.537032
100,38.357283,-78.536428
101,38.356863,-78.536075
102,38.356368,-78.53598
103,38.354371,-78.536779
104,38.353767,-78.536716
105,38.353296,-78.536455
106,38.350789,-78.534529
107,38.349126,-78.531367
108,38.347828,-78.529735
109,38.347463,-78.528889
110,38.347339,-78.527559
111,38.347551,-78.52678
112,38.348189,-78.5258
113,38.348222,-78.525288
114,38.347217,-78.524023
115,38.346957,-78.523399
116,38.346761,-78.521709
117,38.346859,-78.518639
118,38.345897,-78.516551
119,38.344291,-78.512179
120,38.343666,-78.511003
121,38.340633,-78.507554
122,38.338134,-78.505673
123,38.336271,-78.503595
124,38.332238,-78.497151
125,38.331811,-78.495908
126,38.331525,-78.493283
127,38.331243,-78.492138
128,38.328949,-78.486421
129,38.327567,-78.480307
130,38.326497,-78.478603
131,38.326036,-78.47825
132,38.324799,-78.477807
133,38.323897,-78.476973
134,38.322241,-78.476859
135,38.320449,-78.475889
136,38.319966,-78.475876
137,38.318245,-78.476426
138,38.317333,-78.476532
139,38.314595,-78.475613
140,38.312717,-78.473834
141,38.31049,-78.472284
142,38.301642,-78.464079
143,38.300714,-78.462903
144,38.299366,-78.460625
145,38.29684653078598,-78.45534689497191
146,38.289685,-78.438333
147,38.287995,-78.433367
148,38.28663,-78.427354
149,38.285916,-78.425013
150,38.284557,-78.421983
151,38.283423401276956,-78.42034851440754
152,38.277778,-78.413402
153,38.276482,-78.412188
154,38.275367,-78.411417
155,38.273439,-78.410553
156,38.263161,-78.407812
157,38.261225,-78.406883
158,38.259762,-78.405594
159,38.254902,-78.40034
160,38.253566,-78.399411
161,38.251566,-78.398767
162,38.250341,-78.398031
163,38.24762,-78.395006
164,38.237503,-78.386782
165,38.236724,-78.385914
166,38.234882,-78.382209
167,38.233527,-78.377551
168,38.233407,-78.375776
169,38.23364,-78.371948
170,38.233176,-78.368421
171,38.23358,-78.361713
172,38.233173,-78.360129
173,38.230922,-78.354035
174,38.230278,-78.353169
175,38.225756,-78.348435
176,38.222139,-78.345695
177,38.220894,-78.345242
178,38.218402,-78.345961
179,38.217094,-78.345859
180,38.21657,-78.345478
181,38.21437,-78.342674
182,38.212106,-78.338894
183,38.209148,-78.335098
184,38.206983,-78.329648
185,38.205314,-78.327022
186,38.204471,-78.323975
187,38.203116,-78.32128
188,38.199867,-78.316895
