,Latitude,Longitude
0,40.75277,-84.80246
1,40.75224,-84.80173
2,40.7518,-84.80107
3,40.75127,-84.80019
4,40.74799,-84.79436
5,40.74858,-84.79043
6,40.7458,-84.78968
7,40.74376,-84.78583
8,40.74266,-84.78372
9,40.74196,-84.78228
10,40.74087,-84.78022
11,40.73878,-84.77615
12,40.73844,-84.77543
13,40.73835,-84.77521
14,40.73821,-84.77481
15,40.73807,-84.77433
16,40.7354,-84.76339
17,40.73522,-84.76267
18,40.73499,-84.76197
19,40.73369,-84.75828
20,40.73103,-84.75056
21,40.72864,-84.74376
22,40.7282,-84.74259
23,40.72744,-84.74069
24,40.72705,-84.73959
25,40.72673,-84.73862
26,40.72579,-84.73549
27,40.72539,-84.73422
28,40.72433,-84.73128
29,40.72303,-84.72726
30,40.72144,-84.72291
31,40.7208,-84.7212
32,40.71976,-84.71821
33,40.71891,-84.71588
34,40.71723,-84.71146
35,40.71557,-84.70674
36,40.71484,-84.70456
37,40.71419,-84.70252
38,40.71298,-84.69889
39,40.71153,-84.6943
40,40.70979,-84.68925
41,40.70912,-84.68722
42,40.70454,-84.67375
43,40.7014,-84.6646
44,40.70116,-84.66389
45,40.69993,-84.66037
46,40.69943,-84.6591
47,40.6986,-84.65726
48,40.69526,-84.65051
49,40.69501,-84.64995
50,40.6948,-84.64929
51,40.69476,-84.6491
52,40.69433,-84.64641
53,40.68862,-84.64637
54,40.68686,-84.64641
55,40.6869,-84.64361
56,40.68688,-84.64273
57,40.68684,-84.64188
58,40.68676,-84.6411
59,40.68663,-84.64021
60,40.68646,-84.63938
61,40.68618,-84.63833
62,40.68583,-84.63727
63,40.6855,-84.63642
64,40.68194,-84.62812
65,40.68008,-84.62411
66,40.67981,-84.62357
67,40.67937,-84.62288
68,40.67325,-84.61405
69,40.67105,-84.6109
70,40.67055,-84.61023
71,40.67006,-84.60965
72,40.66935,-84.60893
73,40.66814,-84.60779
74,40.66764,-84.60727
75,40.66717,-84.60676
