,Latitude,Longitude
0,40.06843,-105.28309
1,40.07305,-105.28451
2,40.07408,-105.28468
3,40.0753,-105.28434
4,40.07892,-105.28251
5,40.08043,-105.28215
6,40.0971,-105.28213
7,40.10038,-105.28197
8,40.10538,-105.28217
9,40.1096,-105.28181
10,40.11342,-105.28228
11,40.14827,-105.28224
12,40.14944,-105.28212
13,40.15048,-105.28172
14,40.15159,-105.28091
15,40.15752,-105.27476
16,40.15932,-105.27229
17,40.1599,-105.27171
18,40.16082,-105.27111
19,40.16319,-105.27036
20,40.16413,-105.2699
21,40.16492,-105.26922
22,40.16637,-105.26753
23,40.16977,-105.26488
24,40.1728,-105.26209
25,40.17435,-105.26049
26,40.17759,-105.25569
27,40.17843,-105.25479
28,40.17931,-105.25418
29,40.18377,-105.25264
30,40.18656,-105.25256
31,40.18976,-105.25136
32,40.19268,-105.25122
33,40.19426,-105.25092
34,40.19935,-105.24913
35,40.21222,-105.24905
