,Latitude,Longitude
0,39.74884,-94.8606
1,39.74813,-94.85706
2,39.74805,-94.8563
3,39.74806,-94.8559
4,39.74813,-94.85551
5,39.74822,-94.85513
6,39.74858,-94.85403
7,39.74873,-94.8531
8,39.74911,-94.84901
9,39.74921,-94.84761
10,39.7492,-94.84721
11,39.74908,-94.84656
12,39.74882,-94.84596
13,39.74855,-94.84559
14,39.74759,-94.84464
15,39.74738,-94.84431
16,39.74717,-94.84372
17,39.74707,-94.84318
18,39.74701,-94.84249
19,39.74697,-94.83975
20,39.74655,-94.83755
21,39.74643,-94.83581
22,39.74644,-94.83401
23,39.74656,-94.82985
24,39.74672,-94.82888
25,39.74717,-94.82737
26,39.74742,-94.82619
27,39.7476,-94.82451
28,39.74767,-94.82266
29,39.74752,-94.80886
30,39.74747,-94.80815
31,39.74721,-94.8061
32,39.74709,-94.80481
33,39.7467,-94.79824
34,39.74668,-94.79745
35,39.74675,-94.79663
36,39.74684,-94.79607
37,39.74711,-94.79503
38,39.74925,-94.78971
39,39.7499,-94.78786
40,39.75046,-94.786
41,39.75089,-94.7842
42,39.7512,-94.78254
43,39.75143,-94.78055
44,39.75149,-94.77885
45,39.75146,-94.77774
46,39.75138,-94.7767
47,39.75108,-94.77459
48,39.74847,-94.76382
49,39.74818,-94.76194
50,39.74802,-94.75982
51,39.74693,-94.60836
52,39.74698,-94.60747
53,39.74711,-94.60646
54,39.74733,-94.6054
55,39.74758,-94.60456
56,39.76018,-94.57049
57,39.76041,-94.56978
58,39.76068,-94.56869
59,39.76083,-94.5678
60,39.76092,-94.56681
61,39.76194,-94.52954
62,39.76202,-94.52506
63,39.76195,-94.46305
64,39.76171,-94.43793
65,39.76143,-94.39381
66,39.76154,-94.35458
67,39.76147,-94.3533
68,39.76127,-94.35205
69,39.7609,-94.35071
70,39.76046,-94.34957
71,39.75969,-94.34817
72,39.75617,-94.34235
73,39.75569,-94.34138
74,39.75537,-94.34062
75,39.75499,-94.33949
76,39.75471,-94.3384
77,39.75449,-94.33704
78,39.75438,-94.33573
79,39.75436,-94.33043
80,39.7545,-94.32814
81,39.75476,-94.31468
82,39.75477,-94.31269
83,39.75474,-94.31162
84,39.7546,-94.30961
85,39.75451,-94.29901
86,39.75382,-94.26901
87,39.75392,-94.26702
88,39.75376,-94.25912
89,39.7538,-94.25698
90,39.7544,-94.23866
91,39.7544,-94.23669
92,39.75212,-94.18743
93,39.75199,-94.18414
94,39.74907,-94.06443
95,39.7489,-94.05739
96,39.7488,-94.05568
97,39.74866,-94.05452
98,39.74847,-94.05331
99,39.74805,-94.0515
100,39.74743,-94.04953
101,39.74681,-94.04798
102,39.74631,-94.04696
103,39.73601,-94.02781
104,39.73539,-94.02657
105,39.73507,-94.02582
106,39.73427,-94.02361
107,39.73381,-94.02185
108,39.73341,-94.0196
109,39.73325,-94.01818
110,39.73319,-94.01703
111,39.73319,-94.01445
112,39.73356,-93.9909
113,39.73531,-93.93132
114,39.73538,-93.92773
115,39.7351,-93.84975
116,39.73476,-93.77072
117,39.73478,-93.76774
118,39.73839,-93.68812
119,39.73941,-93.6587
120,39.74005,-93.64288
121,39.74002,-93.64195
122,39.73993,-93.64107
123,39.7398,-93.64029
124,39.73956,-93.63933
125,39.73935,-93.63864
126,39.73901,-93.63781
127,39.73765,-93.63529
128,39.73728,-93.63442
129,39.73701,-93.63366
130,39.73677,-93.63281
131,39.73663,-93.63209
132,39.7365,-93.63118
133,39.73643,-93.62993
134,39.73648,-93.62872
135,39.73663,-93.62758
136,39.73694,-93.62627
137,39.73723,-93.6254
138,39.73763,-93.62446
139,39.73802,-93.62373
140,39.73852,-93.62294
141,39.73925,-93.62204
142,39.74025,-93.62106
143,39.74105,-93.62038
144,39.7418,-93.61983
145,39.75102,-93.61429
146,39.75228,-93.61343
147,39.75342,-93.61252
148,39.75451,-93.6115
149,39.75548,-93.61044
150,39.75621,-93.60954
151,39.77138,-93.58848
152,39.77213,-93.58713
153,39.77248,-93.58633
154,39.77269,-93.58571
155,39.77308,-93.5843
156,39.77331,-93.58272
157,39.77397,-93.56577
158,39.77395,-93.56493
159,39.77314,-93.55632
160,39.77305,-93.55479
161,39.77326,-93.53868
162,39.77339,-93.53731
163,39.77351,-93.53661
164,39.77505,-93.53006
165,39.77521,-93.52906
166,39.7753,-93.52804
167,39.77534,-93.52023
168,39.7762,-93.47816
169,39.7763,-93.46202
170,39.77675,-93.43951
171,39.77674,-93.43719
172,39.77659,-93.43241
173,39.77658,-93.43072
174,39.77692,-93.41194
175,39.77708,-93.39678
176,39.77711,-93.36405
177,39.77726,-93.36127
