,Latitude,Longitude
0,37.33967,-77.9951
1,37.33948,-77.99505
2,37.33936,-77.99496
3,37.33931,-77.9949
4,37.33927,-77.99484
5,37.33925,-77.99475
6,37.33925,-77.99469
7,37.33926,-77.99462
8,37.33928,-77.99455
9,37.33933,-77.99445
10,37.33945,-77.99413
11,37.33956,-77.9938
12,37.3396,-77.9936
13,37.33964,-77.9934
14,37.33967,-77.99315
15,37.33968,-77.99305
16,37.33967,-77.99283
17,37.33966,-77.9926
18,37.33963,-77.9924
19,37.33962,-77.9923
20,37.33953,-77.99193
21,37.33942,-77.99157
22,37.3393,-77.99119
23,37.33929,-77.99115
24,37.33919,-77.9908
25,37.33916,-77.99068
26,37.33913,-77.99048
27,37.33911,-77.99035
28,37.3391,-77.99015
29,37.33911,-77.98999
30,37.33912,-77.9898
31,37.33915,-77.98965
32,37.33921,-77.98943
33,37.33932,-77.98911
34,37.33947,-77.98876
35,37.34007,-77.98721
36,37.34022,-77.98683
37,37.34056,-77.98603
38,37.34079,-77.9855
39,37.3411,-77.98497
40,37.34133,-77.98457
41,37.34187,-77.98368
42,37.34189,-77.98364
43,37.342,-77.98345
44,37.34207,-77.98332
45,37.34241,-77.98265
46,37.34268,-77.98205
47,37.34301,-77.98133
48,37.34315,-77.98103
49,37.34336,-77.9806
50,37.34348,-77.98038
51,37.34366,-77.9801
52,37.344,-77.97961
53,37.34408,-77.97949
54,37.34421,-77.97932
55,37.34442,-77.97907
56,37.3447,-77.97869
57,37.34548,-77.97767
58,37.34605,-77.97692
59,37.34609,-77.97687
60,37.34659,-77.97622
61,37.34703,-77.97566
62,37.34716,-77.97551
63,37.34738,-77.97529
64,37.34764,-77.97505
65,37.3482,-77.97455
66,37.34916,-77.97371
67,37.34973,-77.97321
68,37.35019,-77.97279
69,37.35108,-77.97202
70,37.35137,-77.97177
71,37.35158,-77.97163
72,37.3527,-77.97081
73,37.3535,-77.97025
74,37.35413,-77.9698
75,37.3549,-77.96925
76,37.35518,-77.96905
77,37.35525,-77.969
78,37.35558,-77.96876
79,37.35616,-77.96833
80,37.35676,-77.96789
81,37.35695,-77.96775
82,37.35714,-77.96761
83,37.35743,-77.96737
84,37.35767,-77.96715
85,37.35804,-77.96676
86,37.35811,-77.96669
87,37.35827,-77.9665
88,37.35841,-77.96629
89,37.35862,-77.96596
90,37.35879,-77.96566
91,37.35892,-77.96539
92,37.35904,-77.96512
93,37.35918,-77.96474
94,37.35927,-77.96447
95,37.35936,-77.9642
96,37.35943,-77.96392
97,37.35997,-77.96157
98,37.35999,-77.96145
99,37.36017,-77.96064
100,37.36024,-77.96033
101,37.36041,-77.9596
102,37.36058,-77.95883
103,37.36072,-77.95819
104,37.36146,-77.95491
105,37.36147,-77.95481
106,37.36147,-77.9547
107,37.36145,-77.9546
108,37.36142,-77.95453
109,37.36137,-77.95444
110,37.36128,-77.95433
111,37.3611,-77.9542
