,Latitude,Longitude
0,30.9257,-94.5969
1,30.9258,-94.5971
2,30.9262,-94.598
3,30.9266,-94.5989
4,30.9267,-94.5994
5,30.9268,-94.5997
6,30.9268,-94.6
7,30.9269,-94.6004
8,30.9269,-94.6006
9,30.9269,-94.6011
10,30.927,-94.6017
11,30.9271,-94.604
12,30.9272,-94.6056
13,30.9272,-94.6057
14,30.9276,-94.6106
15,30.9279,-94.6139
16,30.9281,-94.617
17,30.9282,-94.6179
18,30.929,-94.628
19,30.9291,-94.6285
20,30.9292,-94.6294
21,30.9293,-94.6298
22,30.9294,-94.6305
23,30.9295,-94.631
24,30.9298,-94.632
25,30.93,-94.6327
26,30.9302,-94.6332
27,30.9302,-94.6332
28,30.9316,-94.6369
29,30.932,-94.6381
30,30.9345,-94.6451
31,30.9345,-94.6452
32,30.9378,-94.6541
33,30.9389,-94.657
34,30.9403,-94.6609
35,30.9405,-94.6614
36,30.9419,-94.6653
37,30.9422,-94.6662
38,30.9442,-94.6718
39,30.9461,-94.6768
40,30.9463,-94.6774
41,30.9469,-94.6791
42,30.947,-94.6794
43,30.9566,-94.7056
44,30.9571,-94.707
45,30.9578,-94.7091
46,30.9581,-94.7099
47,30.9593,-94.7132
48,30.9595,-94.7137
49,30.9607,-94.717
50,30.9608,-94.7173
51,30.9645,-94.7274
52,30.9647,-94.7279
53,30.9648,-94.7282
54,30.9651,-94.729
55,30.9651,-94.729
56,30.967,-94.7345
57,30.9672,-94.7348
58,30.9675,-94.7358
59,30.9677,-94.7362
60,30.968,-94.737
61,30.9682,-94.7377
62,30.9684,-94.7382
63,30.9691,-94.7402
64,30.9692,-94.7404
65,30.9696,-94.7415
66,30.9698,-94.7421
67,30.9708,-94.7448
68,30.9712,-94.7459
69,30.9727,-94.7501
70,30.9728,-94.7503
71,30.974,-94.7535
72,30.9744,-94.7549
73,30.9746,-94.7554
74,30.9751,-94.7566
75,30.9752,-94.757
76,30.9752,-94.757
77,30.9753,-94.7574
78,30.9765,-94.7606
79,30.9772,-94.7626
80,30.9773,-94.7627
81,30.9809,-94.7728
82,30.9811,-94.7734
83,30.9834,-94.7796
84,30.9835,-94.7802
85,30.9843,-94.7822
86,30.9843,-94.7823
87,30.9848,-94.7836
88,30.9849,-94.7839
89,30.9853,-94.785
90,30.9856,-94.7858
91,30.9859,-94.7868
92,30.986,-94.787
93,30.9869,-94.7895
94,30.987,-94.7897
95,30.9871,-94.7899
96,30.9878,-94.7918
97,30.9878,-94.7918
98,30.9884,-94.7936
99,30.9885,-94.7937
100,30.989,-94.7952
101,30.9891,-94.7955
102,30.9896,-94.7969
103,30.9902,-94.7986
104,30.9904,-94.799
105,30.9925,-94.8049
106,30.9933,-94.8071
107,30.9944,-94.8101
108,30.9944,-94.8102
109,30.9949,-94.8114
110,30.9963,-94.8154
111,30.9965,-94.816
112,30.9966,-94.8164
113,30.9967,-94.8164
114,30.9967,-94.8168
115,30.9968,-94.8172
116,30.9969,-94.8174
117,30.997,-94.818
118,30.997,-94.8187
119,30.997,-94.8191
120,30.997,-94.8198
121,30.9969,-94.8272
122,30.9969,-94.8277
123,30.9968,-94.8312
124,30.9968,-94.8315
125,30.9967,-94.8323
126,30.9967,-94.8325
127,30.996,-94.8489
128,30.9959,-94.8493
129,30.9959,-94.8497
130,30.9959,-94.8497
131,30.9946,-94.8606
132,30.9945,-94.861
133,30.9943,-94.8623
134,30.9943,-94.8625
135,30.9934,-94.87
136,30.9933,-94.8704
137,30.9915,-94.8856
138,30.9914,-94.8864
139,30.9914,-94.8868
140,30.9915,-94.8871
141,30.9915,-94.8877
142,30.9916,-94.889
143,30.9917,-94.8897
144,30.9917,-94.8899
145,30.9963,-94.9314
146,30.9964,-94.9322
147,30.9971,-94.9389
148,30.9971,-94.939
149,30.9973,-94.9404
150,30.9973,-94.9405
151,30.9976,-94.9431
152,30.9976,-94.9433
153,30.9976,-94.9436
154,30.9977,-94.9441
155,30.9978,-94.9442
156,30.9978,-94.9443
157,30.9978,-94.9444
158,30.9979,-94.9448
159,30.998,-94.9453
160,30.9981,-94.9454
161,30.9982,-94.9456
162,30.9983,-94.9458
163,30.9983,-94.9459
164,30.9985,-94.9463
165,30.9987,-94.9468
166,30.9988,-94.9469
167,30.9988,-94.947
168,30.9989,-94.9471
169,31.0028,-94.9539
170,31.0028,-94.9539
171,31.0057,-94.9588
172,31.0059,-94.9593
173,31.006,-94.9595
174,31.0062,-94.9599
175,31.0063,-94.96
176,31.0063,-94.9602
177,31.0063,-94.9603
178,31.0065,-94.9607
179,31.0066,-94.961
180,31.0066,-94.9611
181,31.0066,-94.9612
182,31.0067,-94.9614
183,31.0068,-94.9617
184,31.0068,-94.9618
185,31.0068,-94.9621
186,31.0069,-94.9622
187,31.0069,-94.9624
188,31.0069,-94.9626
189,31.0069,-94.9628
190,31.007,-94.9631
191,31.007,-94.9636
192,31.007,-94.9641
193,31.007,-94.9644
194,31.007,-94.9647
195,31.0069,-94.9655
196,31.0069,-94.9655
197,31.0061,-94.976
198,31.0059,-94.9781
199,31.005,-94.99
200,31.005,-94.9905
201,31.005,-94.9907
202,31.005,-94.991
203,31.005,-94.9917
204,31.005,-94.992
205,31.005,-94.9923
206,31.0051,-94.9929
207,31.0051,-94.9932
208,31.0052,-94.9933
209,31.0052,-94.9935
210,31.0052,-94.9937
211,31.0053,-94.9939
212,31.0053,-94.9941
213,31.0053,-94.9941
214,31.0061,-94.997
215,31.0062,-94.9975
216,31.0121,-95.0199
217,31.0124,-95.0208
218,31.0126,-95.0214
219,31.0127,-95.0217
220,31.013,-95.0223
221,31.0132,-95.0227
222,31.0134,-95.0231
223,31.0135,-95.0232
224,31.0136,-95.0233
225,31.0138,-95.0236
226,31.0139,-95.0237
227,31.014,-95.0239
228,31.0141,-95.024
229,31.0145,-95.0245
230,31.0148,-95.0248
231,31.0149,-95.0249
232,31.0151,-95.025
233,31.0152,-95.0251
234,31.0157,-95.0254
235,31.0163,-95.0258
236,31.0164,-95.026
237,31.0172,-95.0264
238,31.0185,-95.0272
239,31.0187,-95.0273
240,31.0188,-95.0274
241,31.0189,-95.0275
242,31.019,-95.0275
243,31.019,-95.0276
244,31.0192,-95.0277
245,31.0193,-95.0277
246,31.0194,-95.0279
247,31.0194,-95.0279
248,31.0196,-95.028
249,31.0196,-95.0281
250,31.0197,-95.0282
251,31.0199,-95.0283
252,31.0199,-95.0284
253,31.02,-95.0285
254,31.0201,-95.0286
255,31.0201,-95.0286
256,31.0202,-95.0288
257,31.0202,-95.0288
258,31.0203,-95.029
259,31.0204,-95.0291
260,31.0205,-95.0293
261,31.0207,-95.0295
262,31.0208,-95.0298
263,31.0209,-95.03
264,31.0209,-95.0301
265,31.0211,-95.0305
266,31.0257,-95.0434
267,31.0261,-95.0446
268,31.0262,-95.0448
269,31.0293,-95.0536
270,31.0301,-95.0558
271,31.0315,-95.0598
272,31.0318,-95.0607
273,31.0321,-95.0616
274,31.0326,-95.0628
275,31.0328,-95.0635
276,31.0334,-95.065
277,31.0334,-95.0651
278,31.0335,-95.0655
279,31.0336,-95.0657
280,31.0341,-95.0669
281,31.0342,-95.0674
282,31.0347,-95.0688
283,31.0348,-95.0691
284,31.0349,-95.0694
285,31.0351,-95.07
286,31.0371,-95.0756
287,31.0372,-95.0759
288,31.0375,-95.0766
289,31.0376,-95.0768
290,31.0376,-95.077
