,Latitude,Longitude
0,33.87344,-96.83383
1,33.87654,-96.83407
2,33.87721,-96.83411
3,33.87817,-96.83419
4,33.87823,-96.8342
5,33.87871,-96.83423
6,33.87999,-96.83433
7,33.88004,-96.83434
8,33.88017,-96.83434
9,33.8802,-96.83435
10,33.8816,-96.83446
11,33.88214,-96.83449
12,33.88321,-96.83458
13,33.88356,-96.8346
14,33.88383,-96.83463
15,33.88519,-96.83473
16,33.88519,-96.83474
17,33.88639,-96.83483
18,33.88646,-96.83483
19,33.88649,-96.83484
20,33.88774,-96.83492
21,33.88792,-96.83494
22,33.88795,-96.83494
23,33.89002,-96.8351
24,33.89021,-96.83512
25,33.89039,-96.83513
26,33.89054,-96.83515
27,33.89195,-96.83526
28,33.89201,-96.83526
29,33.89265,-96.83532
30,33.8958,-96.83557
31,33.89609,-96.8356
32,33.89667,-96.83564
33,33.89722,-96.83569
34,33.89729,-96.83569
35,33.89967,-96.83587
36,33.90021,-96.83592
37,33.90105,-96.83598
38,33.90593,-96.83638
39,33.90598,-96.83638
40,33.90894,-96.83662
41,33.90908,-96.83664
42,33.91121,-96.83681
43,33.91151,-96.83684
44,33.91205,-96.83688
45,33.91224,-96.83688
46,33.91269,-96.8369
47,33.9128,-96.8369
48,33.913,-96.83691
49,33.91373,-96.83691
50,33.91398,-96.8369
51,33.91422,-96.8369
52,33.91509,-96.83686
53,33.91537,-96.83684
54,33.91546,-96.83684
55,33.91662,-96.83672
56,33.91746,-96.8366
57,33.91857,-96.83641
58,33.91877,-96.83636
59,33.91945,-96.83621
60,33.92044,-96.83595
61,33.92119,-96.83572
62,33.92164,-96.83557
63,33.92658,-96.83383
64,33.92729,-96.83359
65,33.92795,-96.83335
66,33.92826,-96.83325
67,33.93832,-96.82969
68,33.93843,-96.82966
69,33.94023,-96.82903
70,33.94299,-96.82803
71,33.95651,-96.82328
72,33.95696,-96.82313
73,33.95843,-96.82259
74,33.95896,-96.82238
75,33.95922,-96.82226
76,33.95957,-96.82211
77,33.96014,-96.82185
78,33.96104,-96.8214
79,33.96123,-96.82129
80,33.96128,-96.82127
81,33.96136,-96.82122
82,33.96181,-96.82098
83,33.96202,-96.82086
84,33.96215,-96.82078
85,33.9624,-96.82064
86,33.96289,-96.82034
87,33.96301,-96.82026
88,33.96312,-96.8202
89,33.96433,-96.81939
90,33.96538,-96.81863
91,33.96577,-96.81832
92,33.9658,-96.8183
93,33.9664,-96.8178
94,33.9673,-96.81698
95,33.96753,-96.81676
96,33.96785,-96.81647
97,33.96857,-96.81579
98,33.96917,-96.81526
99,33.96922,-96.81521
100,33.97085,-96.8137
101,33.97109,-96.81349
102,33.97436,-96.81044
103,33.97466,-96.81015
104,33.9748,-96.81003
105,33.97968,-96.80549
106,33.97977,-96.8054
107,33.97985,-96.80531
108,33.98378,-96.80167
109,33.98451,-96.80103
110,33.98466,-96.80091
111,33.9849,-96.8007
112,33.98503,-96.80061
113,33.98524,-96.80044
114,33.98618,-96.79977
115,33.98647,-96.79958
116,33.98673,-96.7994
117,33.9872,-96.79911
118,33.98728,-96.79905
119,33.98786,-96.79871
120,33.98898,-96.79812
121,33.98955,-96.79785
122,33.99059,-96.7974
123,33.99138,-96.7971
124,33.99185,-96.79695
125,33.99187,-96.79694
126,33.99276,-96.79666
127,33.99361,-96.79644
128,33.99431,-96.79629
129,33.99539,-96.79612
130,33.9955,-96.79608
131,33.99632,-96.79598
132,33.99702,-96.79593
133,33.99742,-96.79589
134,33.99789,-96.79589
135,33.99833,-96.79591
136,33.99861,-96.79591
137,33.99898,-96.7959
138,33.99976,-96.7959
139,33.99998,-96.79591
140,34.00083,-96.79593
141,34.00117,-96.79593
142,34.00123,-96.79596
143,34.01222,-96.79598
144,34.0127,-96.79597
145,34.01397,-96.79598
146,34.0142,-96.79599
147,34.01434,-96.79599
148,34.01448,-96.79598
149,34.01684,-96.79597
150,34.01717,-96.79596
151,34.01729,-96.79597
152,34.01737,-96.79597
153,34.01746,-96.79598
154,34.01822,-96.79598
155,34.01828,-96.79597
156,34.01891,-96.79598
157,34.02578,-96.79599
158,34.02596,-96.79598
159,34.026,-96.79599
160,34.0313,-96.79598
161,34.03186,-96.79599
162,34.03487,-96.796
163,34.03512,-96.79599
164,34.03555,-96.79599
165,34.03596,-96.79598
166,34.03666,-96.79598
167,34.03724,-96.79599
168,34.03935,-96.79599
169,34.0407,-96.79601
170,34.04232,-96.796
171,34.04411,-96.79601
172,34.04555,-96.79599
173,34.06651,-96.79605
174,34.06742,-96.79602
175,34.0676,-96.79602
176,34.06775,-96.796
177,34.0679,-96.796
178,34.06898,-96.79597
179,34.06953,-96.79597
180,34.06962,-96.79595
181,34.06975,-96.79593
182,34.06991,-96.79588
183,34.07003,-96.79583
184,34.07023,-96.7957
185,34.07027,-96.79567
186,34.07037,-96.79558
187,34.07052,-96.79541
188,34.0706,-96.79531
189,34.07067,-96.7952
190,34.07074,-96.79507
191,34.07078,-96.79498
192,34.07086,-96.79476
193,34.07107,-96.79408
194,34.07112,-96.79386
195,34.07122,-96.79348
196,34.07131,-96.79318
197,34.07151,-96.7926
198,34.0716,-96.7924
199,34.07173,-96.79209
200,34.07185,-96.79183
