,Latitude,Longitude
0,41.39019,-73.5426
1,41.39293,-73.53289
2,41.39331,-73.5289
3,41.39309,-73.52729
4,41.39185,-73.523
5,41.39178,-73.52171
6,41.39191,-73.52083
7,41.39421,-73.51551
8,41.39446,-73.5136
9,41.39423,-73.51189
10,41.39346,-73.50953
11,41.39006,-73.50208
12,41.38911,-73.49815
13,41.38705,-73.49279
14,41.38667,-73.49144
15,41.3866,-73.48994
16,41.38673,-73.48869
17,41.38655,-73.48755
18,41.38481,-73.48408
19,41.38462,-73.48326
20,41.3846,-73.4821
21,41.38486,-73.48045
22,41.3853,-73.47957
23,41.3872,-73.47807
24,41.38794,-73.47691
25,41.38825,-73.47607
26,41.38877,-73.47612
27,41.39314,-73.47817
28,41.3953,-73.478
29,41.3981,-73.47564
30,41.39925,-73.47384
31,41.40012,-73.47195
32,41.40209,-73.46543
33,41.40283,-73.46388
34,41.40334,-73.46298
35,41.40753,-73.45848
36,41.40981,-73.45556
37,41.41142,-73.45212
38,41.41239,-73.44903
39,41.4141,-73.43994
40,41.41722,-73.42848
41,41.41789,-73.42359
42,41.41754,-73.42062
43,41.41451,-73.415
44,41.41299,-73.4119
45,41.41276,-73.41096
46,41.41277,-73.40999
47,41.41326,-73.40854
48,41.41363,-73.4076
49,41.41548,-73.4046
50,41.41636,-73.40226
51,41.41689,-73.40009
52,41.41687,-73.39436
53,41.41372,-73.37676
54,41.41356,-73.37436
55,41.4161,-73.36578
56,41.41626,-73.36389
57,41.41613,-73.35917
58,41.41645,-73.35788
59,41.42022,-73.35213
60,41.42067,-73.35063
61,41.41987,-73.34681
62,41.41822,-73.33033
63,41.41668,-73.32479
64,41.41517,-73.32213
65,41.41513,-73.32093
66,41.41552,-73.31879
67,41.41716,-73.31595
68,41.41739,-73.31484
69,41.41729,-73.31359
70,41.41755,-73.31222
71,41.41713,-73.31136
72,41.41349,-73.3087
73,41.41407,-73.30694
74,41.41401,-73.30359
75,41.41501,-73.30025
76,41.41633,-73.29814
77,41.41742,-73.2951
78,41.41744,-73.29167
79,41.41369,-73.27049
80,41.41439,-73.26731
81,41.41652,-73.26405
82,41.43184,-73.2486
83,41.43428,-73.24697
84,41.43653,-73.24663
85,41.44265,-73.24963
86,41.44561,-73.24989
87,41.44831,-73.2492
88,41.44998,-73.24843
89,41.45146,-73.24714
90,41.45243,-73.24568
91,41.45519,-73.23796
92,41.45648,-73.23598
93,41.45957,-73.23289
94,41.46086,-73.23118
95,41.46568,-73.22225
96,41.46703,-73.22071
97,41.47192,-73.21736
98,41.47722,-73.21216
99,41.47947,-73.2135
100,41.4861,-73.21259
101,41.48899,-73.21315
102,41.49317,-73.21294
103,41.49847,-73.21337
104,41.50156,-73.21229
105,41.50403,-73.21101
106,41.50767,-73.20809
107,41.51101,-73.20453
108,41.512,-73.20427
109,41.51519,-73.20453
110,41.52267,-73.20221
111,41.52977,-73.20444
112,41.53607,-73.20697
113,41.53848,-73.20723
114,41.54336,-73.20882
115,41.54529,-73.20856
116,41.55383,-73.20285
117,41.55621,-73.20002
118,41.55817,-73.19886
119,41.55881,-73.19749
120,41.55926,-73.19719
121,41.56289,-73.19277
122,41.5653,-73.19122
123,41.56697,-73.19101
124,41.5732,-73.18938
125,41.57423,-73.18783
126,41.57469,-73.18624
127,41.57424,-73.18396
128,41.57432,-73.18344
129,41.57567,-73.17922
130,41.57728,-73.17552
131,41.57778,-73.17521
132,41.57879,-73.17532
133,41.58192,-73.17464
134,41.58903,-73.17105
135,41.59343,-73.17041
136,41.59468,-73.16972
137,41.59574,-73.16852
138,41.59747,-73.165
139,41.59821,-73.1626
140,41.59969,-73.16019
141,41.60068,-73.15801
142,41.60033,-73.15552
143,41.59978,-73.15436
144,41.59828,-73.15243
145,41.59815,-73.15097
146,41.5993,-73.14775
147,41.60028,-73.14637
148,41.60047,-73.14362
149,41.60182,-73.14105
150,41.60201,-73.13929
151,41.60188,-73.13504
152,41.60233,-73.13414
153,41.60384,-73.13212
154,41.60445,-73.13023
155,41.60275,-73.12319
156,41.60288,-73.12242
157,41.60426,-73.11989
158,41.61029,-73.11538
159,41.61254,-73.11225
160,41.61571,-73.11092
161,41.61876,-73.11028
162,41.62197,-73.10762
163,41.62521,-73.10375
164,41.62652,-73.10298
165,41.62845,-73.10255
166,41.62906,-73.10221
167,41.63211,-73.10174
168,41.63342,-73.10084
169,41.63666,-73.09594
170,41.63797,-73.09496
171,41.64112,-73.09393
172,41.64468,-73.09376
173,41.65013,-73.09599
174,41.6517,-73.09607
175,41.65295,-73.09547
176,41.65366,-73.09466
177,41.65613,-73.09105
178,41.65714,-73.08815
179,41.65722,-73.07896
180,41.65758,-73.07821
181,41.65812,-73.0781
182,41.6591,-73.07833
183,41.65988,-73.07828
184,41.66093,-73.07788
185,41.66697,-73.07396
186,41.67,-73.06868
187,41.67082,-73.06772
188,41.67277,-73.06622
189,41.67361,-73.06519
190,41.67434,-73.06476
191,41.67436,-73.06392
192,41.67388,-73.06161
193,41.67179,-73.05775
194,41.67159,-73.05603
195,41.67201,-73.05238
196,41.67144,-73.04915
197,41.67163,-73.04801
198,41.67336,-73.04509
199,41.67405,-73.04301
200,41.67506,-73.03638
201,41.67536,-73.03546
202,41.67698,-73.03256
203,41.67741,-73.03099
204,41.67748,-73.02923
205,41.67873,-73.02473
206,41.67884,-73.02312
207,41.6803,-73.01782
208,41.68036,-73.01717
209,41.68003,-73.01571
210,41.67838,-73.01084
211,41.67847,-73.00391
212,41.67913,-73.00063
213,41.67963,-72.99346
214,41.68017,-72.99016
215,41.68043,-72.9873
216,41.68022,-72.98587
217,41.68163,-72.97668
218,41.68166,-72.97231
219,41.68083,-72.96941
220,41.68049,-72.96726
221,41.68096,-72.96271
222,41.68068,-72.96025
223,41.68187,-72.95085
224,41.68131,-72.94714
225,41.68121,-72.94413
226,41.68158,-72.94321
227,41.6869,-72.93628
228,41.68722,-72.93555
229,41.68772,-72.93315
230,41.68966,-72.92733
231,41.69096,-72.92177
