,Latitude,Longitude
0,40.58189,-102.05152
1,40.53968,-101.97692
2,40.53841,-101.97396
3,40.53749,-101.96954
4,40.5371,-101.9667
5,40.53743,-101.94121
6,40.53772,-101.93332
7,40.53792,-101.91851
8,40.53763,-101.88203
9,40.53756,-101.64699
10,40.53684,-101.64514
11,40.5356,-101.64381
12,40.5342,-101.64321
13,40.51285,-101.64302
14,40.49481,-101.59759
15,40.49438,-101.59605
16,40.49415,-101.59317
17,40.49534,-101.54283
18,40.49502,-101.54056
19,40.49433,-101.53828
20,40.49355,-101.53678
21,40.4923,-101.53528
22,40.49077,-101.53421
23,40.48924,-101.53369
24,40.45662,-101.53358
25,40.45365,-101.53277
26,40.44683,-101.52708
27,40.44565,-101.52652
28,40.44135,-101.52534
29,40.43992,-101.52464
30,40.43882,-101.5238
31,40.43082,-101.51496
32,40.42968,-101.51281
33,40.42883,-101.51065
34,40.42135,-101.48099
35,40.4205,-101.47683
36,40.42009,-101.47398
37,40.41382,-101.38662
38,40.41173,-101.37031
39,40.41173,-101.35366
40,40.41114,-101.34843
41,40.40937,-101.33873
42,40.37944,-101.22955
43,40.37832,-101.21565
44,40.36943,-101.17204
45,40.36708,-101.16552
46,40.35583,-101.13754
47,40.35106,-101.12106
48,40.33437,-101.07754
49,40.32705,-101.06484
50,40.32554,-101.06167
51,40.32364,-101.0548
52,40.32214,-101.05162
53,40.30178,-101.03051
54,40.30015,-101.02708
55,40.28241,-100.9785
56,40.27907,-100.96845
57,40.2661,-100.93369
58,40.26387,-100.93
59,40.25359,-100.91429
60,40.23669,-100.8955
61,40.23439,-100.89473
62,40.23433,-100.83876
63,40.23452,-100.83439
64,40.23479,-100.80984
65,40.23426,-100.80538
66,40.20929,-100.71783
67,40.20189,-100.69362
68,40.20103,-100.6901
69,40.19848,-100.66959
70,40.20051,-100.64908
71,40.199,-100.64213
72,40.1988,-100.63921
73,40.19808,-100.60445
74,40.19887,-100.58419
75,40.19933,-100.58067
76,40.20038,-100.57672
77,40.2091,-100.55183
78,40.21526,-100.53758
79,40.23354,-100.51063
80,40.23466,-100.50823
81,40.23525,-100.50402
82,40.23538,-100.4569
83,40.23433,-100.43759
84,40.23439,-100.4121
85,40.24042,-100.38772
86,40.24127,-100.38197
87,40.24612,-100.33022
88,40.25032,-100.31855
89,40.25097,-100.31331
90,40.25104,-100.29735
91,40.26984,-100.22654
92,40.27685,-100.19384
93,40.27829,-100.18397
94,40.27874,-100.18199
95,40.28143,-100.1771
96,40.28208,-100.17392
97,40.28222,-100.16079
98,40.28536,-100.14843
99,40.28706,-100.11976
100,40.29557,-100.08243
101,40.30663,-100.05007
102,40.30735,-100.04595
103,40.30683,-100.00372
104,40.30637,-99.99068
105,40.30709,-99.9681
106,40.30644,-99.94999
107,40.30742,-99.93025
108,40.30624,-99.91171
109,40.30631,-99.89772
110,40.30559,-99.87386
111,40.30696,-99.85094
112,40.30722,-99.82107
113,40.30729,-99.74983
114,40.3067,-99.72228
115,40.30768,-99.64358
116,40.30657,-99.61019
117,40.30716,-99.54487
118,40.30775,-99.54058
119,40.30991,-99.53621
120,40.31239,-99.53346
121,40.31855,-99.53174
122,40.33353,-99.52874
123,40.33765,-99.52694
124,40.34341,-99.5235
125,40.34753,-99.51973
126,40.35087,-99.51526
127,40.35427,-99.50943
128,40.35682,-99.50342
129,40.36271,-99.47896
130,40.36461,-99.47552
131,40.43279,-99.39742
132,40.43599,-99.39407
133,40.43788,-99.38918
134,40.43808,-99.36206
135,40.45611,-99.28086
136,40.4612,-99.24748
137,40.46303,-99.2328
138,40.47609,-99.14053
139,40.47844,-99.12715
140,40.47949,-99.11727
141,40.50135,-98.96046
142,40.50285,-98.9566
143,40.50305,-98.95025
144,40.50794,-98.93137
145,40.56378,-98.80099
146,40.56619,-98.79807
147,40.56743,-98.79481
148,40.56789,-98.79095
149,40.56776,-98.52864
150,40.568,-98.37767
151,40.56836,-98.37608
152,40.56886,-98.3749
153,40.56974,-98.37409
154,40.57094,-98.37387
155,40.58069,-98.37401
156,40.58189,-98.37315
157,40.58258,-98.37135
158,40.58264,-97.90205
159,40.58369,-97.89848
160,40.58946,-97.88926
161,40.59167,-97.88462
162,40.5935,-97.87943
163,40.59697,-97.86634
164,40.59715,-97.85733
165,40.59744,-97.856
166,40.59809,-97.8548
167,40.59894,-97.85402
168,40.59998,-97.85364
169,40.60897,-97.85377
170,40.61041,-97.85329
171,40.615,-97.84973
172,40.61682,-97.84776
173,40.61823,-97.84578
174,40.61933,-97.84381
175,40.62099,-97.83904
