,Latitude,Longitude
0,29.68066,-103.1668
1,29.68092,-103.16665
2,29.68131,-103.16646
3,29.68165,-103.16631
4,29.68195,-103.1662
5,29.68231,-103.16609
6,29.6826,-103.16602
7,29.68322,-103.16589
8,29.69276,-103.16403
9,29.69423,-103.16373
10,29.69911,-103.16279
11,29.69967,-103.16267
12,29.7184,-103.15899
13,29.72069,-103.15856
14,29.72122,-103.15845
15,29.72647,-103.15743
16,29.72744,-103.15723
17,29.72809,-103.15711
18,29.72842,-103.15706
19,29.72858,-103.15705
20,29.72886,-103.15705
21,29.72915,-103.15706
22,29.72965,-103.15714
23,29.72987,-103.1572
24,29.73016,-103.1573
25,29.73043,-103.15741
26,29.73632,-103.15997
27,29.73666,-103.16009
28,29.73694,-103.16018
29,29.73736,-103.16029
30,29.73765,-103.16035
31,29.7379,-103.16039
32,29.73972,-103.1606
33,29.7428,-103.16098
34,29.74325,-103.16101
35,29.74388,-103.16101
36,29.74429,-103.16097
37,29.74445,-103.16095
38,29.74484,-103.16089
39,29.75355,-103.15869
40,29.754,-103.15863
41,29.75423,-103.15862
42,29.75442,-103.15863
43,29.75481,-103.15867
44,29.75482,-103.15867
45,29.75525,-103.15875
46,29.75564,-103.15887
47,29.75592,-103.15899
48,29.75637,-103.15922
49,29.76331,-103.16307
50,29.7635,-103.16318
51,29.76351,-103.16318
52,29.7741,-103.16905
53,29.77611,-103.17011
54,29.77703,-103.17058
55,29.77752,-103.17084
56,29.77776,-103.17096
57,29.77822,-103.17121
58,29.77865,-103.17147
59,29.77882,-103.1716
60,29.77898,-103.17171
61,29.77928,-103.17194
62,29.7796,-103.17222
63,29.78988,-103.18214
64,29.79041,-103.18265
65,29.79067,-103.18287
66,29.79091,-103.18307
67,29.79174,-103.18373
68,29.79255,-103.18434
69,29.7979,-103.18839
70,29.79847,-103.18881
71,29.8014,-103.19104
72,29.80315,-103.19235
73,29.80462,-103.19347
74,29.80689,-103.19523
75,29.80798,-103.19605
76,29.81242,-103.19947
77,29.81316,-103.20002
78,29.82149,-103.20601
79,29.82175,-103.20622
80,29.82191,-103.20636
81,29.8221,-103.20654
82,29.82237,-103.20682
83,29.82258,-103.20706
84,29.82282,-103.20736
85,29.83137,-103.21941
86,29.83151,-103.21958
87,29.83167,-103.21974
88,29.83653,-103.22503
89,29.83769,-103.22632
90,29.84837,-103.23793
91,29.84856,-103.23816
92,29.84879,-103.23842
93,29.85504,-103.24638
94,29.85518,-103.24655
95,29.85535,-103.24672
96,29.85547,-103.24683
97,29.85564,-103.24696
98,29.85574,-103.24703
99,29.85593,-103.24715
100,29.856,-103.24719
101,29.85614,-103.24726
102,29.85637,-103.24736
103,29.85658,-103.24742
104,29.85695,-103.2475
105,29.86038,-103.24812
106,29.86116,-103.24829
107,29.86137,-103.24833
108,29.8617,-103.24841
109,29.86397,-103.24891
110,29.8643,-103.24899
111,29.86517,-103.24918
112,29.86538,-103.24924
113,29.86549,-103.24928
114,29.86558,-103.2493
115,29.86589,-103.24942
116,29.86598,-103.24946
117,29.86605,-103.2495
118,29.86612,-103.24953
119,29.86618,-103.24956
120,29.86623,-103.24959
121,29.8663,-103.24962
122,29.86637,-103.24967
123,29.86645,-103.24971
124,29.86689,-103.24996
125,29.86699,-103.25001
126,29.8674,-103.25025
127,29.8675,-103.2503
128,29.86761,-103.25035
129,29.86781,-103.25045
130,29.86792,-103.2505
131,29.86813,-103.25058
132,29.86833,-103.25067
133,29.86844,-103.2507
134,29.86854,-103.25074
135,29.86866,-103.25077
136,29.86877,-103.25081
137,29.8689,-103.25085
138,29.86905,-103.25089
139,29.86933,-103.25095
140,29.8698,-103.25103
141,29.86997,-103.25105
142,29.87036,-103.25108
143,29.87075,-103.25112
144,29.87105,-103.25114
145,29.87588,-103.25158
146,29.87655,-103.25168
147,29.87666,-103.25171
148,29.87687,-103.25175
149,29.87698,-103.25178
150,29.87717,-103.25184
151,29.87738,-103.2519
152,29.87759,-103.25197
153,29.89071,-103.25677
154,29.89106,-103.25689
155,29.89456,-103.25818
156,29.89508,-103.25835
157,29.89521,-103.2584
158,29.89544,-103.25846
159,29.89973,-103.25936
160,29.91064,-103.26173
161,29.91411,-103.26245
162,29.91435,-103.26249
163,29.91462,-103.26251
164,29.91487,-103.26251
165,29.91499,-103.2625
166,29.91509,-103.26248
167,29.91523,-103.26246
168,29.91536,-103.26243
169,29.91561,-103.26235
170,29.91578,-103.26228
171,29.91587,-103.26223
172,29.91593,-103.2622
173,29.91618,-103.26205
174,29.91687,-103.26154
175,29.91789,-103.26081
176,29.92082,-103.2586
177,29.92091,-103.25854
178,29.92093,-103.25853
179,29.92098,-103.25848
180,29.92104,-103.25845
181,29.92109,-103.25841
182,29.92115,-103.25837
183,29.92129,-103.25829
184,29.92143,-103.25823
185,29.92151,-103.25819
186,29.92169,-103.25812
187,29.92206,-103.25803
188,29.92238,-103.258
189,29.92261,-103.258
190,29.92285,-103.25802
191,29.92316,-103.25809
192,29.92328,-103.25813
193,29.92352,-103.25822
194,29.92418,-103.25852
195,29.92459,-103.25869
196,29.92479,-103.25878
197,29.92518,-103.25897
198,29.92562,-103.25916
199,29.92594,-103.25932
200,29.92894,-103.26068
201,29.92904,-103.26072
202,29.92915,-103.26075
203,29.92925,-103.26079
204,29.92951,-103.26085
205,29.92966,-103.26088
206,29.9298,-103.2609
207,29.92991,-103.26092
208,29.93002,-103.26093
209,29.93048,-103.26093
210,29.9306,-103.26091
211,29.93071,-103.2609
212,29.93104,-103.26084
213,29.93115,-103.26081
214,29.93127,-103.26077
215,29.93179,-103.26061
216,29.93575,-103.25932
217,29.93609,-103.2592
218,29.93639,-103.25908
219,29.93661,-103.25897
220,29.93671,-103.25891
221,29.93682,-103.25885
222,29.93722,-103.25859
223,29.93744,-103.25842
224,29.93761,-103.25828
225,29.94038,-103.25578
226,29.94064,-103.25559
227,29.94074,-103.25553
228,29.94084,-103.25546
229,29.94094,-103.2554
230,29.94105,-103.25534
231,29.94126,-103.25525
232,29.94136,-103.2552
233,29.94146,-103.25516
234,29.94164,-103.2551
235,29.94316,-103.25464
236,29.94372,-103.25446
237,29.94558,-103.2539
238,29.94771,-103.25331
239,29.94816,-103.2532
240,29.94879,-103.2531
241,29.94933,-103.25306
242,29.94972,-103.25306
243,29.94989,-103.25307
244,29.94997,-103.25307
245,29.95021,-103.25309
246,29.95038,-103.2531
247,29.95098,-103.25316
248,29.95131,-103.2532
249,29.95341,-103.25341
250,29.95382,-103.25344
251,29.95423,-103.25344
252,29.95433,-103.25343
253,29.95444,-103.25341
254,29.95455,-103.2534
255,29.95467,-103.25338
256,29.95491,-103.25331
257,29.95504,-103.25328
258,29.95525,-103.25322
259,29.95544,-103.25315
260,29.95575,-103.25306
261,29.95585,-103.25304
262,29.95599,-103.253
263,29.95618,-103.25298
264,29.95624,-103.25297
265,29.95635,-103.25297
266,29.95647,-103.25296
267,29.95665,-103.25297
268,29.95672,-103.25297
269,29.95703,-103.25301
270,29.9573,-103.25309
271,29.95738,-103.25311
272,29.95746,-103.25314
273,29.95752,-103.25317
274,29.95758,-103.25319
275,29.95775,-103.25328
276,29.95792,-103.25337
277,29.95829,-103.25359
278,29.9585,-103.2537
279,29.95875,-103.25386
280,29.96384,-103.25686
281,29.96442,-103.25722
282,29.96462,-103.25735
283,29.96467,-103.2574
284,29.96476,-103.25746
285,29.96512,-103.25774
286,29.96568,-103.25825
287,29.96625,-103.25886
288,29.96641,-103.25902
289,29.96662,-103.25925
290,29.96686,-103.2595
291,29.96709,-103.25972
292,29.96718,-103.25979
293,29.96726,-103.25986
294,29.96751,-103.26005
295,29.96766,-103.26015
296,29.9678,-103.26025
297,29.96789,-103.2603
298,29.96798,-103.26036
299,29.96807,-103.2604
300,29.96817,-103.26046
301,29.96827,-103.26051
302,29.96837,-103.26055
303,29.96848,-103.2606
304,29.96872,-103.2607
305,29.969,-103.26079
306,29.97269,-103.26183
307,29.97301,-103.26193
308,29.97319,-103.26198
309,29.97339,-103.26205
310,29.97352,-103.26209
311,29.97363,-103.26214
312,29.97375,-103.26218
313,29.97388,-103.26223
314,29.97418,-103.26237
315,29.97476,-103.26267
316,29.97539,-103.26304
317,29.97562,-103.26316
318,29.97586,-103.2633
319,29.97628,-103.26352
320,29.97659,-103.26366
321,29.97686,-103.26377
322,29.9784,-103.26425
323,29.97902,-103.26447
324,29.97923,-103.26456
325,29.97934,-103.2646
326,29.98086,-103.2653
327,29.98178,-103.26573
328,29.9826,-103.2661
329,29.98281,-103.2662
330,29.98323,-103.26636
331,29.9834,-103.26643
332,29.98373,-103.26652
333,29.98386,-103.26656
334,29.98405,-103.26661
335,29.98471,-103.26673
336,29.98502,-103.26677
337,29.98548,-103.26684
338,29.98588,-103.26691
