,Latitude,Longitude
0,34.39255,-117.40736
1,34.39366,-117.40588
2,34.39554,-117.40275
3,34.39697,-117.4016
4,34.39851,-117.40121
5,34.40341,-117.40119
6,34.40432,-117.40092
7,34.40754,-117.39945
8,34.41025,-117.3991
9,34.41948,-117.39926
10,34.42176,-117.40016
11,34.423,-117.40039
12,34.43042,-117.39958
13,34.44132,-117.39952
14,34.45584,-117.39968
15,34.46281,-117.3995
16,34.5077,-117.39956
17,34.51255,-117.3994
18,34.52859,-117.39936
19,34.54089,-117.3994
20,34.54233,-117.39955
21,34.58862,-117.4152
22,34.59902,-117.41877
23,34.60396,-117.42066
24,34.72714,-117.46246
25,34.81408,-117.49219
26,34.88109,-117.51072
27,34.88536,-117.51158
28,34.89849,-117.51521
29,34.9167,-117.5161
30,34.91851,-117.51639
31,34.91975,-117.51681
32,34.94241,-117.52743
33,34.9448,-117.52834
34,35.05925,-117.56019
35,35.06089,-117.56041
36,35.0621,-117.56037
37,35.06863,-117.55913
38,35.07023,-117.55916
39,35.07144,-117.55936
40,35.07386,-117.5603
41,35.08159,-117.56428
42,35.08689,-117.56755
43,35.08915,-117.56854
44,35.2342,-117.60907
45,35.26137,-117.61316
46,35.28658,-117.61625
47,35.30484,-117.61256
48,35.31565,-117.6086
49,35.31738,-117.6085
50,35.32022,-117.60919
51,35.32156,-117.6098
52,35.3228,-117.61064
53,35.32684,-117.61408
54,35.32972,-117.61778
55,35.33054,-117.61839
56,35.33166,-117.61878
57,35.33396,-117.61865
58,35.33588,-117.61878
59,35.3406,-117.62029
60,35.3452,-117.62115
61,35.3474,-117.62066
62,35.34934,-117.61982
63,35.35401,-117.61839
64,35.35708,-117.61682
65,35.35794,-117.61654
66,35.35953,-117.61636
67,35.36078,-117.61641
68,35.36433,-117.61727
69,35.36516,-117.61767
70,35.36583,-117.61841
71,35.36666,-117.61957
72,35.36774,-117.62171
73,35.37466,-117.63992
74,35.37564,-117.64135
75,35.37876,-117.64482
76,35.38057,-117.64819
77,35.3821,-117.65009
78,35.38359,-117.65107
79,35.3977,-117.65659
80,35.42184,-117.67156
81,35.42266,-117.67194
82,35.42421,-117.6724
83,35.42551,-117.67253
84,35.43337,-117.67171
85,35.43464,-117.67134
86,35.4357,-117.67083
87,35.437,-117.66987
88,35.44975,-117.65793
89,35.45195,-117.65529
90,35.45325,-117.65445
91,35.45473,-117.65423
92,35.4603,-117.65538
93,35.46096,-117.6554
94,35.47632,-117.65361
95,35.47716,-117.65362
96,35.47828,-117.65389
97,35.47977,-117.65456
98,35.52168,-117.67397
99,35.5419,-117.6885
100,35.54365,-117.69028
101,35.5445,-117.69171
102,35.54504,-117.69305
103,35.54881,-117.71066
104,35.54915,-117.71155
105,35.54997,-117.71276
106,35.65427,-117.80316
107,35.66641,-117.81373
108,35.6673,-117.81467
109,35.66834,-117.81622
110,35.69275,-117.86457
111,35.69365,-117.86582
112,35.69501,-117.86674
113,35.6995,-117.86754
114,35.85498,-117.87547
115,35.85673,-117.87561
116,35.85932,-117.87614
117,35.86147,-117.87689
118,35.8639,-117.87809
119,35.89303,-117.89656
120,35.89504,-117.89763
121,35.897,-117.89845
122,35.91358,-117.90412
123,35.91745,-117.90576
124,35.92322,-117.90766
125,35.92799,-117.90813
126,35.93,-117.90801
127,35.93184,-117.90756
128,35.93582,-117.90591
129,35.9376,-117.90581
130,35.95565,-117.91062
131,35.95679,-117.91107
132,35.95785,-117.91173
133,35.9656,-117.91755
134,35.9677,-117.91889
135,35.99871,-117.93229
136,36.08835,-117.96076
137,36.10853,-117.96955
138,36.11085,-117.97042
139,36.11218,-117.97072
140,36.15804,-117.97585
141,36.16338,-117.97715
142,36.16477,-117.97735
143,36.22631,-117.9801
144,36.22857,-117.98038
145,36.28218,-118.00613
146,36.28349,-118.00713
147,36.29227,-118.0166
148,36.29351,-118.01765
149,36.29455,-118.01825
150,36.31314,-118.02649
151,36.31472,-118.02702
152,36.3202,-118.02708
153,36.32216,-118.02679
154,36.32378,-118.0262
155,36.33418,-118.0214
156,36.33592,-118.02082
157,36.33782,-118.02058
158,36.33961,-118.02074
159,36.35264,-118.02339
160,36.3578,-118.02361
161,36.37395,-118.02388
162,36.37571,-118.02389
163,36.37968,-118.02358
164,36.39139,-118.02391
165,36.43097,-118.03137
166,36.4327,-118.03181
167,36.43903,-118.03406
168,36.44043,-118.03442
169,36.44257,-118.03461
170,36.45162,-118.03434
171,36.46354,-118.03637
172,36.46545,-118.03642
173,36.47029,-118.03593
174,36.47474,-118.0358
175,36.50399,-118.03203
176,36.50562,-118.03203
177,36.50752,-118.03232
178,36.50953,-118.033
179,36.511,-118.03379
180,36.52376,-118.04273
181,36.52551,-118.04371
182,36.52736,-118.04438
183,36.5379,-118.04648
184,36.54362,-118.04722
185,36.56281,-118.05104
186,36.5644,-118.05165
187,36.56656,-118.05282
188,36.57594,-118.05715
189,36.57722,-118.05751
190,36.59305,-118.05765
191,36.59436,-118.05789
192,36.60844,-118.06477
193,36.61616,-118.06692
194,36.61737,-118.06739
195,36.62691,-118.07255
196,36.64106,-118.08166
197,36.6656,-118.09432
198,36.66695,-118.09474
199,36.67105,-118.09555
200,36.67296,-118.09635
201,36.67437,-118.09742
202,36.68643,-118.10879
203,36.69162,-118.11317
204,36.7028,-118.12371
205,36.70422,-118.12542
206,36.70622,-118.12828
207,36.7086,-118.1306
208,36.71728,-118.13698
209,36.72147,-118.13931
210,36.73789,-118.15138
211,36.74179,-118.15504
212,36.79045,-118.19092
213,36.79511,-118.19488
214,36.79724,-118.19639
215,36.81397,-118.2069
216,36.8161,-118.20879
217,36.82868,-118.22241
218,36.83483,-118.22759
219,36.83624,-118.22841
220,36.88954,-118.24153
221,36.89146,-118.24177
222,36.95955,-118.23986
223,36.96097,-118.23968
224,36.98946,-118.23379
225,37.02463,-118.23071
226,37.02593,-118.23072
227,37.05451,-118.234
228,37.05633,-118.235
229,37.05882,-118.23723
230,37.06347,-118.23907
231,37.10529,-118.25261
232,37.10911,-118.25409
233,37.11235,-118.25623
234,37.14916,-118.28326
235,37.15558,-118.28894
236,37.1565,-118.28932
237,37.15736,-118.28943
238,37.17156,-118.2896
239,37.17253,-118.28984
240,37.17381,-118.29047
241,37.22937,-118.34543
242,37.23086,-118.34655
243,37.27987,-118.37203
244,37.28114,-118.37259
245,37.28288,-118.37307
246,37.29118,-118.37422
247,37.29302,-118.37464
248,37.29442,-118.37516
249,37.32749,-118.39232
250,37.33256,-118.39479
251,37.33389,-118.39501
252,37.34082,-118.39495
253,37.37306,-118.39536
254,37.37421,-118.39565
255,37.37499,-118.39631
256,37.37549,-118.39712
257,37.37587,-118.3986
258,37.37581,-118.45745
259,37.37591,-118.46137
260,37.37639,-118.46483
261,37.37722,-118.46783
262,37.40626,-118.54397
263,37.40798,-118.54715
264,37.40978,-118.54935
265,37.41175,-118.55102
266,37.42039,-118.5556
267,37.42349,-118.55748
268,37.42722,-118.56016
269,37.43851,-118.56968
270,37.44005,-118.57065
271,37.44215,-118.57154
272,37.44424,-118.57197
273,37.44901,-118.5722
274,37.45094,-118.5726
275,37.46316,-118.57799
276,37.46411,-118.57825
277,37.4668,-118.57846
278,37.46802,-118.57872
279,37.47138,-118.58019
280,37.47256,-118.58055
281,37.5116,-118.58322
282,37.51276,-118.58352
283,37.51392,-118.58418
284,37.51507,-118.58535
285,37.51562,-118.58622
286,37.51857,-118.59358
287,37.52089,-118.60311
288,37.5209,-118.6046
289,37.52041,-118.60773
290,37.52049,-118.60982
291,37.52303,-118.61802
292,37.52401,-118.61999
293,37.53118,-118.62912
294,37.53489,-118.63585
295,37.53641,-118.63785
296,37.53804,-118.63909
297,37.53906,-118.63954
298,37.54043,-118.63986
299,37.5414,-118.63991
300,37.54806,-118.63924
301,37.54896,-118.6394
302,37.55008,-118.63997
303,37.55132,-118.64129
304,37.55747,-118.65266
305,37.55797,-118.65423
306,37.55805,-118.65508
307,37.55771,-118.6582
308,37.55776,-118.65936
309,37.55808,-118.66057
310,37.5596,-118.66335
311,37.56005,-118.66481
312,37.56034,-118.66638
313,37.56109,-118.67346
314,37.56188,-118.67692
315,37.56546,-118.68732
316,37.56643,-118.6891
317,37.57056,-118.69481
318,37.57159,-118.69718
319,37.57203,-118.69912
320,37.57213,-118.70187
321,37.57156,-118.70872
322,37.57171,-118.71088
323,37.57239,-118.71314
324,37.57404,-118.71621
325,37.57469,-118.71786
326,37.5751,-118.71965
327,37.57525,-118.72116
328,37.57522,-118.72266
329,37.57346,-118.73813
330,37.57352,-118.74096
331,37.57669,-118.75641
332,37.58362,-118.77442
333,37.59021,-118.78932
334,37.59166,-118.79172
335,37.59291,-118.79325
336,37.60407,-118.80439
337,37.60592,-118.80571
338,37.61315,-118.80997
339,37.61467,-118.81152
340,37.61581,-118.81361
341,37.63546,-118.88547
342,37.63616,-118.88885
343,37.63919,-118.91152
344,37.63972,-118.9133
345,37.64053,-118.91517
346,37.64365,-118.92027
347,37.64508,-118.92201
348,37.64652,-118.9231
349,37.6484,-118.92385
350,37.64967,-118.92405
351,37.65339,-118.92404
352,37.65453,-118.92423
353,37.6565,-118.92492
354,37.66147,-118.92824
355,37.66522,-118.93208
356,37.66817,-118.93346
357,37.67484,-118.93813
358,37.67649,-118.93908
359,37.69006,-118.94271
360,37.69216,-118.94398
361,37.69557,-118.94725
362,37.69663,-118.94798
363,37.70398,-118.95102
364,37.71181,-118.95311
365,37.71294,-118.95358
366,37.74313,-118.97624
367,37.74451,-118.97747
368,37.74873,-118.98212
369,37.74992,-118.98285
370,37.75475,-118.98477
371,37.75544,-118.9852
372,37.75817,-118.98809
373,37.75941,-118.99007
374,37.76028,-118.99252
375,37.76084,-118.99321
376,37.76188,-118.99396
377,37.76253,-118.99478
378,37.76352,-118.9979
379,37.76431,-118.99941
380,37.76832,-119.00398
381,37.77752,-119.01827
382,37.77857,-119.01938
383,37.78019,-119.0205
384,37.78145,-119.02101
385,37.78483,-119.02169
386,37.78609,-119.0224
387,37.78717,-119.02349
388,37.78805,-119.02499
389,37.78903,-119.02786
390,37.78999,-119.03006
391,37.79404,-119.03789
392,37.79513,-119.03924
393,37.79631,-119.04015
394,37.79765,-119.0407
395,37.79882,-119.04086
396,37.802,-119.04072
397,37.80318,-119.04106
398,37.80407,-119.04156
399,37.80542,-119.04297
400,37.80705,-119.04602
401,37.80835,-119.04793
402,37.81622,-119.05789
403,37.81743,-119.05913
404,37.81924,-119.06037
405,37.82595,-119.06398
406,37.82995,-119.06735
407,37.83199,-119.06867
408,37.83401,-119.06938
409,37.83874,-119.07025
410,37.84153,-119.07153
411,37.84335,-119.07287
412,37.84806,-119.07769
413,37.84988,-119.07934
414,37.85135,-119.08039
415,37.85841,-119.08465
416,37.86052,-119.08559
417,37.86238,-119.08614
418,37.89842,-119.09288
419,37.93985,-119.1011
420,37.94164,-119.10171
421,37.94389,-119.1031
422,37.94802,-119.10667
423,37.94906,-119.10795
424,37.94998,-119.11016
