,Latitude,Longitude
0,34.281,-119.30075
1,34.28141,-119.30075
2,34.28162,-119.30071
3,34.28166,-119.30071
4,34.28189,-119.30064
5,34.28229,-119.30054
6,34.28384,-119.30006
7,34.28435,-119.29992
8,34.28459,-119.29984
9,34.28603,-119.29942
10,34.28614,-119.29938
11,34.28701,-119.29912
12,34.28756,-119.29894
13,34.28824,-119.29875
14,34.28852,-119.29865
15,34.29094,-119.29792
16,34.29106,-119.29789
17,34.29469,-119.29679
18,34.29495,-119.2967
19,34.3033,-119.29416
20,34.3038,-119.29399
21,34.30392,-119.29397
22,34.30962,-119.29224
23,34.30979,-119.2922
24,34.30985,-119.29218
25,34.31003,-119.29215
26,34.3103,-119.29216
27,34.31047,-119.29219
28,34.31116,-119.29235
29,34.31117,-119.29235
30,34.31128,-119.29237
31,34.31135,-119.29237
32,34.31145,-119.29238
33,34.3115,-119.29237
34,34.31161,-119.29236
35,34.31172,-119.29232
36,34.31188,-119.29223
37,34.31195,-119.29217
38,34.31209,-119.29203
39,34.31237,-119.2916
40,34.31249,-119.29144
41,34.31259,-119.29134
42,34.31265,-119.29129
43,34.31271,-119.29125
44,34.31284,-119.29118
45,34.31289,-119.29116
46,34.31302,-119.29112
47,34.32419,-119.28984
48,34.32428,-119.28984
49,34.32439,-119.28986
50,34.32451,-119.28989
51,34.3277,-119.2909
52,34.32859,-119.2912
53,34.33123,-119.292
54,34.33125,-119.29201
55,34.33151,-119.2921
56,34.33163,-119.29213
57,34.33606,-119.2935
58,34.338,-119.29407
59,34.33873,-119.29411
60,34.33943,-119.29392
61,34.3403,-119.29381
62,34.34164,-119.29381
63,34.34277,-119.29393
64,34.34388,-119.29409
65,34.34419,-119.2942
66,34.3443,-119.29424
67,34.34439,-119.29428
68,34.34449,-119.29434
69,34.34459,-119.29439
70,34.3446,-119.2944
71,34.34464,-119.29442
72,34.34467,-119.29444
73,34.34469,-119.29446
74,34.34474,-119.29449
75,34.34492,-119.29464
76,34.34498,-119.29471
77,34.34505,-119.29477
78,34.34531,-119.29504
79,34.34532,-119.29504
80,34.34574,-119.29546
81,34.34583,-119.29556
82,34.34687,-119.29659
83,34.34698,-119.29671
84,34.34879,-119.2985
85,34.34905,-119.2988
86,34.34914,-119.29893
87,34.34917,-119.299
88,34.34922,-119.29909
89,34.34965,-119.30012
90,34.3498,-119.30045
91,34.35,-119.30093
92,34.35139,-119.30449
93,34.35169,-119.30501
94,34.35196,-119.30545
95,34.35235,-119.30604
96,34.35259,-119.3064
97,34.35284,-119.30673
98,34.35315,-119.307
99,34.35346,-119.30725
100,34.35377,-119.30751
101,34.35416,-119.30783
102,34.35453,-119.30801
103,34.35505,-119.30824
104,34.3559,-119.30847
105,34.35697,-119.30878
106,34.35732,-119.30887
107,34.35765,-119.30897
108,34.35959,-119.30949
109,34.36003,-119.30957
110,34.36022,-119.30959
111,34.36026,-119.3096
112,34.36081,-119.30967
113,34.36116,-119.3097
114,34.36123,-119.3097
115,34.36128,-119.30969
116,34.36133,-119.30969
117,34.36136,-119.30968
118,34.3614,-119.30968
119,34.36149,-119.30964
120,34.36153,-119.30963
121,34.36173,-119.30951
122,34.36273,-119.30886
123,34.36289,-119.30873
124,34.36295,-119.30866
125,34.36307,-119.30854
126,34.36319,-119.30838
127,34.36359,-119.30794
128,34.36361,-119.30791
129,34.36386,-119.30767
130,34.36414,-119.30744
131,34.36542,-119.30648
132,34.36553,-119.30641
133,34.36563,-119.30637
134,34.36564,-119.30636
135,34.3657,-119.30636
136,34.36576,-119.30635
137,34.36607,-119.30635
138,34.36627,-119.30636
139,34.36658,-119.3064
140,34.36665,-119.3064
141,34.36985,-119.30682
142,34.37034,-119.30686
143,34.37051,-119.30686
144,34.3706,-119.30685
145,34.37069,-119.30685
146,34.37077,-119.30683
147,34.37085,-119.30682
148,34.37126,-119.30671
149,34.37156,-119.30661
150,34.37198,-119.30649
151,34.37217,-119.30645
152,34.37248,-119.30637
153,34.37341,-119.30626
154,34.37397,-119.30623
155,34.37452,-119.30622
156,34.37472,-119.30623
157,34.37543,-119.30633
158,34.37547,-119.30633
159,34.37563,-119.30635
160,34.37621,-119.30635
161,34.3764,-119.30632
162,34.37654,-119.30628
163,34.3766,-119.30627
164,34.37676,-119.30621
165,34.37696,-119.30612
166,34.37705,-119.30609
167,34.3796,-119.30494
168,34.38034,-119.30453
169,34.3804,-119.30447
170,34.38176,-119.30374
171,34.38184,-119.30369
172,34.3823,-119.30346
173,34.38236,-119.30344
174,34.38267,-119.30331
175,34.3829,-119.30333
176,34.38386,-119.30332
177,34.38399,-119.3033
178,34.38403,-119.3033
179,34.38409,-119.30328
180,34.38415,-119.30327
181,34.38422,-119.30325
182,34.38457,-119.30311
183,34.38465,-119.30307
184,34.38505,-119.3028
185,34.38519,-119.30268
186,34.38565,-119.30221
187,34.3857,-119.30217
188,34.38589,-119.30199
189,34.3861,-119.30182
190,34.38622,-119.30174
191,34.38645,-119.30161
192,34.38651,-119.30157
193,34.38661,-119.30152
194,34.38664,-119.3015
195,34.38674,-119.30146
196,34.38697,-119.30139
197,34.38719,-119.30134
198,34.38742,-119.30131
199,34.38767,-119.3013
200,34.38806,-119.30138
201,34.38857,-119.30153
202,34.38878,-119.30158
203,34.3888,-119.30158
204,34.38907,-119.30163
205,34.38936,-119.30163
206,34.39149,-119.30156
207,34.39203,-119.30149
208,34.39216,-119.30145
209,34.39225,-119.30143
210,34.39252,-119.30133
211,34.39634,-119.29973
212,34.39684,-119.29962
213,34.39696,-119.29961
214,34.3973,-119.29962
215,34.39795,-119.29976
216,34.39848,-119.2999
217,34.39872,-119.29991
218,34.39908,-119.2999
219,34.3993,-119.29988
220,34.39962,-119.29983
221,34.40392,-119.29932
222,34.40394,-119.29931
223,34.40432,-119.29931
224,34.40441,-119.29932
225,34.40492,-119.29942
226,34.40506,-119.29944
227,34.40526,-119.29944
228,34.40539,-119.29943
229,34.40549,-119.29941
230,34.4057,-119.29935
231,34.40571,-119.29934
232,34.40579,-119.29931
233,34.4059,-119.29924
234,34.40596,-119.29921
235,34.40612,-119.29909
236,34.40617,-119.29904
237,34.40621,-119.29899
238,34.40635,-119.29885
239,34.40645,-119.29873
240,34.40651,-119.29867
241,34.40658,-119.29862
242,34.40662,-119.29858
243,34.40675,-119.29849
244,34.40687,-119.29842
245,34.40706,-119.29834
246,34.40708,-119.29834
247,34.40753,-119.29817
248,34.4078,-119.29801
249,34.40794,-119.29791
250,34.40842,-119.29751
251,34.40886,-119.29712
252,34.40906,-119.29692
253,34.40965,-119.29623
254,34.40969,-119.29619
255,34.40983,-119.29607
256,34.41065,-119.29548
257,34.41135,-119.29506
258,34.41178,-119.29489
259,34.4121,-119.29482
260,34.41231,-119.29476
261,34.41237,-119.29475
262,34.41244,-119.29472
263,34.41255,-119.29469
264,34.41257,-119.29469
265,34.41261,-119.29468
266,34.413,-119.29466
267,34.41329,-119.29463
268,34.41363,-119.29456
269,34.41441,-119.29434
270,34.41586,-119.29387
271,34.41718,-119.29347
272,34.41856,-119.293
273,34.41891,-119.29279
274,34.41954,-119.29229
275,34.42,-119.29184
276,34.4202,-119.29166
277,34.4203,-119.29159
278,34.42067,-119.29127
279,34.42099,-119.29095
280,34.42101,-119.29094
281,34.42139,-119.29061
282,34.42179,-119.29031
283,34.42224,-119.29003
284,34.42239,-119.28992
285,34.42309,-119.28955
286,34.42327,-119.28948
287,34.42328,-119.28948
288,34.42368,-119.28934
289,34.4242,-119.28918
290,34.42455,-119.28909
291,34.42474,-119.28906
292,34.42487,-119.28905
293,34.4249,-119.28904
294,34.42514,-119.28902
295,34.42521,-119.28902
296,34.42577,-119.28898
297,34.42627,-119.28897
298,34.42821,-119.28884
299,34.42869,-119.28882
300,34.42893,-119.2888
301,34.4291,-119.28877
302,34.42921,-119.28873
303,34.42928,-119.28871
304,34.42962,-119.28855
305,34.4299,-119.28836
306,34.4302,-119.28809
307,34.43055,-119.28768
308,34.43063,-119.28757
309,34.43092,-119.28711
310,34.43093,-119.28708
311,34.43116,-119.2866
312,34.43126,-119.28632
313,34.43135,-119.28601
314,34.43155,-119.2851
315,34.43158,-119.28489
316,34.43164,-119.28429
317,34.43207,-119.28132
318,34.43218,-119.28068
319,34.43218,-119.28065
320,34.43226,-119.28021
321,34.43227,-119.28004
322,34.43233,-119.27953
323,34.43233,-119.27945
324,34.43235,-119.27927
325,34.43242,-119.27801
326,34.43243,-119.27695
327,34.43241,-119.27623
328,34.43233,-119.27511
329,34.43222,-119.27401
330,34.43221,-119.27383
331,34.43182,-119.2698
332,34.43183,-119.26962
333,34.43183,-119.26941
334,34.43188,-119.26889
335,34.43212,-119.26695
336,34.43213,-119.26682
337,34.43221,-119.26617
338,34.43229,-119.26588
339,34.43236,-119.26568
340,34.43256,-119.26528
341,34.43283,-119.2649
342,34.4329,-119.26482
343,34.43303,-119.26469
344,34.43327,-119.26448
345,34.4335,-119.26434
346,34.43363,-119.26427
347,34.43378,-119.26421
348,34.43402,-119.26413
349,34.43452,-119.264
350,34.43464,-119.26396
351,34.435,-119.26387
352,34.43526,-119.26376
353,34.43674,-119.26338
354,34.43714,-119.26326
355,34.43767,-119.26307
356,34.43781,-119.26301
357,34.43795,-119.26293
358,34.43808,-119.26288
