,Latitude,Longitude
0,39.4504525,-74.7224463
1,39.4504701,-74.7225603
2,39.4504947,-74.7226964
3,39.4505435,-74.7228803
4,39.4507363,-74.7234626
5,39.4508244,-74.7237101
6,39.4510282,-74.7242827
7,39.4514094,-74.7254126
8,39.4514289,-74.7254704
9,39.4516631,-74.7261702
10,39.4518435,-74.7266843
11,39.4520308,-74.7272282
12,39.4521435,-74.7275478
13,39.451846,-74.7276901
14,39.4517775,-74.7277217
15,39.4515969,-74.7277962
16,39.4514329,-74.7278574
17,39.4513325,-74.7278915
18,39.4510142,-74.7279803
19,39.450696,-74.7280624
20,39.4503201,-74.728159
21,39.449993,-74.728263
22,39.449712,-74.728394
23,39.4494461,-74.7285593
24,39.4491873,-74.728791
25,39.4490423,-74.7289151
26,39.448923,-74.729051
27,39.448717,-74.729328
28,39.448686,-74.729385
29,39.448478,-74.729775
30,39.448336,-74.73018
31,39.448212,-74.730621
32,39.448172,-74.730798
33,39.448134,-74.731141
34,39.4480418,-74.7332184
35,39.4480318,-74.7337701
36,39.4480289,-74.7338231
37,39.4480226,-74.733939
38,39.4480129,-74.7340819
39,39.4480068,-74.7341869
40,39.4480007,-74.7342908
41,39.4479911,-74.7344225
42,39.4479812,-74.73456
43,39.447952,-74.734963
44,39.4479316,-74.7353733
45,39.4479205,-74.7355977
46,39.4479028,-74.735912
47,39.447895,-74.736051
48,39.447857,-74.7369851
49,39.44785,-74.737156
50,39.447781,-74.738306
51,39.447639,-74.740674
52,39.447627,-74.740882
53,39.447578,-74.742004
54,39.447524,-74.743006
55,39.447472,-74.744161
56,39.4474715,-74.7442498
57,39.44747,-74.74452
58,39.447494,-74.744981
59,39.4475271,-74.7452513
60,39.447529,-74.745267
61,39.447614,-74.745674
62,39.447836,-74.746582
63,39.4478563,-74.7466615
64,39.4480703,-74.7474992
65,39.448177,-74.747917
66,39.4482634,-74.7482673
67,39.448434,-74.748959
68,39.448497,-74.749266
69,39.448531,-74.749477
70,39.448564,-74.749795
71,39.44857,-74.750032
72,39.448562,-74.750597
73,39.4485194,-74.7511068
74,39.448507,-74.751243
75,39.4484898,-74.7513605
76,39.448473,-74.751475
77,39.448317,-74.752599
78,39.448101,-74.753958
79,39.4480451,-74.7545684
