,Latitude,Longitude
0,39.2741415,-103.7072008
1,39.2736832,-103.7071938
2,39.2730049,-103.7071884
3,39.2724957,-103.7071817
4,39.2722315,-103.7072145
5,39.2721493,-103.7072296
6,39.2719227,-103.70727
7,39.2718235,-103.7072934
8,39.2717679,-103.7073091
9,39.2717033,-103.707329
10,39.271635,-103.7073522
11,39.2715912,-103.7073682
12,39.27148,-103.7074153
13,39.2713906,-103.7074548
14,39.271304,-103.7074953
15,39.2712184,-103.707538
16,39.2711,-103.7075991
17,39.2710312,-103.7076364
18,39.2709771,-103.7076673
19,39.2709237,-103.7077008
20,39.2708491,-103.7077501
21,39.2707858,-103.707794
22,39.2706228,-103.707919
23,39.2705381,-103.7079867
24,39.2705155,-103.7080047
25,39.2704837,-103.7080314
26,39.2704105,-103.708095
27,39.2703471,-103.7081528
28,39.270238,-103.7082589
29,39.2700698,-103.7084536
30,39.270019,-103.7085156
31,39.2698791,-103.7086882
32,39.2695163,-103.7091473
33,39.2694479,-103.7092329
34,39.2692505,-103.7094742
35,39.2691378,-103.7096119
36,39.2690748,-103.7096854
37,39.2690401,-103.7097245
38,39.2689967,-103.7097702
39,39.2689022,-103.7098653
40,39.2685617,-103.7102141
41,39.2685015,-103.7099574
42,39.2684813,-103.7098791
43,39.2684629,-103.7098145
44,39.268396,-103.7096022
45,39.2684846,-103.7097313
46,39.2685301,-103.7097851
47,39.2685521,-103.7098076
48,39.2685911,-103.7098387
49,39.268614,-103.7098545
50,39.2686547,-103.7098754
51,39.2686758,-103.7098829
52,39.2687255,-103.7098925
53,39.2687487,-103.7098917
54,39.2687897,-103.709886
55,39.2689022,-103.7098653
