,Latitude,Longitude
0,39.7386486,-105.1513325
1,39.7386204,-105.1517742
2,39.7386138,-105.1519545
3,39.7386006,-105.1521433
4,39.7385924,-105.1522338
5,39.7385742,-105.1524351
6,39.7385624,-105.1525547
7,39.7384525,-105.1534578
8,39.7384329,-105.1536195
9,39.7384075,-105.1538358
10,39.7383799,-105.1540343
11,39.7383479,-105.1542569
12,39.738304,-105.1545208
13,39.7382508,-105.154744
14,39.738165,-105.1550101
15,39.7381546,-105.1550405
16,39.7380594,-105.155319
17,39.7379736,-105.1555422
18,39.737868,-105.1557825
19,39.7377558,-105.1560057
20,39.7377055,-105.1560977
21,39.7376529,-105.1561904
22,39.7375687,-105.156327
23,39.7375168,-105.1563995
24,39.7373334,-105.156658
25,39.7372553,-105.1567615
26,39.7369901,-105.1571129
27,39.7363103,-105.1580055
28,39.7361372,-105.1582337
29,39.7355965,-105.1589466
30,39.7350007,-105.159732
31,39.7349307,-105.1598238
32,39.7348479,-105.1599322
33,39.7348004,-105.1599921
34,39.7345742,-105.1602768
35,39.734449,-105.1604346
36,39.7340101,-105.1610311
37,39.7338401,-105.1612643
38,39.73367,-105.1614945
39,39.7335191,-105.1617174
40,39.7333724,-105.1619621
41,39.7333414,-105.162019
42,39.7332252,-105.1622326
43,39.7330938,-105.1625031
44,39.7329797,-105.1627645
45,39.7328765,-105.1630083
46,39.7327675,-105.1633024
47,39.7327025,-105.1634935
48,39.7326282,-105.1637062
49,39.7325505,-105.1639368
50,39.7325019,-105.1641073
51,39.7324491,-105.1642993
52,39.7323437,-105.164706
53,39.7322104,-105.1652596
54,39.7321839,-105.1653567
55,39.7321414,-105.1655499
56,39.7321147,-105.1656801
57,39.7320301,-105.1660226
58,39.732003,-105.1661363
59,39.7319854,-105.16621
60,39.7319069,-105.1665398
61,39.7317797,-105.1670748
62,39.7317604,-105.1671564
63,39.7316859,-105.1674717
64,39.7316492,-105.167627
65,39.7315729,-105.1679416
66,39.7315044,-105.1682239
67,39.7314997,-105.1682431
68,39.7314533,-105.1684342
69,39.7314136,-105.1685996
70,39.7312612,-105.1692344
71,39.7312516,-105.1692809
72,39.7312276,-105.1693938
73,39.731185,-105.1695775
74,39.7307025,-105.1715437
75,39.7306603,-105.1717284
76,39.7305275,-105.1720209
77,39.7305518,-105.1716601
78,39.730945,-105.1700137
79,39.7310384,-105.1696046
80,39.7310862,-105.1694225
81,39.731111,-105.1693163
82,39.7312086,-105.168831
83,39.7312396,-105.1686893
84,39.731355,-105.168161
85,39.7314078,-105.1679295
86,39.7314331,-105.1678177
87,39.7315819,-105.1671498
88,39.7316331,-105.1669197
89,39.7317968,-105.1661542
90,39.7319058,-105.1657159
91,39.7319394,-105.1655603
92,39.7319847,-105.1653602
93,39.732009,-105.1652618
94,39.7321155,-105.1647384
95,39.7323159,-105.1639325
96,39.7324126,-105.1635787
97,39.732486,-105.1633425
98,39.7325431,-105.1631762
99,39.7326173,-105.1629786
100,39.7326596,-105.1628661
101,39.7327635,-105.162621
102,39.7328769,-105.1623769
103,39.7329951,-105.1621468
104,39.7331094,-105.1619364
105,39.7332501,-105.1616971
106,39.7333641,-105.1615157
107,39.7335088,-105.1613154
108,39.7336833,-105.1610783
109,39.734079,-105.1605723
110,39.734473,-105.1600606
111,39.734655,-105.1598189
112,39.7347035,-105.1597558
113,39.7347888,-105.1596387
114,39.7348412,-105.1595684
115,39.7350558,-105.1592902
116,39.7360838,-105.1579082
117,39.7361651,-105.1577996
118,39.7367509,-105.1570801
119,39.7369178,-105.1568652
120,39.7371328,-105.1565834
121,39.7372023,-105.1564951
122,39.7373719,-105.1562591
123,39.7374286,-105.1561768
124,39.7375058,-105.1560492
125,39.737563,-105.1559517
126,39.7376076,-105.1558697
127,39.7376608,-105.1557639
128,39.7377133,-105.1556594
129,39.7378137,-105.1554309
130,39.7378954,-105.1552184
131,39.7379986,-105.1549166
132,39.7380792,-105.1546667
133,39.7381518,-105.1544178
134,39.7382004,-105.1541911
135,39.7382291,-105.1539914
136,39.7382561,-105.153795
137,39.7382815,-105.1536057
138,39.7383022,-105.1534509
139,39.73833,-105.1532591
140,39.738356,-105.1530524
141,39.7384161,-105.1526487
142,39.7384772,-105.152312
143,39.7385308,-105.1519735
144,39.7385742,-105.1517313
145,39.7386486,-105.1513325
146,39.7387031,-105.15084
147,39.7388629,-105.1493955
148,39.7388932,-105.1491049
149,39.7389049,-105.1489831
150,39.7389498,-105.148517
151,39.7389991,-105.1480564
152,39.7390012,-105.1480289
153,39.7390098,-105.1478947
154,39.7390234,-105.1477888
155,39.7391191,-105.1469164
156,39.7391359,-105.1467527
157,39.7391844,-105.1463157
158,39.7392575,-105.1456442
159,39.739419,-105.1442641
160,39.7395813,-105.1429521
161,39.7396844,-105.1420153
162,39.7398216,-105.1406763
163,39.73989,-105.1400794
164,39.7399238,-105.1397709
165,39.7399316,-105.1396999
166,39.7399411,-105.1396195
167,39.7400265,-105.1388979
168,39.7400549,-105.1385272
169,39.7400719,-105.1382651
170,39.7400818,-105.1381118
171,39.7400955,-105.1378581
172,39.740102,-105.1377382
173,39.7401185,-105.1374432
174,39.7401276,-105.1370908
175,39.7401397,-105.1365316
176,39.7401651,-105.1358636
177,39.7401675,-105.1353764
178,39.7401665,-105.1346669
179,39.7401657,-105.134524
180,39.7401643,-105.134287
181,39.7401624,-105.1342249
182,39.7401562,-105.1338226
183,39.7401523,-105.1336
184,39.7401483,-105.1333089
185,39.7401388,-105.1329057
186,39.740145,-105.1327195
187,39.7401451,-105.1325472
188,39.7401452,-105.1323728
189,39.7401453,-105.1321234
190,39.7401453,-105.1320764
191,39.7401454,-105.1318477
192,39.7401463,-105.1315977
193,39.7401468,-105.1314505
194,39.740147,-105.1314153
195,39.7401486,-105.1311726
196,39.7401501,-105.1309459
197,39.7401513,-105.1307555
198,39.7401523,-105.1306061
199,39.7401549,-105.1304122
200,39.7401583,-105.130164
201,39.740159,-105.1301145
202,39.7401611,-105.1299549
203,39.7401647,-105.1296921
204,39.7401673,-105.1295021
205,39.7401337,-105.1293661
206,39.7401289,-105.1293291
207,39.7401138,-105.1292127
208,39.7401042,-105.1290688
209,39.7401057,-105.1285037
210,39.740105,-105.1283204
211,39.7401055,-105.1280991
212,39.7401057,-105.1279834
213,39.7401064,-105.1276682
214,39.7401066,-105.1275824
215,39.740107,-105.1273745
216,39.7401073,-105.1272444
217,39.740108,-105.1269105
218,39.7401083,-105.1267624
219,39.74011,-105.1259565
220,39.7401124,-105.1246925
221,39.7401134,-105.1244603
222,39.7401144,-105.1242391
223,39.7401163,-105.123826
224,39.7401169,-105.1236922
225,39.7401169,-105.1233271
226,39.7401169,-105.1232117
227,39.7401169,-105.1229529
228,39.7401169,-105.1227504
229,39.7401169,-105.1224325
230,39.7401172,-105.1222918
231,39.7401177,-105.1220074
232,39.740118,-105.1218653
233,39.7401188,-105.1214469
234,39.7401201,-105.1208085
235,39.7401211,-105.1203204
236,39.7401215,-105.1201028
237,39.7401223,-105.119466
238,39.7401226,-105.1191641
239,39.7401228,-105.1190181
240,39.7401232,-105.1188791
241,39.7401243,-105.1185144
242,39.7401263,-105.1178128
243,39.7401278,-105.1173401
244,39.7401299,-105.1166832
245,39.7401303,-105.1165755
246,39.7401305,-105.1164687
247,39.7401307,-105.1163654
248,39.7401313,-105.1160865
249,39.740132,-105.1157633
250,39.7401326,-105.1154467
251,39.7401332,-105.1151798
252,39.740134,-105.1147883
253,39.7401345,-105.1145375
254,39.7401349,-105.1143397
255,39.7401351,-105.1142536
256,39.7401351,-105.1141512
257,39.740135,-105.1137503
258,39.7401349,-105.1135544
259,39.7401349,-105.1134789
260,39.7401369,-105.1130046
261,39.7401402,-105.112238
262,39.7401408,-105.1119473
263,39.7401419,-105.1115144
264,39.7401393,-105.1112719
265,39.740139,-105.111243
266,39.7401352,-105.11106
267,39.7401346,-105.1110303
268,39.7401325,-105.1109284
269,39.7401251,-105.1108224
270,39.740123,-105.110352
271,39.7401222,-105.1102911
272,39.740122,-105.1097994
273,39.7401219,-105.1096757
274,39.7401227,-105.1094561
275,39.7401222,-105.1093555
276,39.7401204,-105.1090157
277,39.7401217,-105.1087841
278,39.7401221,-105.1087048
279,39.7401256,-105.1084517
280,39.7401263,-105.1084139
281,39.7401415,-105.1076508
282,39.7401442,-105.107513
283,39.7401453,-105.1074397
284,39.7401491,-105.1071916
285,39.7401493,-105.1071607
286,39.7401507,-105.1069012
287,39.740153,-105.1065029
288,39.7401541,-105.1061797
289,39.7401556,-105.1057439
290,39.7401574,-105.1052396
291,39.7401577,-105.105139
292,39.7401585,-105.1048983
293,39.7401589,-105.1047842
294,39.7401594,-105.1046013
295,39.74016,-105.1043317
296,39.7401607,-105.1040742
297,39.7401609,-105.1039682
298,39.7401616,-105.1037088
299,39.7401629,-105.1031917
300,39.7401636,-105.1029383
301,39.7401637,-105.1029061
302,39.7401646,-105.1025385
303,39.7401662,-105.1017795
304,39.7401671,-105.1013312
305,39.7401692,-105.1005267
306,39.7401699,-105.1002705
307,39.7401702,-105.1001503
308,39.7401709,-105.1000312
309,39.7401718,-105.0998645
310,39.7401748,-105.0993351
311,39.7401749,-105.0993092
312,39.7401775,-105.0983624
313,39.7401785,-105.0980002
314,39.7401785,-105.0979842
315,39.7401792,-105.0977549
316,39.7401805,-105.0973137
317,39.7401815,-105.096961
318,39.7401824,-105.0966538
319,39.7401833,-105.0963535
320,39.7401841,-105.0960866
321,39.7401856,-105.0955577
322,39.7401858,-105.0954061
323,39.7401868,-105.095003
324,39.7401871,-105.0949045
325,39.7401875,-105.0947227
326,39.7401881,-105.0944558
327,39.7401894,-105.0938711
328,39.7401901,-105.0935438
329,39.7401903,-105.0934526
330,39.740191,-105.0931375
331,39.740191,-105.0931245
332,39.7401923,-105.0928317
333,39.7401945,-105.0923207
334,39.7401953,-105.0920257
335,39.7401965,-105.0916126
336,39.7401986,-105.0908898
337,39.7401989,-105.0907764
338,39.7401993,-105.0906738
339,39.740201,-105.0902165
340,39.7402017,-105.0900328
341,39.7402033,-105.0896169
342,39.7402052,-105.0889465
343,39.7402066,-105.0884571
344,39.7402075,-105.0879152
345,39.7402086,-105.0872924
346,39.7402106,-105.0866103
347,39.7402121,-105.0860957
348,39.7402138,-105.0854234
349,39.740215,-105.0849247
350,39.7402127,-105.0843071
351,39.7402141,-105.0842084
352,39.7402198,-105.0838127
353,39.740221,-105.0837326
354,39.7402208,-105.0834792
355,39.7402211,-105.0833125
356,39.7402213,-105.0831684
357,39.7402203,-105.0825843
358,39.7402186,-105.0824516
359,39.7402174,-105.0823529
360,39.740217,-105.0822654
361,39.7402153,-105.0819315
362,39.7402146,-105.081618
363,39.7402143,-105.0814866
364,39.7402117,-105.0812908
365,39.7402095,-105.0811508
366,39.7402085,-105.0810846
367,39.7402027,-105.0808571
368,39.740215,-105.080263
369,39.7402164,-105.0801802
370,39.7402174,-105.0801421
371,39.7402212,-105.0799921
372,39.7402236,-105.0798951
373,39.740228,-105.0796796
374,39.7402298,-105.0795908
375,39.7402302,-105.0795373
376,39.7402309,-105.0794506
377,39.7402341,-105.0790334
378,39.7402388,-105.0775632
379,39.7402395,-105.0773265
380,39.7402418,-105.0768369
381,39.7402422,-105.0767547
382,39.7402427,-105.0766544
383,39.7402427,-105.0765647
384,39.7402426,-105.0760545
385,39.7402424,-105.0755043
386,39.7402456,-105.0747563
387,39.7402474,-105.0743377
388,39.740249,-105.0738404
389,39.7402509,-105.0732797
390,39.7402522,-105.0728613
