,Latitude,Longitude
0,39.8088364,-85.2986111
1,39.8088631,-85.2991698
2,39.8088164,-85.3017445
3,39.808749,-85.3054233
4,39.808732,-85.306348
5,39.808584,-85.310864
6,39.808381,-85.316001
7,39.808367,-85.316346
8,39.8082719,-85.3189528
9,39.808265,-85.319141
10,39.8082462,-85.3195607
11,39.808242,-85.319654
12,39.808194,-85.320752
13,39.808167,-85.321567
14,39.808063,-85.324402
15,39.808017,-85.325653
16,39.808001,-85.326097
17,39.8079,-85.3291237
18,39.807878,-85.329782
19,39.807865,-85.330181
20,39.8078348,-85.3312687
21,39.807833,-85.331332
22,39.8078084,-85.332036
23,39.807803,-85.332192
24,39.807787,-85.3325976
25,39.807736,-85.333888
26,39.807725,-85.334198
27,39.807627,-85.336298
28,39.807554,-85.337433
29,39.807518,-85.338232
30,39.807423,-85.33987
31,39.807374,-85.340897
32,39.807298,-85.342361
33,39.8072202,-85.3434203
34,39.807211,-85.342379
35,39.807289,-85.340335
36,39.807311,-85.339896
37,39.807367,-85.338424
38,39.807398,-85.337444
39,39.807455,-85.336169
40,39.807538,-85.333877
41,39.807577,-85.332976
42,39.8076308,-85.3312518
43,39.807665,-85.330156
44,39.807682,-85.32972
45,39.8077046,-85.3291146
46,39.80772,-85.328703
47,39.807766,-85.327131
48,39.807821,-85.325585
49,39.807863,-85.324388
50,39.807999,-85.320606
51,39.808041,-85.319651
52,39.808065,-85.319114
53,39.808122,-85.317484
54,39.808186,-85.315913
55,39.808193,-85.315745
56,39.8082222,-85.314968
57,39.8082494,-85.3142468
58,39.808254,-85.314124
59,39.808309,-85.312836
60,39.8083783,-85.3109925
61,39.808554,-85.306316
62,39.8085843,-85.3054202
63,39.8087037,-85.3017427
64,39.8087877,-85.2991612
65,39.8088364,-85.2986111
66,39.8088455,-85.2983328
67,39.8088714,-85.297541
68,39.8088861,-85.2971435
69,39.808895,-85.296903
70,39.8089055,-85.2966209
71,39.8089243,-85.2961147
72,39.80893,-85.295962
73,39.808936,-85.295798
74,39.8089528,-85.2953486
75,39.80898,-85.294621
76,39.808997,-85.294169
77,39.809041,-85.292873
78,39.809105,-85.291193
79,39.809123,-85.290693
80,39.809148,-85.289998
81,39.809164,-85.289536
82,39.8091646,-85.2895207
83,39.8091881,-85.2889629
84,39.809215,-85.288326
85,39.809242,-85.2875932
86,39.809269,-85.286861
87,39.8092879,-85.2863639
88,39.809296,-85.286152
89,39.8093,-85.286045
90,39.8093247,-85.2854013
91,39.8093495,-85.2847604
92,39.8093822,-85.2839158
93,39.8093931,-85.2836156
94,39.8094401,-85.2834716
95,39.8095348,-85.2817339
96,39.8096784,-85.2792472
97,39.8096887,-85.2790688
98,39.8097644,-85.2778333
99,39.8097904,-85.2773865
100,39.8098111,-85.2768973
101,39.80982,-85.276687
102,39.809973,-85.2735322
103,39.809981,-85.273368
104,39.8100008,-85.2728581
105,39.810029,-85.27213
106,39.8100343,-85.271996
107,39.810159,-85.268828
108,39.8101703,-85.2685069
109,39.8102118,-85.267324
110,39.810219,-85.267119
111,39.810253,-85.266323
112,39.810287,-85.265369
113,39.810317,-85.264727
114,39.8103506,-85.2639604
115,39.810406,-85.262574
116,39.8104621,-85.261053
117,39.8105194,-85.2593039
118,39.81058,-85.257855
119,39.810644,-85.256196
120,39.8106623,-85.2556765
121,39.81075,-85.253181
122,39.810788,-85.252029
123,39.810819,-85.251099
124,39.8108215,-85.2510282
125,39.810862,-85.249905
126,39.810908,-85.248653
127,39.810978,-85.246482
128,39.8110233,-85.245219
129,39.811033,-85.244973
