,Latitude,Longitude
0,39.7757102,-85.9728078
1,39.7756763,-85.9725503
2,39.775669,-85.9725168
3,39.7756641,-85.9724672
4,39.7756679,-85.9723558
5,39.7757118,-85.9714381
6,39.7757204,-85.9712582
7,39.775732,-85.9710145
8,39.7757783,-85.9700445
9,39.7757808,-85.9699921
10,39.7758024,-85.9694955
11,39.7758061,-85.9694447
12,39.775811,-85.9693925
13,39.7758149,-85.9693548
14,39.7758202,-85.9693145
15,39.7758279,-85.9692742
16,39.7758329,-85.9692527
17,39.7758396,-85.9692317
18,39.7758765,-85.9691356
