,Latitude,Longitude
0,39.4365163,-87.5310876
1,39.436632,-87.5305355
2,39.4373415,-87.5272201
3,39.4386835,-87.5208467
4,39.4393782,-87.5176035
5,39.4395009,-87.5170603
6,39.4397165,-87.5160176
7,39.439878,-87.5152266
8,39.440763,-87.5110587
9,39.4413278,-87.5084318
10,39.4419334,-87.5055863
11,39.4420626,-87.5050328
12,39.4426363,-87.5021729
13,39.4439348,-87.4961309
14,39.4440709,-87.4954997
15,39.4449216,-87.4914357
16,39.4465356,-87.4840027
17,39.447234,-87.4805819
18,39.4473495,-87.4800163
19,39.4473597,-87.4799663
20,39.4474627,-87.479488
21,39.4479059,-87.47743
22,39.4480231,-87.4766816
23,39.44816,-87.4757946
24,39.4482685,-87.4749031
25,39.448329,-87.474372
26,39.4483744,-87.473743
27,39.4483986,-87.4732197
28,39.4484284,-87.4725741
29,39.4484479,-87.471178
30,39.4484336,-87.470273
31,39.4484767,-87.4649016
32,39.448473,-87.4634337
33,39.4484724,-87.4624311
34,39.4484817,-87.4616795
35,39.4484803,-87.4610174
36,39.4484865,-87.4603211
37,39.4484934,-87.4575301
38,39.4484952,-87.4568152
39,39.4484966,-87.4562748
40,39.4485083,-87.451553
41,39.448515,-87.4501221
42,39.4485148,-87.4484769
43,39.448453,-87.4473855
44,39.4482338,-87.4461486
45,39.4479642,-87.4451227
46,39.4476383,-87.4441842
47,39.4471551,-87.4431437
48,39.4465652,-87.4421906
49,39.4460202,-87.4414557
50,39.4453628,-87.4406699
51,39.443666,-87.4389747
52,39.4424973,-87.4377451
53,39.4414353,-87.4365228
54,39.4409633,-87.4360353
55,39.4392832,-87.4343546
56,39.4381032,-87.433074
57,39.4377774,-87.4326843
58,39.437256,-87.4320605
59,39.4372379,-87.4320336
60,39.4368513,-87.431481
61,39.4365354,-87.4310295
62,39.4356507,-87.4295616
63,39.4351237,-87.4285632
64,39.4344533,-87.4272412
65,39.4316925,-87.4218532
66,39.4312616,-87.4208447
67,39.4309302,-87.4197718
68,39.4307005,-87.4186551
69,39.4305854,-87.4177384
70,39.4305399,-87.4170431
71,39.4305324,-87.4164029
72,39.4305848,-87.4144653
73,39.4306088,-87.4137053
74,39.4307119,-87.4100771
75,39.4307932,-87.4070524
76,39.4308147,-87.4064774
77,39.4309231,-87.403709
78,39.4309498,-87.4030597
79,39.430992,-87.401216
80,39.4310067,-87.4007788
81,39.431034,-87.3999656
82,39.4310581,-87.3992498
83,39.4310915,-87.3982548
84,39.4312203,-87.3946401
85,39.4312459,-87.3938914
86,39.4312812,-87.3927096
87,39.4313009,-87.3910633
88,39.431215,-87.3881816
89,39.4311833,-87.3875154
90,39.4311246,-87.3857407
91,39.4308729,-87.379419
92,39.4308329,-87.3784027
93,39.4307098,-87.3751454
94,39.4306951,-87.3745591
95,39.4306614,-87.3716122
96,39.4306603,-87.3710731
97,39.4306589,-87.3704106
98,39.4306573,-87.3696166
99,39.4306349,-87.3586689
100,39.4305885,-87.3512103
101,39.430578,-87.3440384
102,39.4304811,-87.3432786
103,39.4304563,-87.33845
104,39.4303997,-87.3377839
105,39.4303533,-87.3362282
106,39.4302898,-87.3357076
107,39.4301353,-87.3351602
108,39.4299651,-87.3347378
109,39.4297081,-87.334306
110,39.4294387,-87.3339803
