,Latitude,Longitude
0,39.7784373,-85.9172342
1,39.778351,-85.9190904
2,39.7783473,-85.919174
3,39.7782942,-85.9202813
4,39.7782037,-85.9220734
5,39.7781131,-85.9239022
6,39.7780625,-85.924927
7,39.7780519,-85.9251416
8,39.7779848,-85.9265022
9,39.7779109,-85.9279984
10,39.7778913,-85.9284007
11,39.7778802,-85.9286282
12,39.7778611,-85.9290221
13,39.7776489,-85.9333857
14,39.7775847,-85.9346647
15,39.7775487,-85.9353817
16,39.7775287,-85.9357798
17,39.7774735,-85.9368782
18,39.7773543,-85.9392521
19,39.7773111,-85.9401124
20,39.777156,-85.9432296
21,39.7770923,-85.9444546
22,39.7770642,-85.9449953
23,39.7769124,-85.9479128
24,39.77689,-85.9484355
25,39.7768759,-85.9488363
26,39.7768314,-85.9497501
27,39.7768031,-85.9503305
28,39.7767687,-85.9510371
29,39.7767542,-85.9513183
30,39.7767397,-85.9515994
31,39.7767147,-85.9520866
32,39.7766968,-85.9524336
33,39.7766785,-85.9528374
34,39.7766619,-85.9532037
35,39.7766072,-85.9532954
36,39.7765739,-85.9539466
37,39.776525,-85.954906
38,39.7765207,-85.9549901
39,39.7765169,-85.9550647
40,39.7765032,-85.9553334
41,39.7764434,-85.956476
42,39.7764137,-85.9570882
43,39.7764094,-85.9571768
44,39.7764069,-85.9572283
45,39.7763836,-85.9577071
46,39.7763579,-85.9582391
47,39.7763506,-85.9583884
48,39.7763296,-85.9587967
49,39.7763094,-85.9591904
50,39.7762767,-85.959847
51,39.7763198,-85.9599498
52,39.776283,-85.9607329
53,39.7762823,-85.9607485
54,39.7762699,-85.9612561
55,39.7762639,-85.9613926
56,39.7762601,-85.9614803
57,39.77625,-85.9616669
58,39.7762293,-85.9620481
59,39.7762176,-85.9622637
60,39.7762163,-85.9622956
61,39.7762124,-85.9623959
62,39.7762662,-85.962495
63,39.7762496,-85.9627936
64,39.7762075,-85.9635527
65,39.776194,-85.9637959
66,39.7761413,-85.9638654
67,39.7761379,-85.963933
68,39.7761248,-85.9641934
69,39.7760413,-85.9658552
70,39.7760317,-85.9660464
71,39.7760252,-85.9661749
72,39.7760061,-85.9665556
73,39.7759748,-85.96718
74,39.7759607,-85.96746
75,39.7759252,-85.968167
76,39.7758996,-85.9686762
77,39.7758905,-85.9688568
78,39.7758765,-85.9691356
79,39.7759199,-85.969297
80,39.7759013,-85.9696832
81,39.7758404,-85.9710232
82,39.7758297,-85.9712588
83,39.7758219,-85.9714186
84,39.7757776,-85.9725317
85,39.7757102,-85.9728078
86,39.775673,-85.973401
87,39.7755648,-85.9756505
88,39.7755589,-85.9758039
89,39.7755379,-85.976345
90,39.7755084,-85.9770078
91,39.7755694,-85.9771263
92,39.7755237,-85.9781348
93,39.7755001,-85.9786547
94,39.7754911,-85.9788537
95,39.7754214,-85.9789336
96,39.775393,-85.9794904
97,39.7753919,-85.9795118
98,39.7753691,-85.980059
99,39.7753581,-85.9803229
100,39.775346,-85.9805491
101,39.7753764,-85.9807389
102,39.775384,-85.9807983
103,39.7753886,-85.9808833
104,39.775384,-85.9810217
105,39.7753501,-85.9817922
106,39.7753324,-85.9822333
107,39.7753241,-85.9824613
108,39.7752664,-85.9835851
109,39.7752478,-85.9839633
110,39.7751768,-85.9854931
111,39.7751706,-85.9855972
112,39.7751426,-85.9861822
113,39.77508,-85.9874905
114,39.7750742,-85.9876115
115,39.7750664,-85.9877747
116,39.7750458,-85.9882039
117,39.7750405,-85.9884323
118,39.7750396,-85.9884721
119,39.7750376,-85.9886142
120,39.7750314,-85.9888235
121,39.7749998,-85.9894936
122,39.7749624,-85.990286
123,39.7749544,-85.9904567
124,39.7749473,-85.9906076
125,39.7749304,-85.9909665
126,39.7749224,-85.9911365
127,39.7748974,-85.991672
128,39.7748891,-85.9918436
129,39.7748758,-85.9920311
130,39.7748638,-85.9922015
131,39.7748376,-85.9925732
132,39.7748341,-85.9926437
133,39.7748087,-85.9931499
134,39.7748055,-85.9932169
135,39.7747572,-85.9942256
136,39.7747515,-85.9943465
137,39.7747304,-85.994786
138,39.7747062,-85.9952845
139,39.774693,-85.9955555
140,39.7746919,-85.9955994
141,39.7746866,-85.9956443
142,39.7746774,-85.9956947
143,39.7746663,-85.9957331
144,39.7746488,-85.9957776
145,39.7746091,-85.9958783
146,39.7746077,-85.9959153
147,39.7746051,-85.9959665
148,39.7745821,-85.9964296
149,39.7745718,-85.9966357
150,39.7745294,-85.9974878
151,39.774512,-85.997837
152,39.774478,-85.9984822
153,39.7744521,-85.9988269
154,39.7744247,-85.9991902
155,39.7744124,-85.9993537
156,39.7743903,-85.9997438
157,39.7743857,-85.9998285
158,39.7743371,-86.000729
159,39.7744006,-86.0008693
160,39.7743355,-86.0021113
161,39.7742583,-86.0035836
162,39.7741879,-86.0036759
163,39.7741731,-86.0039718
164,39.7741376,-86.0046841
165,39.774073,-86.0060461
166,39.7740544,-86.0064378
167,39.7740448,-86.0067151
168,39.7740408,-86.0069312
169,39.7740382,-86.0070756
170,39.7740101,-86.007764
171,39.7740687,-86.0078779
172,39.7740664,-86.0079242
173,39.7740271,-86.0087052
174,39.7740062,-86.0091204
175,39.773998,-86.009297
176,39.773992,-86.0094122
177,39.7739548,-86.0101338
178,39.7739423,-86.0103752
179,39.7739313,-86.0105877
180,39.7739223,-86.0107612
181,39.7738476,-86.0110362
182,39.7737842,-86.0107532
183,39.7737852,-86.0107344
184,39.773794,-86.0105739
185,39.7738063,-86.010348
186,39.7738642,-86.0092904
187,39.773866,-86.0092539
188,39.7738726,-86.009118
189,39.7739089,-86.0084202
190,39.7739379,-86.0078622
191,39.7740101,-86.007764
