,Latitude,Longitude
0,39.5002129,-87.2381476
1,39.5001539,-87.2377896
2,39.50002,-87.236255
3,39.500003,-87.236115
4,39.4999357,-87.2354703
5,39.4998888,-87.2349008
6,39.499809,-87.234125
7,39.499796,-87.233962
8,39.499712,-87.232922
9,39.499645,-87.232192
10,39.499549,-87.231244
11,39.499467,-87.230373
12,39.499458,-87.230168
13,39.499416,-87.229162
14,39.49941,-87.22859
15,39.499447,-87.228068
16,39.499513,-87.227396
17,39.499566,-87.226777
18,39.499775,-87.225616
19,39.499918,-87.224684
20,39.500013,-87.224219
21,39.500085,-87.223784
22,39.500258,-87.222742
23,39.500402,-87.221988
24,39.500695,-87.220457
25,39.500923,-87.219222
26,39.500939,-87.219132
27,39.500997,-87.218819
28,39.501359,-87.217115
29,39.501835,-87.21522
30,39.50198,-87.21467
31,39.502245,-87.21367
32,39.50266,-87.212264
33,39.502831,-87.211561
34,39.502982,-87.210941
35,39.503182,-87.20978
36,39.503252,-87.209373
37,39.503287,-87.209138
38,39.50344,-87.20812
39,39.503519,-87.20749
40,39.503593,-87.206911
41,39.503629,-87.206433
42,39.503683,-87.205728
43,39.503752,-87.20498
44,39.503808,-87.204368
45,39.504068,-87.202116
46,39.50408,-87.202017
47,39.50427,-87.200793
48,39.504404,-87.200177
49,39.50447,-87.199875
50,39.504686,-87.198541
51,39.504772,-87.198091
52,39.504965,-87.197068
53,39.505272,-87.19565
54,39.505546,-87.194451
55,39.505674,-87.193891
56,39.505981,-87.192491
57,39.506067,-87.192137
58,39.506387,-87.190821
59,39.506496,-87.190392
60,39.50672,-87.189506
61,39.506878,-87.188881
62,39.506959,-87.188478
63,39.507155,-87.187498
64,39.507222,-87.187195
65,39.5073594,-87.1863734
66,39.5074693,-87.1857103
67,39.5075203,-87.1853176
68,39.507662,-87.184434
69,39.507793,-87.18341
70,39.507867,-87.182518
71,39.507892,-87.182211
72,39.507936,-87.181841
73,39.507946,-87.181765
74,39.508032,-87.181042
75,39.508091,-87.180471
76,39.508147,-87.17992
77,39.508323,-87.178807
78,39.50833,-87.178745
79,39.508453,-87.177711
80,39.50868,-87.17618
81,39.508793,-87.17546
82,39.509131,-87.173664
83,39.50924,-87.173083
84,39.509631,-87.170832
85,39.509902,-87.169392
86,39.510104,-87.168203
87,39.510306,-87.167101
88,39.5105192,-87.1662041
89,39.510634,-87.165721
90,39.510931,-87.164568
91,39.511286,-87.163331
92,39.5114104,-87.1629161
93,39.511577,-87.162358
94,39.5120258,-87.1608557
95,39.5122607,-87.1600854
96,39.5125485,-87.1590962
97,39.512758,-87.158462
98,39.512828,-87.158233
99,39.5130156,-87.157571
100,39.513231,-87.156917
101,39.513363,-87.156486
102,39.513626,-87.155563
103,39.51391,-87.154623
104,39.513959,-87.154433
105,39.514124,-87.153805
106,39.51433,-87.153077
107,39.514368,-87.152918
108,39.514482,-87.152444
109,39.514536,-87.152206
110,39.514611,-87.15187
111,39.51466,-87.15165
112,39.514897,-87.150711
113,39.515029,-87.150131
114,39.51507,-87.149948
115,39.51519,-87.14936
116,39.515223,-87.149197
117,39.515373,-87.148848
