,Latitude,Longitude
0,39.7732933,-86.0216405
1,39.7733511,-86.0217825
2,39.7733172,-86.0224352
3,39.7733016,-86.0227347
4,39.7732896,-86.0229565
5,39.7732563,-86.0235688
6,39.7732351,-86.0240382
7,39.7732233,-86.0243011
8,39.7732059,-86.0246138
9,39.7731976,-86.0247628
10,39.7731822,-86.0250414
11,39.7731514,-86.0256833
12,39.7731237,-86.0262614
13,39.7730894,-86.0269779
14,39.7730562,-86.027664
15,39.7730502,-86.0277879
16,39.7730183,-86.0283555
17,39.7730114,-86.0284776
18,39.7730049,-86.0285936
19,39.7729925,-86.0288125
20,39.7729748,-86.0291816
21,39.7729513,-86.0296735
22,39.7729195,-86.0303193
23,39.7728833,-86.0310549
24,39.7728675,-86.0314766
25,39.7729142,-86.0318005
26,39.7729369,-86.0318542
27,39.7729656,-86.0319183
28,39.772996,-86.0319726
29,39.7730195,-86.0320084
30,39.7730445,-86.032041
31,39.7730812,-86.0320809
32,39.7731172,-86.0321044
33,39.7731801,-86.0321292
34,39.7734583,-86.0321546
35,39.7736171,-86.0321653
36,39.7736645,-86.0321643
37,39.7737119,-86.0321606
38,39.773751,-86.0321559
39,39.7737902,-86.0321458
40,39.7738418,-86.0321261
41,39.7738903,-86.0321003
42,39.7739265,-86.0320785
43,39.7739618,-86.0320513
44,39.7740252,-86.031993
45,39.7740912,-86.0319102
46,39.7741489,-86.0318056
47,39.7741917,-86.0317026
48,39.7742079,-86.0316419
49,39.774219,-86.0315812
50,39.7742267,-86.0315249
51,39.7742319,-86.0314599
52,39.7742332,-86.0313868
53,39.7742298,-86.0313163
54,39.7742239,-86.0312726
55,39.7742169,-86.0312316
56,39.7742056,-86.0311774
57,39.7741901,-86.0311273
58,39.7741731,-86.031079
59,39.774153,-86.0310307
60,39.7741298,-86.0309844
61,39.7741036,-86.0309422
62,39.7740778,-86.0309033
63,39.77405,-86.0308671
64,39.7740201,-86.0308312
65,39.7739871,-86.030798
66,39.7739415,-86.0307598
67,39.7738938,-86.0307303
68,39.7738549,-86.0307101
69,39.7738159,-86.0306925
70,39.773766,-86.0306744
71,39.7730631,-86.0304657
