,Latitude,Longitude
0,39.7463257,-86.2714295
1,39.7463733,-86.2710774
2,39.746435,-86.2708725
3,39.7465112,-86.2706193
4,39.7466459,-86.2701767
5,39.746658,-86.270137
6,39.7467107,-86.2699638
7,39.7467763,-86.269756
8,39.7468444,-86.2695343
9,39.7470619,-86.2688265
10,39.7470991,-86.2687048
11,39.7471132,-86.268381
12,39.7472528,-86.2678499
13,39.7472827,-86.2677339
14,39.7473065,-86.2676178
15,39.7473369,-86.2674138
16,39.7473513,-86.2672398
17,39.7473542,-86.2670673
18,39.7473474,-86.2669186
19,39.747336,-86.2667918
20,39.7473203,-86.2666719
21,39.7472891,-86.2665341
22,39.7472622,-86.2664161
23,39.7472292,-86.2663007
24,39.7471777,-86.2661586
25,39.7471196,-86.2660202
26,39.747056,-86.265885
27,39.7469756,-86.2657401
28,39.7468725,-86.2655953
29,39.74679,-86.2654907
30,39.7467054,-86.2653968
31,39.7466188,-86.2653163
32,39.7465178,-86.2652359
33,39.7464002,-86.2651527
34,39.7462682,-86.2650803
35,39.7461383,-86.265024
36,39.7460311,-86.2649891
37,39.7459238,-86.264965
38,39.745798,-86.2649462
39,39.7454536,-86.2649408
40,39.7452832,-86.2649037
41,39.7448275,-86.2648939
42,39.7440013,-86.2648649
43,39.743512,-86.2648473
44,39.7430464,-86.2648347
45,39.7426931,-86.2648255
46,39.741939,-86.2647396
