,Latitude,Longitude
0,39.2945324,-76.6130399
1,39.2945631,-76.6133472
2,39.2945792,-76.6134307
3,39.2946051,-76.6135177
4,39.2946445,-76.6136062
5,39.2947963,-76.6138133
6,39.2948483,-76.6138845
7,39.2950333,-76.614159
8,39.2951379,-76.6143297
9,39.2951358,-76.6143967
10,39.2951178,-76.6149643
11,39.2951047,-76.6154398
12,39.2951028,-76.6155151
13,39.2950988,-76.6156243
14,39.2950734,-76.616327
15,39.2950625,-76.6166279
16,39.2950565,-76.6167936
17,39.2950537,-76.6168302
18,39.2950504,-76.6169053
19,39.2950489,-76.6169829
20,39.2950092,-76.6179069
21,39.2949991,-76.6181524
22,39.2949943,-76.6182545
23,39.2949917,-76.6183523
24,39.2949804,-76.6185979
25,39.294962,-76.6190007
26,39.294969,-76.6191503
27,39.2949455,-76.6196797
28,39.2949428,-76.6197586
29,39.2949414,-76.6198088
30,39.2949414,-76.6198517
31,39.2949391,-76.6199068
32,39.2949185,-76.6203909
33,39.2949115,-76.6205485
34,39.2948843,-76.6211593
35,39.2948791,-76.6212773
36,39.2948742,-76.6214039
37,39.2948531,-76.6219492
38,39.2948488,-76.622067
39,39.2948317,-76.6225304
40,39.2948282,-76.6226265
41,39.2948239,-76.6227356
42,39.2948126,-76.6230178
43,39.2947935,-76.6234981
44,39.2947851,-76.623707
45,39.2947781,-76.6238826
46,39.2947743,-76.6239783
47,39.2947699,-76.6241091
48,39.2947469,-76.6247887
49,39.294739,-76.6250364
50,39.2946195,-76.6257108
51,39.2945011,-76.6262512
52,39.2944378,-76.626557
53,39.2943942,-76.6268038
54,39.2943776,-76.6269902
55,39.2943731,-76.6270503
56,39.2943277,-76.6285007
57,39.2942666,-76.6302088
58,39.294251,-76.630528
59,39.2942219,-76.6308794
60,39.2941794,-76.6312348
61,39.2941129,-76.6317148
62,39.2940206,-76.6323814
63,39.2939697,-76.6328173
64,39.2939293,-76.6332397
65,39.2938753,-76.633984
66,39.2938434,-76.6346055
67,39.2938203,-76.6352152
68,39.293622,-76.6417329
69,39.2936003,-76.6434616
70,39.2936054,-76.6438479
71,39.2936241,-76.6443749
72,39.2937228,-76.6465982
73,39.2937206,-76.6469069
74,39.2936887,-76.6487699
75,39.2937489,-76.6489765
76,39.2937442,-76.6490678
77,39.2937346,-76.6493838
78,39.2937233,-76.6497068
79,39.2937133,-76.6499911
80,39.2937028,-76.6502905
81,39.2936999,-76.6503746
82,39.2936964,-76.6504738
83,39.2936852,-76.6507934
84,39.2936511,-76.6517671
85,39.2936278,-76.6523255
86,39.2936179,-76.6525516
87,39.2935902,-76.6531746
88,39.2935805,-76.6533912
89,39.2935255,-76.6547167
90,39.2934941,-76.655439
91,39.2934626,-76.6561619
92,39.2934586,-76.6562549
93,39.2934542,-76.6563669
94,39.2933989,-76.6577813
95,39.293387,-76.658087
96,39.2933788,-76.6582984
97,39.2933685,-76.6585641
98,39.2933616,-76.6587408
99,39.2933391,-76.6593209
100,39.2932845,-76.6606343
101,39.2932565,-76.6613075
102,39.2932506,-76.6614462
103,39.2932122,-76.6623251
104,39.2932069,-76.6624476
105,39.2932022,-76.6625516
106,39.2931841,-76.6629479
107,39.2931851,-76.6631839
108,39.2931983,-76.663353
109,39.2931996,-76.663369
110,39.2932359,-76.6635822
111,39.2932795,-76.6637351
112,39.2933491,-76.6639322
113,39.2934103,-76.6640677
114,39.2934923,-76.6642166
115,39.2936118,-76.6643939
116,39.2939536,-76.6648883
117,39.2942489,-76.6652801
118,39.2942801,-76.6653255
119,39.2943272,-76.6653939
120,39.2943745,-76.6654625
121,39.2944067,-76.6655671
122,39.2944368,-76.6657065
123,39.2944005,-76.666691
124,39.2943919,-76.6669203
125,39.2943451,-76.6681748
126,39.2943266,-76.6686582
127,39.2943224,-76.6690807
128,39.2943177,-76.6693521
129,39.294313,-76.6695653
130,39.2943063,-76.6698116
131,39.2942963,-76.6701231
132,39.2942803,-76.6706498
133,39.294269,-76.6709376
134,39.2942516,-76.6712842
135,39.2942279,-76.6716134
136,39.2941997,-76.6721655
137,39.2941894,-76.6724766
138,39.2941754,-76.6727608
139,39.294134,-76.6741372
140,39.294106,-76.6748897
141,39.2940826,-76.6755512
142,39.2940672,-76.675971
143,39.2940519,-76.6763979
144,39.2940218,-76.6772229
145,39.2940059,-76.6776583
146,39.2939796,-76.6783806
147,39.2939374,-76.6795575
148,39.293931,-76.6797363
149,39.2939258,-76.6798795
150,39.293913,-76.6801472
151,39.2938988,-76.6806174
152,39.2938747,-76.681211
153,39.2938594,-76.6816153
154,39.2938324,-76.682435
155,39.2938251,-76.6826099
156,39.2937825,-76.6837961
157,39.2937779,-76.683925
158,39.2937743,-76.6840498
159,39.2937558,-76.6846984
160,39.2937468,-76.6849614
161,39.2937286,-76.6855023
162,39.2937138,-76.6859399
163,39.2936897,-76.6865901
164,39.2936762,-76.6869528
165,39.2936191,-76.6884388
166,39.2935838,-76.689403
167,39.2935342,-76.6909013
168,39.2934979,-76.6918386
169,39.2934703,-76.692485
170,39.293451,-76.6931012
171,39.2934378,-76.6935813
172,39.2934291,-76.6938904
173,39.2933924,-76.6947744
174,39.2933636,-76.6955179
175,39.2933613,-76.6955576
176,39.2933471,-76.6958077
177,39.2933418,-76.6959002
178,39.2933255,-76.6960961
179,39.2933211,-76.6961496
180,39.2932941,-76.6963736
181,39.2932444,-76.696712
182,39.2931348,-76.6974723
183,39.2930597,-76.6979928
184,39.292983,-76.6984901
185,39.2929295,-76.6988373
186,39.2928634,-76.6992659
187,39.2927554,-76.700031
188,39.2926632,-76.7006418
189,39.2925832,-76.7011597
190,39.2924899,-76.7018069
191,39.2924807,-76.7018638
192,39.2924494,-76.7020577
193,39.2924384,-76.7021303
194,39.2923682,-76.702593
195,39.2923516,-76.7027498
196,39.2923465,-76.7027881
197,39.2923413,-76.7029517
198,39.2923482,-76.7030657
199,39.2923527,-76.7031394
200,39.2923807,-76.7033688
201,39.2924212,-76.7036933
202,39.2924336,-76.7038811
203,39.2924305,-76.704046
204,39.292416,-76.7041855
205,39.292346,-76.7045895
206,39.2922266,-76.7053888
207,39.2921441,-76.7059289
208,39.2920782,-76.7063624
209,39.2919942,-76.7069108
210,39.2919811,-76.7069965
211,39.2919406,-76.7073022
212,39.2919157,-76.7075812
213,39.2919033,-76.7077984
214,39.2918828,-76.7081114
215,39.2918395,-76.7091048
216,39.2917692,-76.7107143
217,39.2917555,-76.7111836
218,39.2917403,-76.7117078
219,39.2917207,-76.7120861
220,39.2916816,-76.7128387
221,39.2916438,-76.7134497
222,39.2915981,-76.7140681
223,39.2915746,-76.7143418
224,39.2915488,-76.7146424
225,39.2915255,-76.714913
226,39.2915137,-76.7150427
227,39.2915013,-76.7152283
228,39.2914752,-76.7154771
229,39.291397,-76.7162229
230,39.2913034,-76.7170386
231,39.291103,-76.7184642
232,39.2910013,-76.7191415
233,39.2909232,-76.7196219
234,39.2907551,-76.7205824
235,39.2905478,-76.7216751
236,39.2904263,-76.7222408
237,39.290367,-76.7225168
238,39.2903329,-76.7226753
239,39.2903032,-76.7228067
240,39.2902091,-76.7232229
241,39.2901066,-76.7236758
242,39.2899807,-76.7241886
243,39.289894,-76.7245457
244,39.2897579,-76.7251027
245,39.2897161,-76.7252703
246,39.289449,-76.7263426
247,39.2894154,-76.7264768
248,39.2892837,-76.727003
249,39.289242,-76.7271694
250,39.2891838,-76.7274004
251,39.2891283,-76.7276205
252,39.2889731,-76.7282361
253,39.2886748,-76.7294431
254,39.2885632,-76.7298947
255,39.2884293,-76.7304363
256,39.2882193,-76.731291
257,39.2881875,-76.7314271
258,39.2879819,-76.7322575
259,39.2877022,-76.7333665
260,39.2875886,-76.7338312
261,39.2875252,-76.7340908
262,39.2873134,-76.7349317
263,39.2870954,-76.7358002
264,39.2867893,-76.7370276
265,39.286617,-76.7377299
266,39.2862663,-76.7391597
267,39.2862091,-76.7393929
268,39.2861395,-76.7396763
269,39.2859476,-76.7404102
270,39.2858053,-76.7409825
271,39.2854616,-76.7424116
272,39.2853667,-76.7427888
273,39.2852306,-76.7433294
274,39.2851942,-76.7434837
275,39.2848725,-76.7447591
276,39.2846437,-76.7456272
277,39.2844905,-76.7462088
278,39.2842984,-76.7469947
279,39.28426,-76.7471536
280,39.2842356,-76.7472586
281,39.2841277,-76.7477226
282,39.2839505,-76.748536
283,39.2838377,-76.7491954
284,39.2837956,-76.7494826
285,39.2837412,-76.7499089
286,39.2837084,-76.7502242
287,39.2836727,-76.750747
288,39.2836637,-76.7509367
289,39.2836419,-76.751399
290,39.2836378,-76.7515277
291,39.2836389,-76.752277
292,39.2836441,-76.7523871
293,39.2836648,-76.7528259
294,39.2836933,-76.7532164
295,39.2837082,-76.7533701
296,39.2837655,-76.7538653
297,39.2838258,-76.7543332
298,39.2838806,-76.7546683
299,39.2839604,-76.7550703
300,39.2840879,-76.7556561
301,39.2841579,-76.7559517
302,39.284339,-76.7566788
303,39.2844102,-76.7569484
304,39.2844551,-76.7571372
305,39.2845319,-76.7574188
306,39.2846082,-76.7577195
307,39.284658,-76.7579154
308,39.2847082,-76.7581132
309,39.2848904,-76.7588394
310,39.2849186,-76.7589419
311,39.2849469,-76.7590515
312,39.2850948,-76.7595952
313,39.2852083,-76.7600903
314,39.2853688,-76.7607207
315,39.2856083,-76.7616609
316,39.2857855,-76.7622955
317,39.28597,-76.7629362
318,39.2861093,-76.7633871
319,39.2861568,-76.7635316
320,39.2862549,-76.7638303
321,39.2863813,-76.7641748
322,39.2866774,-76.764987
323,39.286909,-76.7655903
324,39.2871914,-76.7662607
325,39.2874438,-76.7668229
326,39.287532,-76.7670194
327,39.2878651,-76.767746
328,39.2878969,-76.7678086
329,39.2880663,-76.7681415
330,39.2883045,-76.7685883
331,39.2885759,-76.7690794
332,39.2889409,-76.7697399
333,39.2889842,-76.7698138
334,39.289092,-76.769998
335,39.2893456,-76.7704063
336,39.2896324,-76.7708495
337,39.2932486,-76.7760866
338,39.2938016,-76.7768877
339,39.294592,-76.7780243
340,39.295282,-76.779016
341,39.2955104,-76.7793676
342,39.2957106,-76.7796656
343,39.2959324,-76.780043
344,39.2960821,-76.7803434
345,39.2962547,-76.7807238
346,39.2964152,-76.7811296
347,39.2965512,-76.7815114
348,39.2966558,-76.7818588
349,39.2967631,-76.7822572
350,39.2968448,-76.7826569
351,39.2969012,-76.7830254
352,39.2969358,-76.783373
353,39.2969507,-76.7837475
354,39.2969485,-76.7841068
355,39.2969282,-76.7844843
356,39.2968897,-76.784842
357,39.2968333,-76.7851833
358,39.2967679,-76.7854968
359,39.2966544,-76.7859213
360,39.2965335,-76.7862901
361,39.2963817,-76.7866613
362,39.2962447,-76.7869506
363,39.2958404,-76.7876697
364,39.2949885,-76.7891561
365,39.2942438,-76.7904489
366,39.2941279,-76.7906501
367,39.2939407,-76.7909751
368,39.292886,-76.7928457
369,39.2925317,-76.7934847
370,39.2918897,-76.7946066
371,39.2913841,-76.7955128
372,39.2912781,-76.7957057
373,39.2905382,-76.7970041
374,39.2894693,-76.7988592
375,39.2893019,-76.7991498
376,39.2892206,-76.7992909
377,39.2891676,-76.7993833
378,39.2883466,-76.8008127
379,39.28775,-76.8018514
380,39.2876142,-76.8020871
381,39.2870139,-76.803129
382,39.286083,-76.8047694
383,39.2858563,-76.805169
384,39.2856193,-76.8055868
385,39.2849713,-76.8067288
386,39.2848269,-76.8069839
387,39.2846725,-76.8072567
388,39.2845367,-76.8074966
389,39.284125,-76.808255
390,39.2840484,-76.8083873
391,39.2837517,-76.8089001
392,39.2833601,-76.8095769
393,39.2831911,-76.809869
394,39.2828576,-76.8104453
395,39.2824236,-76.8111914
396,39.2819743,-76.8119636
397,39.2818759,-76.8121328
398,39.2813633,-76.8130139
399,39.2809875,-76.8136549
400,39.280779,-76.814022
401,39.2806346,-76.8142625
402,39.2804749,-76.8145288
403,39.2803888,-76.8146722
404,39.2801,-76.815254
405,39.279911,-76.815658
406,39.279808,-76.815914
407,39.279728,-76.816203
408,39.2796319,-76.8165155
409,39.2795522,-76.8169151
410,39.2793903,-76.8175612
411,39.2792415,-76.8182006
412,39.2791496,-76.8184723
413,39.2790459,-76.818725
414,39.2789412,-76.8189386
415,39.2788092,-76.8191685
416,39.2786859,-76.8193707
417,39.2784854,-76.8196626
418,39.2780815,-76.8202034
419,39.2778125,-76.8205888
420,39.2776433,-76.8208718
421,39.2774428,-76.8212799
422,39.2773244,-76.8216009
423,39.2772354,-76.8219066
424,39.2771748,-76.8221467
425,39.2771093,-76.8224727
426,39.2770671,-76.8228517
427,39.2770369,-76.8234039
428,39.2770075,-76.8238196
429,39.2769991,-76.8244407
430,39.2769975,-76.8245615
431,39.2770167,-76.8250633
432,39.2770229,-76.8253369
433,39.2770465,-76.8257043
434,39.2770543,-76.8258456
435,39.2771104,-76.8267193
436,39.2771583,-76.8274469
437,39.2771777,-76.8277441
438,39.2772224,-76.8283691
439,39.2773179,-76.829703
440,39.2773246,-76.8297985
441,39.2774012,-76.8308904
442,39.2774933,-76.8322038
443,39.2775191,-76.8325278
444,39.2775448,-76.8328814
445,39.2775508,-76.8329494
446,39.2775651,-76.8331645
447,39.2776204,-76.8340056
448,39.2776708,-76.8345372
449,39.2776959,-76.834955
450,39.2777098,-76.8351503
451,39.277737,-76.8354908
452,39.2777478,-76.8356395
453,39.2777602,-76.8358019
454,39.2777933,-76.8362348
455,39.277826,-76.836663
456,39.2778349,-76.8367798
457,39.2778783,-76.8373437
458,39.277987,-76.8387396
459,39.278019,-76.8392416
460,39.2781519,-76.8413269
461,39.2782115,-76.842149
462,39.2789969,-76.8530596
463,39.2790033,-76.8531522
464,39.2790184,-76.8533701
465,39.2790978,-76.8544513
466,39.2791476,-76.8551303
467,39.2791683,-76.8554188
468,39.2793458,-76.8578984
469,39.2793571,-76.8580571
470,39.2793687,-76.8582186
471,39.2793871,-76.8584644
472,39.2794683,-76.8595528
473,39.2795167,-76.860201
474,39.27953,-76.8603926
475,39.279541,-76.8605521
476,39.279568,-76.8609678
477,39.279595,-76.8613286
478,39.2796242,-76.8617422
479,39.2796628,-76.86229
480,39.279712,-76.8628835
481,39.2797288,-76.8631069
482,39.27978,-76.8636334
483,39.2798217,-76.8640069
484,39.2799003,-76.864728
485,39.2799415,-76.8650381
486,39.2799946,-76.8654382
487,39.280015,-76.8655916
488,39.2800985,-76.8661941
489,39.28014,-76.8665079
490,39.2801908,-76.8668886
491,39.280221,-76.8671186
492,39.2803375,-76.8679097
493,39.2803684,-76.8681172
494,39.280507,-76.8689493
495,39.2806492,-76.8697191
496,39.2807675,-76.8702341
497,39.2808848,-76.8707088
498,39.2810104,-76.8711742
499,39.2811194,-76.8715121
500,39.2812554,-76.8718997
501,39.2813696,-76.8722042
502,39.2814788,-76.8724551
503,39.2815388,-76.8725931
504,39.2815542,-76.8726248
505,39.281761,-76.873049
506,39.2817856,-76.8730952
507,39.2819634,-76.8734272
508,39.2825075,-76.8743827
509,39.2834986,-76.8761462
510,39.2838294,-76.8767507
511,39.2841931,-76.8774363
512,39.2845398,-76.8781189
513,39.2849467,-76.8789652
514,39.2899787,-76.8895912
515,39.2947224,-76.8995876
516,39.2951812,-76.900514
517,39.295751,-76.9016003
518,39.2962284,-76.9024238
519,39.2966352,-76.903101
520,39.2970327,-76.9037421
521,39.2974022,-76.904312
522,39.2979689,-76.9051569
523,39.3000188,-76.9081178
524,39.3002002,-76.9083649
525,39.3003818,-76.9085701
526,39.3006111,-76.9088101
527,39.3008394,-76.909022
528,39.301094,-76.909211
529,39.301418,-76.909421
530,39.301626,-76.909537
531,39.3020556,-76.9096982
532,39.3023257,-76.909825
533,39.3025384,-76.9099336
534,39.3027284,-76.9100423
535,39.3029738,-76.9102124
536,39.3032192,-76.9104055
537,39.3035171,-76.910697
538,39.3037793,-76.9110052
539,39.3040078,-76.9113262
540,39.304182,-76.9116101
541,39.3043363,-76.9119042
542,39.3044986,-76.9122724
543,39.3046322,-76.9126509
544,39.3047311,-76.9129988
545,39.3048172,-76.9133785
546,39.3048766,-76.9137276
547,39.3049528,-76.914422
548,39.305022,-76.9151202
549,39.30521,-76.916817
550,39.3052506,-76.917216
551,39.3052892,-76.9176086
552,39.3053317,-76.9180075
553,39.3054495,-76.9191162
554,39.3056239,-76.9208638
555,39.3060139,-76.925167
556,39.3064058,-76.9287541
557,39.3079753,-76.9431177
