,Latitude,Longitude
0,39.6064035,-75.7850735
1,39.6063841,-75.785183
2,39.606239,-75.786002
3,39.6060104,-75.7872927
4,39.6059405,-75.7876875
5,39.6056123,-75.7894905
6,39.6055756,-75.7896434
7,39.6054619,-75.7901003
8,39.605345,-75.7905317
9,39.6051954,-75.7910323
10,39.6051128,-75.7913069
11,39.6048773,-75.7920609
12,39.6046147,-75.7929069
13,39.6044429,-75.7934547
14,39.6041396,-75.7944216
15,39.603816,-75.7954641
16,39.6036735,-75.7959387
17,39.603553,-75.7963219
18,39.6033558,-75.796984
19,39.603272,-75.7972525
20,39.6027953,-75.7987975
21,39.6026734,-75.7991861
22,39.6024539,-75.7998808
23,39.6023188,-75.8003201
24,39.60227,-75.8004791
25,39.6018567,-75.8017892
26,39.6017849,-75.802017
27,39.6015367,-75.8028038
28,39.6012282,-75.8037816
29,39.6012038,-75.8038611
30,39.6011597,-75.8040145
31,39.6011138,-75.8041675
32,39.6009455,-75.8046884
33,39.6008482,-75.805006
34,39.6007963,-75.8051756
35,39.6007421,-75.8053513
36,39.600516,-75.8060431
37,39.600418,-75.8063816
38,39.6002787,-75.8068531
39,39.6001462,-75.8072497
40,39.6000787,-75.8074593
41,39.6000714,-75.8074862
42,39.5998583,-75.8081923
43,39.5997441,-75.8085646
44,39.599643,-75.808885
45,39.599486,-75.8093
46,39.599168,-75.810363
47,39.5991537,-75.8104224
48,39.599044,-75.810826
49,39.599001,-75.810986
50,39.5989973,-75.8109996
51,39.598971,-75.811096
52,39.598783,-75.811889
53,39.598721,-75.8121967
54,39.5986859,-75.8123707
55,39.598658,-75.812509
56,39.5986497,-75.8125556
57,39.598578,-75.812957
58,39.5985312,-75.8132293
59,39.598523,-75.813277
60,39.598488,-75.813499
61,39.5984715,-75.8136166
62,39.598444,-75.813812
63,39.598413,-75.814045
64,39.598411,-75.8140643
65,39.59836,-75.814546
66,39.598341,-75.814701
67,39.598306,-75.815035
68,39.598269,-75.815521
69,39.598259,-75.8156614
70,39.598235,-75.815999
71,39.598217,-75.816484
72,39.5982155,-75.8165686
73,39.5982114,-75.8167995
74,39.598208,-75.816987
75,39.598203,-75.817444
76,39.5982071,-75.8175929
77,39.598216,-75.8179203
78,39.5982193,-75.8179987
79,39.5982394,-75.818409
80,39.5982672,-75.8188805
81,39.598325,-75.8196983
82,39.598391,-75.8203066
83,39.5984146,-75.820508
84,39.5984736,-75.8209624
85,39.5985141,-75.8212254
86,39.5985811,-75.8216424
87,39.5986085,-75.8218105
88,39.5986612,-75.8221234
89,39.5986788,-75.8222102
90,39.5987364,-75.8224935
91,39.598795,-75.822769
92,39.5988573,-75.8230656
93,39.5989191,-75.8233233
94,39.5989679,-75.8235242
95,39.5990345,-75.8237822
96,39.5991636,-75.8242443
97,39.5998147,-75.8264118
98,39.5999595,-75.8268941
99,39.6000885,-75.8273235
100,39.6002196,-75.8277598
101,39.6004028,-75.8283566
102,39.6004975,-75.8286649
103,39.6018113,-75.8329432
104,39.6022062,-75.8342477
105,39.602615,-75.83569
106,39.6027943,-75.8362738
107,39.6028848,-75.8365684
108,39.602974,-75.836859
109,39.6030019,-75.8369518
110,39.6032204,-75.8376787
111,39.6033249,-75.8380263
112,39.603378,-75.838203
113,39.6034145,-75.8383215
114,39.6034975,-75.8385907
115,39.6035894,-75.8388887
116,39.6035941,-75.838904
117,39.603657,-75.839108
118,39.6036718,-75.8391509
119,39.6038079,-75.8395453
120,39.6039547,-75.8400232
121,39.604092,-75.8404699
122,39.6041547,-75.8406674
123,39.6043413,-75.8412553
124,39.6043691,-75.841343
125,39.604559,-75.8419612
126,39.6047326,-75.8425406
127,39.6050509,-75.8435706
128,39.6052658,-75.8442304
129,39.6055344,-75.8451102
130,39.6057287,-75.8457002
131,39.6058403,-75.8460865
132,39.6059312,-75.8464405
133,39.6060221,-75.8468321
134,39.6062412,-75.8480874
135,39.6062825,-75.8483556
136,39.6064106,-75.8490476
137,39.6064768,-75.8494124
138,39.6066504,-75.8504638
139,39.6067661,-75.8513436
140,39.6068529,-75.8519927
141,39.606868,-75.852421
142,39.6069173,-75.8529531
143,39.6069844,-75.8537782
144,39.6069915,-75.8538583
145,39.607084,-75.8549278
146,39.6071256,-75.8555118
147,39.6071752,-75.8562467
148,39.6072474,-75.8576383
149,39.607278,-75.85823
150,39.6073136,-75.8587502
151,39.6073354,-75.8590907
152,39.6073663,-75.8595753
153,39.6073754,-75.8597179
154,39.6074745,-75.8608556
155,39.6075637,-75.8619813
156,39.6077846,-75.8655608
157,39.607796,-75.865745
158,39.6079891,-75.8685619
159,39.6080082,-75.8688404
160,39.6080477,-75.8694166
161,39.608303,-75.873322
162,39.608328,-75.8737052
163,39.608359,-75.874179
164,39.6083604,-75.8741983
165,39.608424,-75.8750992
166,39.608426,-75.875127
167,39.6084755,-75.8758113
168,39.608506,-75.876232
169,39.6085792,-75.8773397
170,39.608669,-75.878698
171,39.608683,-75.878881
172,39.6087084,-75.8792238
173,39.608755,-75.879851
174,39.608798,-75.880616
175,39.608829,-75.881018
176,39.608843,-75.881206
