,Latitude,Longitude
0,39.0422559,-94.4333183
1,39.042046,-94.4330469
2,39.0419198,-94.4328837
3,39.0417662,-94.4326851
4,39.0411375,-94.4318723
5,39.0410485,-94.4317573
6,39.0405609,-94.4311269
7,39.0404069,-94.4309278
8,39.0403274,-94.4308251
9,39.040144,-94.430588
10,39.0400331,-94.430446
11,39.0398767,-94.4302457
12,39.0396859,-94.4300015
13,39.0395419,-94.429817
14,39.0392486,-94.4294537
15,39.038454,-94.4284
16,39.0384092,-94.4283423
17,39.0381425,-94.4279991
18,39.0380976,-94.4279413
19,39.037699,-94.4274282
20,39.037604,-94.427306
21,39.0374429,-94.427098
22,39.0372912,-94.4269022
23,39.0371237,-94.4266859
24,39.0368785,-94.4263692
25,39.0368535,-94.426337
26,39.0366362,-94.4260146
27,39.0365885,-94.4259282
28,39.036414,-94.425612
29,39.036324,-94.425418
30,39.0362684,-94.4252546
31,39.0362252,-94.4251274
32,39.036153,-94.424915
33,39.0361056,-94.4247406
34,39.0359521,-94.4239232
35,39.0358725,-94.4230373
36,39.0358381,-94.4220099
37,39.0358187,-94.4211393
38,39.0357911,-94.4199
39,39.0357411,-94.4186825
40,39.0357335,-94.4184974
41,39.035706,-94.4178248
42,39.0356851,-94.4173131
43,39.0356794,-94.4171748
