,Latitude,Longitude
0,38.8099828,-90.8711104
1,38.8099844,-90.87069
2,38.8099875,-90.8702635
3,38.8099901,-90.8698525
4,38.8099948,-90.869428
5,38.8099959,-90.8691524
6,38.8099964,-90.8688661
7,38.8099932,-90.8685844
8,38.809976,-90.8681674
9,38.8099577,-90.8678871
10,38.8099305,-90.8676054
11,38.8098955,-90.8673292
12,38.809849,-90.8670495
13,38.8097926,-90.8667793
14,38.809732,-90.8665178
15,38.8096547,-90.8662489
16,38.809569,-90.8659928
17,38.8094801,-90.865744
18,38.8093767,-90.8654831
19,38.8092654,-90.8652317
20,38.8091489,-90.8649936
21,38.8090245,-90.864765
22,38.8088876,-90.864537
23,38.808746,-90.8643244
24,38.8085971,-90.8641166
25,38.8084387,-90.8639161
26,38.8082789,-90.8637249
27,38.8081221,-90.8635479
28,38.8079502,-90.8633494
29,38.8077908,-90.8631617
30,38.8076299,-90.8629699
31,38.8074783,-90.8627748
32,38.8073305,-90.8625716
33,38.8071857,-90.862361
34,38.8070452,-90.8621418
35,38.806913,-90.8619212
36,38.8067844,-90.8616945
37,38.8066653,-90.8614672
38,38.8065655,-90.8612694
39,38.8064526,-90.8610293
40,38.8063486,-90.8607873
41,38.8062504,-90.8605311
42,38.8061553,-90.860279
43,38.8060691,-90.8600235
44,38.8059881,-90.8597606
45,38.8059149,-90.8594971
46,38.8058454,-90.8592242
47,38.8057885,-90.858966
48,38.8057346,-90.8586925
49,38.8056855,-90.8584088
50,38.8056453,-90.8581352
51,38.8056129,-90.8578616
52,38.8055883,-90.8575867
53,38.8055669,-90.8572977
54,38.8055554,-90.8570161
55,38.8055476,-90.8567311
56,38.8055465,-90.8564582
57,38.8055533,-90.8561698
58,38.8055643,-90.8558942
59,38.8055841,-90.8554751
60,38.8055977,-90.8551902
61,38.8056079,-90.854955
62,38.805633,-90.8544252
63,38.805743,-90.8515692
64,38.8057681,-90.8510388
65,38.8057895,-90.8505895
66,38.8058099,-90.850157
67,38.8058287,-90.8497218
68,38.8058485,-90.8492786
69,38.80587,-90.848828
70,38.8058883,-90.84838
71,38.8059071,-90.8479328
72,38.8059264,-90.847509
73,38.8059468,-90.8470718
74,38.8059666,-90.8466332
75,38.805986,-90.8461954
76,38.8060058,-90.8457649
77,38.8060236,-90.8453216
78,38.8060435,-90.8448844
79,38.8060633,-90.8444493
80,38.8060842,-90.8440087
81,38.8061035,-90.8435762
82,38.8061229,-90.8431383
83,38.8061422,-90.8426984
84,38.8061689,-90.8420748
85,38.8061098,-90.8412527
86,38.8060821,-90.8409577
87,38.8060435,-90.8406908
88,38.8059949,-90.8404266
89,38.805929,-90.8401296
90,38.8058473,-90.8398107
91,38.8051766,-90.8372804
92,38.805094,-90.8367741
93,38.8049586,-90.8362598
94,38.8047831,-90.8355926
95,38.8046242,-90.8350575
96,38.8044366,-90.8343854
97,38.8041853,-90.8336594
98,38.804064,-90.8332577
99,38.8039825,-90.8329915
100,38.8038979,-90.832732
101,38.8038085,-90.8324745
102,38.8037134,-90.8322231
103,38.8036094,-90.8319669
104,38.8034992,-90.8317188
105,38.8033878,-90.8314781
106,38.8032682,-90.8312313
107,38.8031464,-90.8309993
108,38.8029541,-90.8306607
109,38.8028088,-90.8304186
110,38.8026082,-90.8300827
111,38.8022669,-90.8295167
112,38.8018484,-90.8288086
113,38.8017767,-90.8286886
114,38.8014627,-90.8281629
115,38.8010384,-90.8274917
116,38.8007656,-90.8270746
117,38.800404,-90.8265395
118,38.8001662,-90.8261982
119,38.7997251,-90.8255705
120,38.7994262,-90.8251353
121,38.7992833,-90.8249231
122,38.7991445,-90.8247169
123,38.7988618,-90.8242824
124,38.7984359,-90.8236051
125,38.7981829,-90.8231894
126,38.797837,-90.8226174
127,38.7974252,-90.8219348
128,38.7968942,-90.821057
129,38.7964123,-90.8202644
130,38.7961422,-90.8198165
131,38.7956739,-90.819044
132,38.7952574,-90.8183554
133,38.794787,-90.8175769
134,38.7945252,-90.8171417
135,38.7942456,-90.8166824
136,38.7939874,-90.8162566
137,38.7929191,-90.8144901
138,38.7924273,-90.8136769
139,38.7920855,-90.8131137
140,38.7914181,-90.812014
141,38.7908019,-90.8109914
142,38.790262,-90.8101009
143,38.7897163,-90.809197
144,38.7867413,-90.8042832
145,38.7863111,-90.8035771
146,38.7857596,-90.8026598
147,38.7828648,-90.7978812
148,38.7822897,-90.7969318
149,38.7815825,-90.7957644
150,38.7812053,-90.7951375
151,38.7807375,-90.794361
152,38.7801201,-90.7933418
153,38.7798457,-90.7928885
154,38.7795049,-90.7923272
155,38.7787561,-90.7910901
156,38.7766335,-90.7875833
157,38.7737597,-90.7828356
158,38.771151,-90.7785292
159,38.7696105,-90.7759849
160,38.768137,-90.7735558
161,38.7675797,-90.7726519
162,38.7673695,-90.772322
163,38.7671578,-90.7720035
164,38.7669387,-90.7716756
165,38.7667359,-90.7713778
166,38.7664995,-90.7710426
167,38.7662904,-90.7707455
168,38.7660468,-90.7704156
169,38.7658162,-90.7701071
170,38.7655077,-90.7697048
171,38.7652719,-90.7694031
172,38.7650419,-90.7691167
173,38.7648045,-90.7688264
174,38.7645608,-90.7685354
175,38.7643141,-90.7682464
176,38.7640803,-90.7679801
177,38.7638377,-90.7677079
178,38.7636124,-90.7674605
179,38.7633787,-90.767207
180,38.7631261,-90.7669421
181,38.7628626,-90.7666699
182,38.762596,-90.7664003
183,38.7623361,-90.7661448
184,38.7620721,-90.7658887
185,38.7618096,-90.7656399
186,38.7599591,-90.7638992
187,38.7592511,-90.7632333
188,38.7588083,-90.7628142
189,38.7585447,-90.7625674
190,38.7578451,-90.7619063
191,38.75749,-90.7615723
192,38.7570419,-90.7611539
193,38.7565174,-90.7606597
194,38.7560735,-90.7602413
195,38.7556316,-90.7598269
196,38.7551913,-90.7594132
197,38.7548316,-90.7590766
198,38.754477,-90.7587413
199,38.7531366,-90.757482
200,38.7524157,-90.7568047
201,38.7521186,-90.7565262
202,38.7516476,-90.7560814
203,38.751071,-90.755543
204,38.7506154,-90.7551141
205,38.7494534,-90.7540198
206,38.7484785,-90.7531053
207,38.7478028,-90.7524721
208,38.7469476,-90.751668
209,38.7457182,-90.7505106
210,38.7454931,-90.7503037
211,38.7449632,-90.7498055
212,38.7444476,-90.7493185
213,38.7438389,-90.7487446
214,38.7423397,-90.7473384
215,38.7419295,-90.7469523
216,38.7414635,-90.7465136
217,38.7402314,-90.7453578
218,38.7391997,-90.7443912
219,38.7385006,-90.7437328
220,38.7376234,-90.7429039
221,38.7363675,-90.7417277
222,38.7354784,-90.7408932
223,38.7348774,-90.7403225
224,38.7344071,-90.7398867
225,38.733802,-90.7393165
226,38.7331732,-90.7387283
227,38.7324707,-90.7380686
228,38.7317542,-90.7373959
229,38.7310393,-90.7367044
230,38.7306037,-90.7362704
231,38.7301737,-90.7358365
232,38.7295907,-90.7352265
233,38.7289945,-90.7345816
234,38.7283513,-90.7338603
235,38.7279325,-90.7333785
236,38.727441,-90.7327994
237,38.7270862,-90.7323694
238,38.7269714,-90.7322302
239,38.7264178,-90.7315366
240,38.7260902,-90.7311146
241,38.7254795,-90.7303085
242,38.7250313,-90.7296936
243,38.7245812,-90.7290586
244,38.7241416,-90.7284288
245,38.7236453,-90.727685
246,38.7230958,-90.7268395
247,38.7226819,-90.7261836
248,38.7222099,-90.7254095
249,38.7216734,-90.724495
250,38.7212216,-90.7236999
251,38.7207268,-90.7227885
252,38.720352,-90.7220779
253,38.7199289,-90.7212489
254,38.7196391,-90.7206608
255,38.7192945,-90.7199403
256,38.7188986,-90.7190925
257,38.718635,-90.7185058
258,38.7184234,-90.7180227
259,38.7182619,-90.7176516
260,38.7179032,-90.7167868
261,38.7176472,-90.7161549
262,38.7174536,-90.7156533
263,38.7173131,-90.7152742
264,38.717084,-90.7146452
265,38.7166886,-90.7135125
266,38.71632,-90.7123644
267,38.7159369,-90.7111668
268,38.7155822,-90.710004
269,38.7153901,-90.7093437
270,38.7150939,-90.7082795
271,38.7149589,-90.7077686
272,38.7147931,-90.7071289
273,38.7146863,-90.7066997
274,38.7145639,-90.7061955
275,38.7144362,-90.7056503
276,38.7142861,-90.7049838
277,38.7141417,-90.7043146
278,38.7139619,-90.7035248
279,38.7137446,-90.7023954
280,38.7135918,-90.701574
281,38.7133647,-90.7003549
282,38.7132459,-90.699671
283,38.7131303,-90.698985
284,38.713022,-90.6983044
285,38.7128525,-90.6972101
286,38.7127258,-90.6963853
287,38.7126175,-90.6956906
288,38.7124663,-90.6947324
289,38.7123496,-90.6940404
290,38.7122063,-90.6932263
291,38.7120027,-90.6921306
292,38.7118505,-90.6913099
293,38.7117495,-90.690764
294,38.7115805,-90.6898575
295,38.7113984,-90.6888784
296,38.711165,-90.6876198
297,38.7109071,-90.6862271
298,38.7108262,-90.6857947
299,38.7107444,-90.6853567
300,38.7106115,-90.6846352
301,38.7103729,-90.6833531
302,38.7101311,-90.6820616
303,38.7098909,-90.6807748
304,38.7097837,-90.6801995
305,38.7097272,-90.6799078
306,38.7096691,-90.6796268
307,38.7096005,-90.6793492
308,38.7095205,-90.679075
309,38.7094315,-90.6788128
310,38.7093264,-90.6785519
311,38.7092092,-90.6782998
312,38.7090768,-90.6780591
313,38.7089371,-90.6778311
314,38.7087811,-90.6776045
315,38.7086289,-90.6774066
316,38.7084619,-90.6772169
317,38.7083767,-90.6771308
318,38.7082788,-90.6770345
319,38.7080873,-90.6768642
320,38.707778,-90.6766322
321,38.7075823,-90.6765061
322,38.7073825,-90.676378
323,38.7071674,-90.6762432
324,38.7069675,-90.6761172
325,38.7067708,-90.6759951
326,38.7065651,-90.6758664
327,38.7063652,-90.6757376
328,38.7061538,-90.6756029
329,38.7055374,-90.6752133
330,38.7050204,-90.6748874
331,38.704607,-90.6746279
332,38.7039927,-90.674239
333,38.7039518,-90.6742108
334,38.7036808,-90.6740311
335,38.7034809,-90.6738883
336,38.7032778,-90.6737334
337,38.7030769,-90.6735764
338,38.7029524,-90.6734718
339,38.7026944,-90.6732519
340,38.702507,-90.6730769
341,38.7023322,-90.6729133
342,38.7021449,-90.6727255
343,38.7019602,-90.6725324
344,38.7017859,-90.6723446
345,38.7016153,-90.6721482
346,38.7014473,-90.6719504
347,38.701282,-90.6717458
348,38.7011218,-90.67154
349,38.7009633,-90.6713241
350,38.7008476,-90.6711638
351,38.7007274,-90.6709907
352,38.7005765,-90.6707615
353,38.7004274,-90.6705261
354,38.7002887,-90.6702988
355,38.7001479,-90.670056
356,38.7000124,-90.6698207
357,38.6997492,-90.669354
358,38.6995427,-90.6689851
359,38.6993494,-90.6686398
360,38.6992102,-90.6683964
361,38.6990626,-90.668155
362,38.698926,-90.6679451
363,38.6987648,-90.6677265
364,38.6985921,-90.6675214
365,38.6984126,-90.6673296
366,38.6982519,-90.667176
367,38.6980609,-90.6670164
368,38.697884,-90.6668924
369,38.6976878,-90.666769
370,38.6974837,-90.6666577
371,38.6972738,-90.6665571
372,38.6970655,-90.6664719
373,38.6967404,-90.6663499
374,38.6965343,-90.6662768
375,38.6962167,-90.6661635
376,38.695899,-90.6660475
377,38.6954981,-90.6659013
378,38.6952169,-90.665804
379,38.6948492,-90.6656822
380,38.6945113,-90.6655881
381,38.6942049,-90.6655108
382,38.6938701,-90.6654325
383,38.693345,-90.6653179
384,38.6931524,-90.665271
385,38.6929112,-90.6652081
386,38.692672,-90.6651449
387,38.6924354,-90.6650764
388,38.6921821,-90.6650001
389,38.6919666,-90.6649283
390,38.6917299,-90.6648472
391,38.6914407,-90.664743
392,38.6908022,-90.6645154
393,38.6837846,-90.6619836
394,38.6833511,-90.6618277
395,38.6830214,-90.661709
396,38.6828111,-90.6616317
397,38.6821713,-90.6614032
398,38.6817179,-90.6612346
399,38.6815306,-90.6611578
400,38.6813201,-90.6610653
401,38.6811108,-90.6609701
402,38.6809061,-90.6608681
403,38.6807035,-90.6607669
404,38.6805004,-90.6606536
405,38.6802936,-90.6605315
406,38.6800921,-90.6604148
407,38.6798944,-90.6602877
408,38.6795058,-90.6600266
409,38.6793121,-90.6598865
410,38.6791247,-90.6597463
411,38.678931,-90.6595921
412,38.6787442,-90.6594432
413,38.6785589,-90.659287
414,38.6783798,-90.6591281
415,38.6781898,-90.6589537
416,38.6780139,-90.6587807
417,38.6778323,-90.6585956
418,38.6776648,-90.6584079
419,38.6775004,-90.6582181
420,38.6773323,-90.6580096
421,38.6771763,-90.6578084
422,38.6770277,-90.6576046
423,38.6768821,-90.657396
424,38.6767392,-90.6571754
425,38.6766016,-90.6569488
426,38.6764717,-90.6567221
427,38.6763016,-90.6564043
428,38.6761707,-90.6561434
429,38.6760535,-90.655894
430,38.6759472,-90.6556526
431,38.675843,-90.6553964
432,38.6757425,-90.6551363
433,38.6756535,-90.6548855
434,38.6755666,-90.6546206
435,38.675487,-90.6543618
436,38.6754132,-90.6540935
437,38.6753446,-90.6538267
438,38.6752818,-90.6535558
439,38.6752248,-90.6532735
440,38.6751745,-90.6530046
441,38.675129,-90.6527216
442,38.6750918,-90.652446
443,38.6750578,-90.652165
444,38.6750305,-90.6518848
445,38.6749829,-90.6513255
446,38.6748913,-90.6503545
447,38.67473,-90.648642
448,38.6745589,-90.6468201
449,38.674429,-90.6454126
450,38.6742966,-90.6440172
451,38.6741869,-90.6428512
452,38.6741647,-90.6425916
453,38.6740474,-90.641351
454,38.6740042,-90.6408929
455,38.6739537,-90.640358
456,38.6738343,-90.6390893
457,38.6737432,-90.6381022
458,38.6736234,-90.6368483
459,38.6735312,-90.6358679
460,38.6734647,-90.6351598
461,38.6733454,-90.6338925
462,38.673238,-90.6327666
463,38.6731208,-90.6315067
464,38.6730145,-90.6303795
465,38.6728967,-90.6291229
466,38.6728009,-90.6281053
467,38.6727397,-90.6274324
468,38.6726067,-90.6260276
469,38.6724779,-90.6246241
470,38.6723727,-90.6233541
471,38.6722811,-90.6222309
472,38.6721586,-90.6206853
473,38.672057,-90.6194079
474,38.6719423,-90.617987
475,38.6718209,-90.6164581
476,38.6717643,-90.6157507
477,38.6716727,-90.614602
478,38.6715382,-90.6129183
479,38.6714031,-90.6112459
480,38.6713005,-90.6099612
481,38.6711984,-90.6086891
482,38.6711084,-90.6075713
483,38.6710188,-90.6064548
484,38.6709078,-90.6050433
485,38.6708089,-90.6037907
486,38.6707063,-90.6024905
487,38.6705948,-90.6011052
488,38.6704241,-90.5989681
489,38.670311,-90.5975667
490,38.6701995,-90.5961726
491,38.6701649,-90.5957334
492,38.6701309,-90.595315
493,38.6700974,-90.5948938
494,38.6700623,-90.5944654
495,38.6700398,-90.5941817
496,38.6700053,-90.5937593
497,38.6699393,-90.5929211
498,38.6699037,-90.5924913
499,38.6698707,-90.5920722
500,38.6698367,-90.591649
501,38.6698027,-90.5912266
502,38.6697681,-90.5908021
503,38.6697377,-90.5903837
504,38.6697032,-90.5899613
505,38.6696665,-90.5895355
506,38.669632,-90.5891123
507,38.6695985,-90.5886872
508,38.6695671,-90.5882607
509,38.669522,-90.5877015
510,38.669476,-90.5871376
511,38.66932,-90.5851702
512,38.669254,-90.5843394
513,38.6691969,-90.5836386
514,38.6690393,-90.5816538
515,38.6690137,-90.5813648
516,38.6689865,-90.5810811
517,38.668955,-90.5808015
518,38.6689142,-90.5805172
519,38.6688692,-90.5802443
520,38.6688194,-90.579966
521,38.6687629,-90.5796991
522,38.668699,-90.5794276
523,38.6686236,-90.5791587
524,38.6685446,-90.5788891
525,38.668464,-90.5786256
526,38.6683781,-90.5783721
527,38.6682859,-90.578116
528,38.6681886,-90.5778632
529,38.6680833,-90.5776137
530,38.6679718,-90.5773649
531,38.667854,-90.5771215
532,38.6677352,-90.5768882
533,38.66761,-90.5766568
534,38.6674755,-90.5764242
535,38.6673415,-90.5762015
536,38.6671996,-90.5759843
537,38.6670561,-90.5757744
538,38.666909,-90.5755692
539,38.666754,-90.5753707
540,38.6665949,-90.5751716
541,38.6664268,-90.5749758
542,38.6662645,-90.574786
543,38.6657807,-90.5742288
544,38.6652105,-90.573571
545,38.6646278,-90.5728997
546,38.6640613,-90.5722459
547,38.6633136,-90.5713923
548,38.6626539,-90.5706313
549,38.6624078,-90.5703503
550,38.6621559,-90.57007
551,38.6618198,-90.5697079
552,38.6615559,-90.5694243
553,38.6612962,-90.5691534
554,38.6609511,-90.5688073
555,38.6606831,-90.5685465
556,38.6602396,-90.5681227
557,38.6594285,-90.5673925
558,38.6584278,-90.5665241
559,38.6579707,-90.5661339
560,38.6577404,-90.5659356
561,38.657512,-90.5657389
562,38.657235,-90.5654874
563,38.6569737,-90.5652387
564,38.6567067,-90.5649765
565,38.6564548,-90.5647009
566,38.6562867,-90.5645111
567,38.6560437,-90.5642308
568,38.6558039,-90.5639358
569,38.6555714,-90.5636361
570,38.6553447,-90.5633256
571,38.6551253,-90.5630118
572,38.6548409,-90.5625799
573,38.6546346,-90.5622426
574,38.6544403,-90.5619114
575,38.6542434,-90.5615593
576,38.6540031,-90.5610906
577,38.6538051,-90.5606769
578,38.6536622,-90.5603617
579,38.6534485,-90.5598568
580,38.6532778,-90.5594189
581,38.6530799,-90.5588657
582,38.6530013,-90.5586344
583,38.6529154,-90.5583655
584,38.6528276,-90.5580681
585,38.6525934,-90.5572363
586,38.6523337,-90.5563136
