,Latitude,Longitude
0,39.95624,-82.754887
1,39.9562091,-82.7537446
2,39.9562316,-82.7527522
3,39.956274,-82.7503346
4,39.9562818,-82.7501597
5,39.956317,-82.7485587
6,39.956318,-82.7485148
7,39.956331,-82.7477446
8,39.9563369,-82.7474281
9,39.9563609,-82.7461236
10,39.9563709,-82.7455833
11,39.9563737,-82.7454166
12,39.9563954,-82.7441093
13,39.9564041,-82.7435896
14,39.9564103,-82.7432871
15,39.9564239,-82.7426263
16,39.9564498,-82.7413724
17,39.9564916,-82.7394065
18,39.9565087,-82.7383118
19,39.9565188,-82.7376648
20,39.956537,-82.7365045
21,39.9565496,-82.7357017
22,39.9565526,-82.7355576
23,39.956567,-82.7348796
24,39.9565676,-82.7347973
25,39.956577,-82.7334054
26,39.9565877,-82.7318173
27,39.9565982,-82.7301861
28,39.9566161,-82.7292508
29,39.9566246,-82.7288033
30,39.9566505,-82.7274461
31,39.9566779,-82.7257555
32,39.9566943,-82.724744
33,39.956698,-82.7245128
34,39.956714,-82.7233642
35,39.9567399,-82.721503
36,39.9567511,-82.7208415
37,39.9567686,-82.719809
38,39.9567707,-82.7193366
39,39.9567742,-82.7185461
40,39.9567874,-82.7172431
41,39.9568299,-82.7148648
42,39.9568315,-82.7147881
43,39.9568524,-82.7136016
44,39.9569093,-82.7100807
45,39.9569107,-82.7098235
46,39.9569417,-82.707429
47,39.9569616,-82.7059767
48,39.9569681,-82.7056381
49,39.9569977,-82.7035552
50,39.9570152,-82.7025403
51,39.9570501,-82.6995684
52,39.957071,-82.697255
53,39.9570935,-82.696543
54,39.9570975,-82.6964802
55,39.9571409,-82.6957937
56,39.9571751,-82.6952969
57,39.9571881,-82.695118
58,39.9572005,-82.694934
59,39.9572272,-82.6946918
60,39.9572745,-82.6942635
61,39.9573587,-82.6937126
62,39.9574248,-82.6932942
63,39.9574574,-82.6930876
64,39.9576626,-82.69207
65,39.957882,-82.691253
66,39.957996,-82.690735
67,39.958141,-82.690138
68,39.958321,-82.689338
69,39.958408,-82.68892
70,39.958474,-82.688592
71,39.95853,-82.688296
72,39.95858,-82.687986
73,39.958649,-82.687566
74,39.958723,-82.687078
75,39.958772,-82.68667
76,39.958806,-82.686349
77,39.958923,-82.684841
78,39.95894,-82.68438
79,39.958944,-82.683713
80,39.958968,-82.683203
81,39.9589629,-82.6826545
82,39.958981,-82.682139
83,39.958998,-82.680738
84,39.9589974,-82.680216
85,39.959014,-82.679281
86,39.959012,-82.67849
87,39.958985,-82.67758
88,39.958929,-82.676974
89,39.958883,-82.676458
90,39.958842,-82.67614
91,39.958717,-82.675193
92,39.958646,-82.674726
93,39.958522,-82.673986
94,39.958311,-82.672877
95,39.958082,-82.671709
96,39.957961,-82.671032
97,39.95785,-82.670325
98,39.957803,-82.669976
99,39.957764,-82.669683
100,39.957699,-82.66902
101,39.957644,-82.66838
102,39.9576098,-82.6679042
103,39.9575958,-82.667581
104,39.9575778,-82.6670892
105,39.9575691,-82.6668101
106,39.957555,-82.6665083
107,39.9575525,-82.6662641
108,39.9576168,-82.6629688
109,39.9576477,-82.6612368
110,39.957657,-82.6607172
111,39.9576677,-82.660117
112,39.9576838,-82.6592201
113,39.9577285,-82.6567146
114,39.9577511,-82.655453
115,39.9577628,-82.6547989
116,39.957771,-82.65434
117,39.9578072,-82.6523124
118,39.9578347,-82.6510843
119,39.9578545,-82.6502033
120,39.9578635,-82.6498012
121,39.9579089,-82.6472665
122,39.9579146,-82.6470762
123,39.9580479,-82.6415782
124,39.9581033,-82.6391084
125,39.9581083,-82.6385657
126,39.9581502,-82.6370639
127,39.9582364,-82.633974
128,39.9582675,-82.6328574
129,39.9583311,-82.63058
130,39.9583599,-82.6295468
131,39.9583843,-82.6286713
132,39.9584067,-82.627868
133,39.9584285,-82.627085
134,39.9584481,-82.626382
135,39.9584734,-82.6254431
136,39.9585868,-82.620927
137,39.9586509,-82.6183775
138,39.9587743,-82.6134658
139,39.95882,-82.6116445
140,39.9588572,-82.6101621
141,39.9588935,-82.6087143
142,39.9588947,-82.6086663
143,39.9589165,-82.6071618
144,39.9589275,-82.6064787
145,39.9589377,-82.6060916
146,39.9589489,-82.6059153
147,39.9589673,-82.6057705
